"","ESV.Open","ESV.High","ESV.Low","ESV.Close","ESV.Volume","ESV.Adjusted"
"1",37.220001,38.259998,36.529999,38.169998,3455700,31.625936
"2",37.939999,38.689999,37.34,38.310001,2231900,31.741936
"3",38.98,39.25,38.259998,38.279999,2116400,31.717077
"4",38.830002,40.25,38.419998,40.220001,2588200,33.324475
"5",39.450001,40.869999,39.369999,40.169998,2666400,33.283045
"6",40.720001,40.720001,39.549999,40.049999,2119600,33.183619
"7",40.16,40.900002,39.720001,40.82,2010400,33.821607
"8",41.619999,41.619999,40.41,40.740002,2672200,33.755324
"9",40.540001,41.59,39.540001,39.68,3757600,32.877055
"10",39.25,39.400002,38.099998,38.799999,4221500,32.147926
"11",38.220001,38.790001,37.990002,38.25,2898300,31.692221
"12",38.43,39.279999,38.130001,38.75,2440500,32.106499
"13",39.209999,39.290001,38.380001,38.669998,1173000,32.040213
"14",38.009998,38.759998,37.389999,38.560001,3521200,31.949075
"15",38.290001,40.450001,38.290001,39.279999,3950500,32.545632
"16",39.490002,40.66,38.91,40.18,2979500,33.291332
"17",40.66,41.099998,40.169998,40.759998,2036900,33.771893
"18",41.900002,42.049999,39.860001,40.360001,2195600,33.440473
"19",40.25,41.23,40.25,41.09,2568900,34.045317
"20",41.490002,41.900002,39.560001,41.040001,3257900,34.00389
"21",41.040001,41.040001,39.240002,40.200001,4169200,33.307904
"22",39.73,40.650002,39.73,40.529999,2560100,33.581325
"23",41.75,41.970001,40.830002,41.130001,2390100,34.07846
"24",41.18,41.970001,40.650002,41.610001,1805100,34.476166
"25",41.759998,41.880001,40.630001,41.689999,1752800,34.542449
"26",41.240002,41.360001,40.110001,40.259998,1508400,33.357615
"27",40.700001,40.919998,39.709999,40.650002,2085300,33.680754
"28",39.639999,42.419998,39.48,42.240002,3117200,34.998157
"29",42.720001,42.779999,41.580002,41.880001,3169500,34.699876
"30",42.509998,42.84,40.790001,41.200001,5768100,34.136459
"31",41.16,42.169998,40.669998,41.830002,3469100,34.658449
"32",42.16,42.27,41.48,41.799999,1776700,34.63359
