"","MUR.Open","MUR.High","MUR.Low","MUR.Close","MUR.Volume","MUR.Adjusted"
"1",51.950001,54.269994,51.950001,54.229999,3345100,40.247396
"2",53.479996,54.360003,52.919995,54.260002,2182200,40.269663
"3",55.039994,55.769999,54.420001,54.560002,1918600,40.492312
"4",54.999999,55.910001,54.869999,55.780001,2025200,41.397747
"5",55.319997,56.089997,55.060005,55.660001,1812100,41.308688
"6",55.839998,55.989996,54.959999,55.589998,1610600,41.256735
"7",55.499998,55.780001,54.970005,55.699997,2144800,41.338371
"8",56.609998,56.899997,55.199993,55.639999,1180500,41.293844
"9",55.679999,55.679999,53.720003,53.779996,1805300,39.913422
"10",53.700001,53.970003,52.989998,53.500007,1845800,39.705624
"11",53.340004,53.610005,52.189995,52.379997,1651100,38.874396
"12",52.469997,53.060001,51.809995,52.599997,2798500,39.037672
"13",52.439994,52.809997,51.559996,51.629998,1874800,38.317777
"14",50.699995,50.809993,49.249994,49.709998,2880000,36.892827
"15",49.740001,50.789995,49.409993,49.549999,2306100,36.774082
"16",49.499994,49.900004,48.2,48.930005,2395200,36.313947
"17",48.930005,49.670003,48.279995,48.439999,2016300,35.950283
"18",49.360006,49.790006,48.140003,48.670001,1940900,36.120982
"19",48.840005,50.429998,48.630001,50.350003,2019200,37.367814
"20",50.800001,51.109998,50.019995,51.019997,1835000,37.865058
"21",50.899993,51.159998,50.589997,50.879996,1663200,37.761154
"22",50.629996,51.280002,50.139998,50.600002,1169100,37.553354
"23",51.39,51.39,50.679997,50.899993,2805900,37.775996
"24",50.550001,50.890001,50.159996,50.560007,1659000,37.523671
"25",50.589997,50.879996,49.549999,50.71,1481400,37.63499
"26",51.010005,51.010005,49.859996,50.179994,2918200,37.24164
"27",50.519998,50.71,49.700006,50.159996,1098200,37.226798
"28",49.499994,51.019997,49.310001,50.929996,2480000,37.798263
"29",51.140001,51.350005,50.019995,50.510002,1758600,37.486559
"30",51.149993,52.149995,50.740003,51.82,1803700,38.458789
"31",52.210006,55.350005,52.090002,55.199993,6517900,40.967288
"32",55.14,55.969994,54.779998,55.769999,2132900,41.390325
"33",56.000001,56.480002,55.190001,55.519996,2392000,41.204782
"34",55.039994,55.510003,54.720005,54.869999,1453200,40.722379
"35",55.330002,55.850003,53.869997,54.429993,2210800,40.395824
"36",53.740001,54.990002,53.69,54.749995,1983800,40.633317
"37",55.690004,56.899997,55.260004,56.309998,2248100,41.791091
"38",56.000001,56.269998,55.48,55.749997,1805900,41.37548
"39",56.079996,57.050004,55.879998,56.730002,2459900,42.102801
"40",56.000001,57.829997,55.01,57.239997,2974700,42.4813
"41",56.370004,56.989998,55.449997,56.340001,2003200,41.813358
"42",56.519998,56.870003,56.149995,56.75,1338100,42.117643
"43",55.839998,56.239995,55.429995,56.169992,2498200,41.687184
"44",55.030002,55.159998,53.579998,53.809999,1945400,39.935689
"45",52.799996,53.840007,52.799996,53.590003,2120100,39.976722
"46",53.590003,55.190001,53.590003,54.819998,2917400,40.894265
"47",54.540004,55.629994,54.020003,55.460003,1985200,41.371692
"48",56.059994,56.949998,55.559995,56.590001,2423400,42.21464
"49",56.140003,56.260006,55.339999,55.949996,2064200,41.737214
"50",55.649996,55.850003,54.830004,55.449997,2402100,41.364228
"51",54.970005,55.39,54.28,54.900002,2187400,40.953946
"52",55.129995,55.969994,55.030002,55.030002,1303000,41.050923
"53",54.260002,54.609994,53.889994,54.069995,1770000,40.334783
"54",53.669998,54.389998,52.959995,54.179994,1601000,40.416839
"55",54.439998,54.850001,53.659993,53.9,1335500,40.207971
"56",54.310003,55.209999,53.169999,55.089995,1663500,41.095676
"57",54.990002,55.370002,54.439998,54.450004,988400,40.618259
"58",54.290005,54.609994,53.320006,53.56,2287100,39.95434
"59",54.420001,56.309998,54.420001,56.269998,2025400,41.975927
"60",56.480002,57.079998,56.07,57.079998,1444900,42.580166
"61",57.360001,57.95,57.029993,57.65,1196200,43.005372
"62",57.070002,57.570005,56.629996,57.090004,1506500,42.587629
"63",57.230005,57.480005,56.770002,57.020001,1428100,42.535409
"64",57.849999,58.000006,56.84,57.18,1152400,42.654764
"65",57.529997,58.599997,57.480005,58.380001,1790100,43.549933
"66",59.139996,59.699996,58.900002,59.490001,2110100,44.377964
"67",59.330002,59.870001,58.999994,59.259999,2844100,44.206389
"68",58.799996,59.630007,58.650002,59.499998,1594600,44.385421
"69",58.990002,59.299999,58.430006,58.799996,1737800,43.863238
"70",58.869999,59.299999,58.299997,59.029998,1554000,44.034813
"71",59.269996,61.140004,58.970005,60.739994,2544300,45.310425
"72",60.710004,60.739994,59.220004,60.219993,2083500,44.922518
"73",60.059994,60.859998,59.73,59.870001,2081600,44.661433
"74",59.229996,59.749997,58.579999,59.290007,1597500,44.228773
"75",60.03,60.919995,59.670002,60.919995,2235600,45.444701
"76",60.84,60.870003,60.010002,60.309993,1520200,44.989656
"77",60.539995,61.739996,59.760003,61.539997,2821100,45.907207
"78",61.329998,61.700001,60.530003,61.259995,2022600,45.698332
"79",61.710006,62.380001,60.969996,61.919997,3091600,46.190676
"80",62.560002,62.649998,61.599995,62.140007,2287100,46.354798
"81",62.099998,62.54,60.559993,61.009995,2395300,45.511839
"82",61.919997,63.049995,61.530005,62.909994,2270600,46.929188
"83",62.599997,63.150001,62.000001,62.810001,1847700,46.854596
"84",63.35,63.44,62.279995,63.330002,2671800,47.242503
"85",63.479995,64.640001,62.880004,64.400003,2370300,48.040695
"86",64.539995,66.270002,64.300001,65.159997,1913200,48.607631
"87",64.569998,65.159997,63.74,64.960003,2003200,48.45844
"88",65.289998,65.809999,65.089999,65.449997,1544000,48.823962
"89",65.429999,65.95,64.289996,65.049999,1886300,48.525575
