"","TWC.Open","TWC.High","TWC.Low","TWC.Close","TWC.Volume","TWC.Adjusted"
"1",52.369999,53.799999,52.369999,53.259998,3442500,47.008529
"2",52.650002,53.599998,51.73,53.57,2787000,47.282143
"3",53.98,55.459999,53.860001,54.68,3621000,48.261856
"4",54.990002,55.360001,54.619999,55.110001,3122700,48.641385
"5",54.84,55.610001,54.68,55.560001,1843400,49.038566
"6",55.48,55.619999,54.560001,55.48,2255600,48.967954
"7",55.509998,55.91,54.970001,55.16,2261700,48.685515
"8",55.549999,55.900002,54.5,55,2030000,48.544295
"9",55.009998,55.950001,53.970001,54.18,2202300,47.820544
"10",54.25,54.990002,53.810001,54.41,1536900,48.023547
"11",54.080002,54.77,53.470001,53.630001,1602700,47.335102
"12",53.57,54.349998,53.060001,54.200001,2634600,47.838197
"13",54.220001,55.200001,53.919998,54.849998,1969900,48.411901
"14",54.18,54.220001,52.77,53.630001,3479400,47.335102
"15",53.490002,53.77,51.970001,52.080002,2447700,45.967036
"16",52.279999,52.57,51.110001,52.41,2115300,46.2583
"17",52.529999,53.130001,51.299999,52.130001,1584100,46.011167
"18",52.950001,53.43,51.900002,52.549999,2153500,46.381867
"19",52.57,54.91,52.459999,54.689999,3173900,48.270681
"20",55.130001,55.880001,54.41,55.380001,2024800,48.879693
"21",55.5,56.290001,55.419998,55.59,1989400,49.065043
"22",55.32,55.75,54.560001,55.200001,2522200,48.720821
"23",55.700001,56.98,55.700001,56.75,2952000,50.088887
"24",56.43,56.709999,55.830002,56.189999,2062800,49.594616
"25",56.189999,56.639999,55.380001,56.07,2101200,49.488702
"26",55.57,56.080002,54.009998,54.099998,2232800,47.749933
"27",54.290001,55.869999,54.290001,55.709999,1434100,49.170957
"28",54.880001,55.41,54.360001,55.290001,1947500,48.800257
"29",55.610001,55.639999,53.220001,53.450001,2703100,47.17623
"30",54.099998,55.560001,54.099998,55.080002,2179200,48.614907
"31",54.889999,57.209999,54.880001,57.060001,2619900,50.362501
"32",57.009998,57.689999,56.759998,57.099998,1710900,50.397804
"33",57.290001,57.549999,55.509998,55.59,2509700,49.065043
"34",55.57,56.200001,55.279999,55.990002,2263500,49.418094
"35",56.220001,57.09,54.889999,55.650002,1622500,49.118002
"36",55.119999,57.59,54.419998,57.169998,3557500,50.459587
"37",57.889999,59.470001,57.389999,59.07,4011300,52.136573
"38",58.990002,59.18,57.630001,58.490002,3101100,51.624653
"39",58.799999,59.16,58.32,59.02,2262600,52.092443
"40",58.34,58.919998,57.59,58.380001,3888900,51.527564
"41",57.529999,57.689999,54.369999,55.810001,5919300,49.259222
"42",56.18,56.84,55.43,56.630001,1908300,49.982973
"43",56.02,56.889999,55.799999,56.630001,1620400,49.982973
"44",55.689999,56.630001,54.779999,54.889999,2279700,48.447206
"45",54.16,55.139999,53.880001,55.07,2293900,48.606079
"46",54.810001,55,54.290001,54.34,1852700,47.961764
"47",54.630001,54.709999,53.459999,54.66,1420200,48.244203
"48",55.119999,55.759998,54.720001,55.529999,2253700,49.012085
"49",55.540001,56.75,55.419998,56.119999,1907400,49.532833
"50",55.939999,55.939999,53.610001,54.049999,2555100,47.705802
"51",53.639999,53.959999,53.150002,53.790001,2282200,47.476322
"52",54.150002,54.700001,52.880001,52.93,1459200,46.717265
"53",52.16,52.580002,51.419998,51.48,2683400,45.43746
"54",50.880001,51.900002,50.490002,51.669998,3614200,45.605157
"55",51.860001,52.48,50.580002,50.959999,2671400,44.978495
"56",50.779999,51.779999,50.509998,51.669998,702000,45.965959
"57",51.529999,52.130001,51.220001,51.82,2461900,46.099401
"58",51.450001,52.369999,51.27,51.57,2426900,45.877
"59",52.27,54.360001,52.27,53.98,4868300,48.020951
"60",54.18,54.77,53.77,54.700001,1799600,48.661468
"61",55.18,55.740002,54.59,55.740002,1200300,49.58666
"62",55.23,55.23,53.830002,53.93,2012400,47.976471
"63",53.869999,55.400002,53.869999,54.91,1789700,48.848285
"64",55.540001,55.540001,54.790001,54.919998,934700,48.857179
"65",55.09,55.880001,55,55.75,844500,49.595554
"66",56.18,57.16,55.849998,56.470001,1871900,50.236072
"67",56.200001,56.360001,54.880001,55.169998,3244500,49.079581
"68",54.93,55.73,52.27,52.43,6678300,46.642062
"69",52.299999,52.299999,50.790001,50.959999,5997100,45.334339
"70",51.099998,52.32,50.529999,50.959999,5885200,45.334339
"71",51.049999,52.959999,51.040001,52.790001,3902100,46.96232
"72",52.279999,53.060001,52.119999,52.66,2264400,46.846671
"73",52.75,52.860001,50.98,51.110001,3361100,45.467781
"74",50.5,52.450001,50.41,51.650002,3150800,45.94817
"75",52.450001,53.48,52.119999,53.110001,2243300,47.246994
"76",53.200001,53.41,52.16,53.169998,2183000,47.300368
"77",53.369999,54.790001,52.990002,54.73,4248500,48.688155
"78",54.27,54.630001,53.849998,54.419998,2374100,48.412376
"79",54.490002,54.700001,53.650002,53.990002,3009300,48.029849
"80",53.990002,54.77,53.860001,54.66,2743700,48.625883
"81",54.509998,55.139999,54.419998,55,3261100,48.92835
"82",55.630001,56.049999,55.330002,56.029999,3246400,49.844643
"83",55.77,56,55.169998,55.630001,2661100,49.488803
"84",55.970001,56.040001,54.610001,55.040001,5228000,48.963935
"85",55.02,55.689999,54.959999,55.509998,1907100,49.382047
"86",55.490002,56.27,55.299999,56.16,1573300,49.960293
"87",56.040001,56.25,55.43,56.060001,1352100,49.871334
"88",56.299999,56.84,56.130001,56.209999,1107100,50.004772
"89",56.040001,56.68,55.720001,56.18,1450000,49.978085
"90",56.900002,57,56.060001,56.599998,2013900,50.351718
"91",56.650002,57.59,56.299999,57.59,2557600,51.23243
"92",56.889999,57.689999,56.880001,57.25,3314300,50.929964
"93",57.290001,58.459999,57.07,57.599998,2988300,51.241325
"94",57.84,58.25,57.25,57.540001,1567200,51.187951
"95",58.02,58.02,57.119999,57.389999,987800,51.054508
