"","SHW.Open","SHW.High","SHW.Low","SHW.Close","SHW.Volume","SHW.Adjusted"
"1",75.07,76.300003,74.699997,76.169998,1120100,71.248323
"2",75.800003,76.639999,75.400002,76.639999,936100,71.687955
"3",76.790001,77.980003,76.580002,76.629997,806300,71.678599
"4",77.089996,77.919998,76.870003,77.919998,1183100,72.885248
"5",77.690002,78.400002,76.849998,77.239998,906000,72.249185
"6",77.620003,77.650002,76.010002,76.599998,979100,71.650539
"7",76.889999,77.089996,75.980003,76.18,2365500,71.257679
"8",76.949997,77.18,76.190002,76.440002,1254000,71.500881
"9",76.589996,76.779999,74.639999,74.760002,1360000,69.929433
"10",74.5,74.739998,73,74.139999,1565800,69.349491
"11",73.650002,73.760002,71.620003,71.650002,1690700,67.020383
"12",71.82,72.010002,71.059998,71.480003,2020500,66.861369
"13",71.5,72.029999,71.059998,71.080002,1108100,66.487213
"14",70.550003,70.730003,69.360001,70.400002,1956200,65.851151
"15",70.059998,71.089996,69.059998,69.190002,1695900,64.719335
"16",69.150002,70.220001,67.919998,69.940002,1825800,65.420874
"17",69.940002,70.349998,68.980003,69.43,837800,64.943826
"18",69.959999,70.309998,69.080002,69.82,1271900,65.308625
"19",69.910004,72.150002,69.57,72.059998,1217600,67.403887
"20",72.349998,73,71.849998,72.620003,1464800,67.927708
"21",72.790001,72.82,71.860001,72.230003,896400,67.562908
"22",72.099998,72.650002,71.739998,72.019997,595700,67.366471
"23",72.610001,73.769997,72.57,73.220001,832900,68.488938
"24",70.529999,71.709999,70.5,71.639999,1658500,67.011027
"25",71.730003,71.839996,70.160004,71.07,1300500,66.477857
"26",70.790001,70.989998,69.370003,69.440002,934400,64.953181
"27",69.639999,70.110001,69.169998,69.809998,831900,65.29927
"28",67.720001,69.940002,67.580002,69.849998,1679900,65.336686
"29",70.43,70.43,69.160004,69.559998,1910700,65.065423
"30",67.010002,69.650002,66.32,66.879997,4006200,62.558589
"31",67.220001,70.099998,67.080002,68.989998,1985600,64.532254
"32",68.82,69.849998,68.800003,69.68,1294400,65.177672
"33",70.269997,70.269997,69.339996,69.5,1569400,65.009302
"34",69.510002,69.800003,69.239998,69.389999,1418200,64.906409
"35",69.849998,70.190002,67.599998,68.589996,1630500,64.158098
"36",68.010002,69.300003,67.809998,69.150002,1094800,64.681919
"37",69.580002,71.150002,69.150002,70.93,1306100,66.346904
"38",70.720001,70.93,70,70.489998,823200,65.935332
"39",70.620003,71.029999,70.169998,70.589996,1539000,66.028869
"40",70.480003,70.690002,69.790001,69.93,975400,65.411518
"41",69.5,69.690002,68.660004,69.690002,908000,65.187028
"42",69.769997,70.080002,69.629997,69.860001,956400,65.346042
"43",69.449997,69.849998,68.709999,69.540001,1900100,65.046719
"44",68.489998,69.360001,68.269997,68.93,1470400,64.476133
"45",68.209999,69.650002,67.93,69.400002,1371600,64.915765
"46",69.190002,69.610001,68.75,69.099998,1210900,64.635147
"47",68.709999,68.800003,67.889999,68.269997,1062800,63.858775
"48",68.919998,70.040001,68.75,69.68,840400,65.177672
"49",69.330002,70.089996,68.93,69.559998,614800,65.40333
"50",69.269997,69.5,67.449997,67.629997,1356100,63.58866
"51",67.239998,68.720001,67.239998,68.339996,986700,64.256232
"52",68.360001,69.160004,67.550003,67.639999,721000,63.598065
