"","SAI.Open","SAI.High","SAI.Low","SAI.Close","SAI.Volume","SAI.Adjusted"
"1",0.24,0.24,0.24,0.24,0,0.24
"2",0.24,0.24,0.24,0.24,0,0.24
"3",0.24,0.24,0.24,0.24,0,0.24
"4",0.24,0.24,0.24,0.24,0,0.24
"5",0.24,0.24,0.24,0.24,0,0.24
"6",0.24,0.24,0.24,0.24,0,0.24
"7",0.24,0.24,0.24,0.24,0,0.24
"8",0.24,0.24,0.24,0.24,0,0.24
"9",0.24,0.24,0.24,0.24,0,0.24
"10",0.24,0.24,0.24,0.24,0,0.24
"11",0.24,0.24,0.24,0.24,0,0.24
"12",0.24,0.24,0.24,0.24,0,0.24
"13",0.24,0.24,0.24,0.24,0,0.24
"14",0.24,0.24,0.24,0.24,0,0.24
"15",0.24,0.24,0.24,0.24,0,0.24
"16",0.24,0.24,0.24,0.24,0,0.24
"17",0.24,0.24,0.24,0.24,0,0.24
"18",0.24,0.24,0.24,0.24,0,0.24
"19",0.24,0.24,0.24,0.24,0,0.24
"20",0.24,0.24,0.24,0.24,0,0.24
"21",0.24,0.24,0.24,0.24,0,0.24
"22",0.24,0.24,0.24,0.24,0,0.24
"23",0.24,0.24,0.24,0.24,0,0.24
"24",0.24,0.24,0.24,0.24,0,0.24
"25",0.24,0.24,0.24,0.24,0,0.24
"26",0.24,0.24,0.24,0.24,0,0.24
"27",0.24,0.24,0.24,0.24,0,0.24
"28",0.24,0.24,0.24,0.24,0,0.24
"29",0.24,0.24,0.24,0.24,0,0.24
"30",0.24,0.24,0.24,0.24,0,0.24
"31",0.24,0.24,0.24,0.24,0,0.24
"32",0.24,0.24,0.24,0.24,0,0.24
"33",0.24,0.24,0.24,0.24,0,0.24
"34",0.24,0.24,0.24,0.24,0,0.24
"35",0.21,0.3,0.21,0.3,1176500,0.3
"36",0.3,0.33,0.3,0.3,99000,0.3
"37",0.315,0.315,0.255,0.255,168000,0.255
"38",0.255,0.255,0.255,0.255,0,0.255
"39",0.255,0.255,0.24,0.24,139000,0.24
"40",0.25,0.25,0.235,0.235,10000,0.235
"41",0.235,0.235,0.215,0.22,68000,0.22
"42",0.22,0.22,0.22,0.22,35000,0.22
"43",0.22,0.22,0.22,0.22,0,0.22
"44",0.25,0.255,0.245,0.245,51500,0.245
"45",0.24,0.24,0.24,0.24,20000,0.24
"46",0.24,0.24,0.24,0.24,20000,0.24
"47",0.24,0.24,0.24,0.24,0,0.24
"48",0.22,0.22,0.22,0.22,20000,0.22
"49",0.22,0.22,0.21,0.21,43700,0.21
"50",0.21,0.21,0.21,0.21,45000,0.21
"51",0.21,0.21,0.21,0.21,0,0.21
"52",0.24,0.24,0.24,0.24,10000,0.24
"53",0.24,0.24,0.24,0.24,0,0.24
"54",0.24,0.24,0.24,0.24,0,0.24
"55",0.24,0.24,0.24,0.24,0,0.24
"56",0.24,0.24,0.24,0.24,0,0.24
"57",0.235,0.235,0.235,0.235,10000,0.235
"58",0.25,0.25,0.245,0.245,40000,0.245
"59",0.25,0.25,0.25,0.25,9000,0.25
"60",0.25,0.25,0.25,0.25,15000,0.25
"61",0.25,0.25,0.25,0.25,0,0.25
"62",0.24,0.24,0.23,0.23,25000,0.23
"63",0.23,0.23,0.23,0.23,0,0.23
"64",0.23,0.23,0.23,0.23,0,0.23
"65",0.23,0.24,0.23,0.23,31000,0.23
"66",0.23,0.23,0.23,0.23,0,0.23
"67",0.24,0.24,0.24,0.24,40000,0.24
"68",0.24,0.24,0.24,0.24,0,0.24
"69",0.23,0.23,0.23,0.23,5000,0.23
"70",0.23,0.23,0.23,0.23,0,0.23
"71",0.25,0.25,0.25,0.25,42000,0.25
"72",0.25,0.25,0.25,0.25,40000,0.25
"73",0.255,0.26,0.255,0.26,74000,0.26
"74",0.27,0.27,0.27,0.27,5000,0.27
"75",0.27,0.27,0.27,0.27,0,0.27
"76",0.27,0.275,0.27,0.275,37000,0.275
"77",0.3,0.3,0.275,0.275,15500,0.275
"78",0.275,0.275,0.275,0.275,0,0.275
"79",0.27,0.27,0.27,0.27,2800,0.27
"80",0.25,0.25,0.25,0.25,2000,0.25
"81",0.25,0.25,0.25,0.25,0,0.25
"82",0.25,0.25,0.25,0.25,0,0.25
"83",0.2,0.2,0.2,0.2,500,0.2
"84",0.2,0.2,0.2,0.2,0,0.2
"85",0.2,0.2,0.2,0.2,0,0.2
"86",0.2,0.2,0.2,0.2,0,0.2
"87",0.205,0.205,0.205,0.205,11000,0.205
