"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"1",57.529999,58.18,57.48,58.110001,3027800,27.705778
"2",57.509998,57.869999,56.73,57.860001,3622200,27.586582
"3",58.009998,58.720001,57.419998,58.16,3786600,27.729616
"4",58.41,60.290001,58.049999,60.25,3678400,28.72609
"5",59.700001,60.009998,59.110001,59.450001,3816600,28.344665
"6",59.84,59.84,58.560001,59.73,2936400,28.478163
"7",59.560001,60.169998,59.32,59.939999,2986400,28.578287
"8",60.790001,60.799999,58.650002,58.98,3099800,28.120577
"9",58.919998,59.68,57.619999,57.759998,2839200,27.538903
"10",57.689999,57.689999,56.389999,57.34,2773600,27.338656
"11",57.029999,57.209999,56.349998,56.509998,2421400,26.942926
"12",56.720001,57.060001,55.939999,56.23,2442200,26.809428
"13",56.459999,56.700001,55.889999,56.189999,1222400,26.790356
"14",55.810001,55.810001,54.790001,55.389999,3479000,26.408931
"15",55.41,56.610001,55.330002,55.73,3667200,26.571037
"16",55.779999,57.060001,55.389999,56.91,4656200,27.133639
"17",56.189999,58,56.09,57.389999,3725400,27.362494
"18",58.16,59.900002,57.98,58.66,5175000,27.968007
"19",58.880001,60.41,58.880001,60.389999,4169800,28.792839
"20",60.880001,61.599998,60.279999,61.5,2681200,29.322067
"21",61.360001,62.720001,61.200001,62.189999,3805400,29.651046
"22",61.900002,62.43,61.5,62.150002,2665400,29.631976
"23",62.709999,64.029999,62.470001,63.73,3489800,30.38529
"24",63.41,65.129997,63.029999,65.120003,4603800,31.048018
"25",64.970001,65,64.120003,64.93,6257200,30.957428
"26",64.489998,64.629997,63.169998,63.470001,3298400,30.261327
"27",63.889999,64.099998,62.48,62.810001,2845200,29.946651
"28",62.259998,62.439999,60.970001,62.419998,4630600,29.760705
"29",62.669998,63.060001,60.73,61.16,3356000,29.159961
"30",61.75,62.529999,61.450001,62.27,3236800,29.689189
"31",60.93,62.689999,60.509998,62.669998,5098200,29.879901
"32",61.560001,62.970001,61.400002,62.970001,4976800,30.022936
"33",63.25,63.889999,62.970001,63.43,4671000,30.242256
"34",63.360001,63.360001,61.889999,62,2683600,29.560458
"35",62.23,62.919998,61.77,62.389999,3400800,29.746402
"36",61.869999,62.560001,61.66,62.25,3079400,29.679653
"37",63.209999,64.150002,62.439999,63.450001,3942800,30.251791
"38",63.389999,63.48,62.169998,62.779999,3443600,29.932347
"39",63.029999,63.529999,62.790001,63.279999,2799200,30.170738
"40",62.970001,63.810001,62.759998,63.310001,2884000,30.185042
"41",62.700001,63.73,62.529999,63.459999,2582400,30.256558
"42",63.650002,64.290001,63.650002,63.93,2384000,30.480646
"43",63.299999,63.369999,62.759998,62.959999,3233200,30.018168
"44",61.75,62.009998,60.099998,60.349998,5305800,28.773767
"45",54.73,59.150002,54.610001,58.799999,18136000,28.034756
"46",58.470001,58.720001,57.299999,57.82,4239400,27.567511
"47",57.529999,57.59,56.84,57.43,4893800,27.381566
"48",57.720001,59.110001,57.27,58.560001,4512400,27.92033
"49",58.599998,59.23,58.130001,58.720001,3293400,27.996615
"50",58.5,58.639999,57.43,58.040001,2640200,27.672403
"51",57.560001,57.939999,57.110001,57.389999,2531000,27.362494
"52",57.689999,57.869999,56.48,56.560001,3280600,26.966767
"53",55.689999,56.77,55.5,56.470001,3434600,26.923856
"54",56.02,57.080002,55.869999,56.919998,3392200,27.138406
"55",57.049999,57.41,56.549999,56.650002,2798600,27.009677
"56",57.07,57.549999,56.209999,57.360001,1932600,27.348192
"57",57.23,57.240002,55.650002,55.709999,3078200,26.561501
"58",55.310001,56.59,55.310001,56.07,3675000,26.733143
"59",56.830002,58.169998,56.830002,58.080002,2746600,27.691475
"60",57.98,58.419998,57.68,58.360001,2063000,27.824973
"61",58.75,59.799999,58.470001,59.119999,3126400,28.187326
"62",58.779999,58.779999,57.389999,57.580002,3034200,27.453084
