"","CLF.Open","CLF.High","CLF.Low","CLF.Close","CLF.Volume","CLF.Adjusted"
"1",53,54.869999,52.41,54.869999,8385600,48.547517
"2",53.84,56.18,53.77,55.970001,5815400,49.52077
"3",57.52,58.43,55.900002,56.119999,6694100,49.653484
"4",57.459999,58.07,56.099998,57.93,5061200,51.254925
"5",57.029999,58.200001,56.5,57.509998,4279900,50.883319
"6",58.48,58.5,55.419998,56.360001,5877800,49.865831
"7",56.639999,56.860001,55.73,56.220001,4382100,49.741963
"8",59.040001,60.27,57.16,57.889999,8187500,51.219534
"9",58.169998,59.02,55.799999,55.880001,4750200,49.44114
"10",55.720001,57.080002,54.189999,56.299999,5880200,49.812744
"11",55.5,55.990002,53.779999,53.939999,4887600,47.724678
"12",54.669998,56.5,53.720001,56.369999,8184500,49.874677
"13",56.380001,56.380001,54.299999,54.439999,3526000,48.167064
"14",52,52.25,47.93,48.490002,11429300,42.902665
"15",48.68,49.799999,47,47.16,6960600,41.725915
"16",46.91,48.509998,44.91,46.849998,8917400,41.451634
"17",47.73,47.990002,46.310001,46.889999,5718500,41.487026
"18",48.700001,49.529999,44.459999,44.490002,10904300,39.363572
"19",44.490002,48.43,44.200001,48.43,9116300,42.849578
"20",49.5,49.5,47.630001,49.419998,7424800,43.725501
"21",49.080002,51.299999,49.009998,51.07,5751600,45.185379
"22",50.619999,50.619999,47.369999,47.950001,7400500,42.424887
"23",49.799999,49.98,47.84,48.900002,6722400,43.265422
"24",48.299999,49.23,47.560001,48.639999,5514000,43.035379
"25",48.389999,49.150002,47.529999,48.459999,4575000,42.87612
"26",47.91,48.130001,46.349998,46.549999,5171300,41.186203
"27",47.150002,47.43,45.18,46.52,5124700,41.159661
"28",45.509998,50.5,45.509998,50.330002,8557600,44.530649
"29",52.009998,53.509998,50.610001,51.279999,9230600,45.371181
"30",52.75,54.849998,51.990002,54.52,7918000,48.237848
"31",54.790001,56.369999,53.740002,55.900002,6327400,49.458836
"32",56.049999,57.529999,55,57.139999,5538100,50.555953
"33",57.470001,57.75,54.049999,55.299999,6922100,48.92797
"34",54.369999,56.299999,53.919998,54.139999,5078600,47.901633
"35",55.27,57.169998,54.740002,56.189999,6870100,49.715418
"36",54.599998,57.080002,54.509998,56.57,4542000,50.051633
"37",58.32,60.82,58.25,60.599998,6482900,53.617269
"38",59.830002,60.939999,59.049999,59.689999,4771500,52.812125
"39",60.029999,62.48,59.459999,62.439999,5853100,55.245252
"40",61.779999,62.220001,61.049999,61.630001,3443500,54.528588
"41",60.029999,62.470001,59.360001,60.029999,6174200,53.112948
"42",61.009998,63.060001,60.299999,62.459999,5366600,55.262948
"43",60.970001,61.439999,59.900002,61.23,5342500,54.174677
"44",58.779999,59.240002,57.669998,58.02,5176600,51.452198
"45",56.299999,59.630001,56.23,58.689999,4634200,52.046353
"46",59.09,59.509998,57.950001,58.490002,3812600,51.868996
"47",58.790001,61,58.299999,60.470001,4978500,53.624861
"48",62.279999,64.489998,62.080002,62.869999,6382100,55.753182
"49",63.150002,64.349998,62.009998,63.610001,4753000,56.409416
"50",63.369999,65,60.990002,61.5,5770200,54.538265
"51",61.139999,61.509998,59.939999,61.279999,4117900,54.343168
"52",62.130001,62.139999,59.720001,59.810001,3283100,53.039573
"53",57.970001,58.990002,57.549999,57.810001,4844900,51.265971
"54",56.939999,58.389999,55.720001,58,5241200,51.434462
"55",59.009998,59.57,57.09,57.419998,3715500,50.920115
