"","ROK.Open","ROK.High","ROK.Low","ROK.Close","ROK.Volume","ROK.Adjusted"
"690",89.800003,90.93,89.769997,90.790001,674400,86.527336
"691",90.32,90.769997,89.290001,90.599998,980100,86.346255
"692",90.279999,90.519997,89.919998,90.059998,917000,85.831607
"693",90,90,88.209999,88.540001,1188500,84.382976
"694",88.410004,88.959999,87.709999,88.910004,815300,84.735606
"695",89.199997,89.379997,88.160004,89.370003,1058700,85.174008
"696",89.07,89.370003,87.900002,88.540001,1392300,84.382976
"697",87.580002,88.269997,86.970001,87.449997,846000,83.344148
"698",87.629997,88,86.080002,86.709999,749500,82.638894
"699",87.300003,87.760002,86.43,86.849998,1053000,82.77232
"700",86.889999,87.449997,85.209999,86.160004,1517200,82.114721
"701",86.459999,86.629997,85.610001,85.940002,1025200,81.905049
"702",86.190002,86.389999,84.57,85.18,902600,81.18073
"703",85.339996,85.57,84.18,84.849998,1344600,80.866222
"704",84.089996,85.209999,83.580002,85.040001,1005500,81.047303
"705",85.32,86.440002,84.760002,86.349998,957500,82.295795
"706",86.290001,86.389999,84.580002,84.660004,616700,80.685147
"707",85.080002,85.260002,83.940002,84.330002,1052200,80.370639
"708",84.139999,84.849998,83.129997,84.589996,1536600,80.618427
"709",84.75,87.239998,84.589996,86.949997,1839700,82.867624
"710",85.769997,88.260002,85.230003,87.989998,1578600,83.858796
"711",87.949997,88.019997,86.07,87.089996,1239600,83.00105
"712",87.129997,88.139999,86.769997,87.57,847800,83.458517
"713",87.660004,88.82,87.290001,88.800003,841200,84.63077
"714",88.75,89.790001,88.580002,88.989998,1142900,84.811845
"715",88.610001,88.639999,87.43,87.629997,735100,83.515697
"716",86.989998,87.019997,83.300003,83.330002,1592200,79.41759
"717",84.059998,84.919998,83.510002,84.760002,976000,80.780451
"718",83.93,84.010002,83.209999,83.82,813300,79.884582
"719",84.029999,84.57,82.480003,82.870003,883400,78.979188
"720",83.059998,83.230003,82.25,83.18,917900,79.274631
"721",83.18,84.379997,82.029999,84.019997,988800,80.075189
"722",84.230003,85.080002,83.720001,85.040001,977100,81.047303
"723",85.120003,88,84.910004,86.300003,1722800,82.248147
"724",86.230003,87.059998,85.110001,86.849998,1643800,82.77232
"725",86.900002,87.050003,84.68,84.870003,965200,80.885287
"726",85.209999,85.480003,84.470001,84.849998,714100,80.866222
"727",84.889999,85.349998,83.82,84.779999,1003800,80.799509
"728",84.480003,84.5,82.209999,82.32,1156400,78.455008
"729",83.059998,83.940002,82.739998,83,1106900,79.103082
"730",84.32,85.809998,84.160004,85.089996,913600,81.094951
"731",84.980003,86.620003,84.610001,86.209999,842800,82.162369
"732",86.529999,88.099998,86.209999,87.910004,1149200,83.782557
"733",87.739998,88.779999,87.400002,88.75,702600,84.583115
"734",87.919998,88.790001,87.709999,87.949997,717500,84.314685
"735",87.959999,88.419998,87.57,87.919998,524800,84.285926
"736",87.68,88.720001,87.529999,88.669998,883100,85.004925
"737",88.690002,90.139999,88.540001,89.989998,844500,86.270364
"738",89.57,89.940002,88.949997,89.650002,652300,85.944421
"739",89.18,90.199997,89.169998,89.419998,714600,85.723925
"740",89.650002,90.959999,89.559998,90.949997,741400,87.190683
