"","ROP.Open","ROP.High","ROP.Low","ROP.Close","ROP.Volume","ROP.Adjusted"
"1",57.130001,58.130001,57.040001,58.099998,495700,56.454297
"2",57.450001,58.349998,57.41,58.279999,295200,56.629199
"3",58.529999,59.450001,58.529999,58.860001,832900,57.192772
"4",59.099998,60.52,58.970001,60.439999,432900,58.728016
"5",59.970001,60.549999,59.93,60.18,633300,58.475383
"6",60.25,60.490002,59.610001,60.419998,320000,58.708582
"7",59.82,60.860001,59.82,60.619999,475000,58.902918
"8",61.34,61.470001,60.049999,60.299999,389900,58.591983
"9",60.43,60.970001,58.970001,59.049999,411300,57.377389
"10",59.279999,59.639999,58.43,59.209999,398000,57.532857
"11",58.639999,59.240002,57.84,57.939999,364700,56.29883
"12",57.970001,58.169998,57.200001,57.970001,1051900,56.327982
"13",58.18,58.490002,57.450001,57.849998,470800,56.211379
"14",57,57.119999,55.48,55.84,665700,54.258314
"15",55.580002,56.970001,55.419998,55.959999,823800,54.374914
"16",55.900002,56.02,54.25,55.07,964700,53.510124
"17",55.23,55.439999,54.369999,54.779999,722400,53.228338
"18",55.389999,55.82,54.209999,54.790001,507900,53.238057
"19",54.720001,56.110001,54.580002,56.110001,593200,54.615364
"20",56.52,56.849998,55.990002,56.759998,536700,55.248047
"21",56.880001,57.119999,56.52,56.900002,470200,55.384321
"22",56.619999,56.900002,56.099998,56.580002,288200,55.072846
"23",57.220001,58.139999,57.060001,57.880001,342900,56.338216
"24",57.580002,58.41,57.509998,58.299999,490300,56.747026
"25",58.189999,58.610001,57.220001,58.490002,491800,56.931968
"26",58.16,58.16,56.759998,56.93,511400,55.413521
"27",57.029999,57.330002,56.470001,57.209999,208400,55.686061
"28",56.639999,58.27,56.450001,58.150002,290800,56.601024
"29",58.639999,58.93,58.029999,58.32,956300,56.766494
"30",59.169998,60.360001,59,60.119999,757500,58.518546
"31",60.080002,62.310001,59.959999,62.009998,980900,60.3582
"32",62.139999,65.169998,62.02,63.490002,1445400,61.79878
"33",64.220001,65.769997,62.689999,62.830002,1073000,61.156361
"34",62.77,62.919998,61.830002,62.119999,658000,60.46527
"35",62.700001,62.75,61.41,62.080002,498800,60.426339
"36",61.279999,62.830002,60.919998,62.5,537900,60.835149
"37",63.290001,63.509998,62.720001,63.02,539000,61.341298
"38",62.970001,63.939999,62.540001,63.5,706900,61.808512
"39",63.490002,64,63.32,63.580002,610600,61.886382
"40",63.07,63.849998,63.060001,63.43,304900,61.740376
"41",62.73,63.310001,62.209999,63.130001,269400,61.448368
"42",63.52,63.869999,63.220001,63.73,160700,62.032384
"43",63.27,63.330002,62.400002,62.860001,259900,61.18556
"44",61.75,61.75,60.220001,60.5,694000,58.888424
"45",59.490002,60.439999,59.34,60.150002,369300,58.547749
"46",59.860001,59.98,59.279999,59.419998,448800,57.837191
"47",59.029999,60.049999,58.709999,59.799999,619800,58.20707
"48",60.279999,61.25,60.029999,60.970001,524400,59.345906
"49",60.82,61.299999,60.310001,60.830002,422800,59.209636
"50",60.389999,60.619999,59.25,59.549999,449100,57.963729
"51",58.98,59.540001,58.540001,59.459999,504300,57.876127
"52",59.849998,60.419998,59.18,59.279999,357800,57.700921
"53",58.330002,58.810001,57.290001,58.459999,481600,56.902764
"54",57.990002,58.080002,56.959999,57.830002,1052300,56.289549
"55",58.23,59,57.810001,57.869999,606100,56.32848
"56",58.279999,59.419998,57.700001,59.25,533700,57.671721
"57",59.029999,59.369999,57.98,58.02,331000,56.474486
"58",57.610001,58.639999,57.5,58.080002,723800,56.532889
"59",58.900002,60.41,58.849998,60,453200,58.401743
"60",59.970001,60.860001,59.970001,60.849998,461300,59.2291
"61",61.34,61.959999,61.080002,61.959999,461700,60.309533
"62",61.57,61.599998,60.860001,61,373700,59.375106
"63",61.009998,62.459999,60.900002,62.27,703700,60.611276
"64",62.98,63.009998,62.02,62.419998,357600,60.757278
"65",62.48,62.73,62.09,62.290001,388300,60.630744
"66",62.830002,64.339996,62.790001,64.010002,808900,62.304928
"67",64,64.07,63.540001,63.709999,366600,62.012917
"68",63.48,64,63,63.880001,5e+05,62.17839
"69",63.77,64.019997,63.540001,63.970001,457400,62.265993
