"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume","LLL.Adjusted"
"1",78.580002,80.099998,77.790001,79.879997,2079400,70.79133
"2",79.07,79.669998,78.5,79.610001,997700,70.552054
"3",80.010002,81.660004,80.010002,80.260002,917700,71.128099
"4",80.309998,82.449997,80.309998,82.449997,1054200,73.068918
"5",81.82,82.580002,81.779999,82.129997,640300,72.785328
"6",82.18,82.510002,81.25,82.379997,636000,73.006883
"7",81.690002,82.059998,80.75,81.610001,1207100,72.324496
"8",82.580002,82.639999,80.839996,81.389999,890900,72.129526
"9",80.32,81.260002,78.669998,78.800003,1238800,69.834217
"10",79.019997,79.309998,77.589996,77.839996,1356800,68.983439
"11",77.57,77.610001,74.870003,75.239998,1978000,66.679266
"12",75.540001,75.660004,74.269997,74.849998,1684400,66.33364
"13",74.75,75.720001,74.519997,74.620003,1021200,66.129813
"14",73.790001,73.900002,71.190002,71.57,1796400,63.426836
"15",71.599998,72.540001,70.75,70.839996,1817700,62.779892
"16",70.839996,70.839996,69.559998,70.360001,1756700,62.35451
"17",70.410004,71.169998,69.93,70.43,1049800,62.416545
"18",71.059998,71.239998,69.75,70.32,882200,62.31906
"19",70.57,72.940002,70.5,72.800003,1548700,64.516891
"20",73.099998,74.150002,73.07,74,1240000,65.580353
"21",73.860001,73.860001,72.330002,73.220001,747700,64.889102
"22",72.860001,72.860001,71.699997,71.860001,917200,63.683841
"23",72.620003,73.440002,72.110001,73.25,1081000,64.915688
"24",73.660004,74.940002,73.040001,74.489998,1269600,66.0146
"25",74.599998,74.949997,72.730003,73.790001,1079000,65.394248
"26",73.480003,73.489998,71.489998,71.629997,992500,63.480007
"27",71.769997,72.32,71.25,72.32,1004100,64.091502
"28",71.419998,73.120003,70.610001,73.120003,1193900,64.800481
"29",73.75,73.75,71.910004,72.339996,1122600,64.109223
"30",73.32,74.589996,72.970001,74.230003,767200,65.784187
"31",74.169998,75.410004,74.010002,75.150002,937100,66.599509
"32",75.57,76.650002,75.129997,76.650002,756700,67.92884
"33",75.849998,75.849998,72.57,73.029999,2335100,64.720718
"34",73.019997,74.199997,72.690002,74.029999,1945900,65.606939
"35",74.75,74.75,72.889999,73.550003,1745500,65.181557
"36",72.940002,73.410004,72.269997,73.040001,1467000,64.729582
"37",73.910004,74.669998,73.010002,74.25,1115100,65.801909
"38",73.889999,74.949997,73.889999,74.470001,920300,65.996878
"39",74.489998,75.080002,74.349998,74.739998,780200,66.236155
"40",74.18,74.879997,74.129997,74.82,593800,66.307054
"41",74.050003,74.760002,73.440002,74.43,627100,65.961429
"42",74.879997,74.949997,74.190002,74.550003,727100,66.067778
"43",74.190002,74.5,73.150002,74.059998,960000,65.633524
"44",73.120003,73.150002,71.349998,71.559998,1078700,63.417972
"45",70.5,71.029999,70.230003,70.269997,1092300,62.274746
"46",69.730003,71.169998,69.470001,70.260002,1128900,62.622356
"47",69.980003,70.580002,69.480003,70.110001,544900,62.488661
"48",70.599998,71.989998,70.419998,71.290001,680600,63.540388
"49",71.419998,71.720001,70.68,71.440002,1023300,63.674084
"50",71.129997,71.330002,69.800003,70.059998,878400,62.444093
"51",69.690002,69.730003,68.809998,69.269997,1011000,61.73997
"52",69.480003,69.489998,68.669998,68.800003,1180000,61.321067
"53",67.989998,68.410004,67.57,67.870003,1266900,60.492163
"54",67.330002,68.269997,66.800003,67.93,898800,60.545638
"55",68.870003,69,67.769997,67.889999,843400,60.509986
"56",68.160004,68.779999,67.169998,68.709999,740900,61.240847
"57",67.690002,68.620003,67,67.059998,820300,59.77021
"58",66.660004,67.230003,66.110001,66.599998,1131200,59.360215
"59",67.300003,69.279999,67.300003,69.269997,823700,61.73997
"60",69.519997,69.989998,69.400002,69.910004,532300,62.310404
"61",70.540001,70.68,69.940002,70.68,587200,62.996698
"62",70.470001,70.5,69.209999,69.370003,715800,61.829105
"63",69.190002,69.360001,68.760002,68.769997,1091200,61.294322
"64",69.529999,69.529999,67.919998,68.269997,781800,60.848675
"65",68.25,68.839996,67.919998,68.5,553600,61.053676
"66",69.260002,69.480003,68.800003,69.260002,793300,61.731062
"67",69.050003,69.440002,68.449997,69.050003,765300,61.543891
"68",68.669998,68.889999,68.25,68.790001,571400,61.312152
"69",68.519997,69.029999,68.209999,69,652500,61.499323
"70",69.449997,71.120003,69.089996,70.730003,1320000,63.041266
"71",71,71.730003,70.730003,71.559998,997400,63.781035
"72",71.5,71.800003,71.019997,71.489998,771800,63.718645
"73",71.269997,71.589996,70.739998,70.910004,663700,63.201699
"74",70.449997,70.75,69.559998,69.720001,510800,62.141056
"75",70.379997,71.839996,70.190002,71.610001,803600,63.825602
"76",71.93,71.93,71.190002,71.25,509300,63.504736
"77",71.559998,72.300003,70.360001,72.150002,576100,64.306902
"78",71.75,72.470001,71.650002,72.419998,622300,64.547549
"79",72.650002,73.440002,71.839996,72.269997,704000,64.413853
"80",72.75,73.010002,71.529999,71.720001,589700,63.923645
"81",71.339996,71.620003,69.650002,69.949997,860800,62.34605
"82",70.669998,70.860001,70.080002,70.650002,1245500,62.969961
"83",70.660004,71.150002,70.620003,70.830002,841100,63.130394
"84",70.760002,70.949997,69.849998,70.300003,515300,62.658009
"85",70.290001,70.900002,69.82,70.779999,883700,63.085826
