"","CB.Open","CB.High","CB.Low","CB.Close","CB.Volume","CB.Adjusted"
"1",50.23,51.439999,49.970001,51.389999,2753500,45.56156
"2",50.91,51.900002,50.91,51.880001,2077600,45.995987
"3",52.23,52.23,51.509998,51.560001,2292500,45.712281
"4",51.75,52.650002,51.459999,52.610001,1918400,46.643193
"5",52.32,52.740002,52.029999,52.619999,1979800,46.652058
"6",52.59,52.900002,52.310001,52.900002,2067200,46.900304
"7",53,53.07,52.720001,52.970001,2566900,46.962364
"8",53.439999,53.599998,52.509998,52.75,1667700,46.767315
"9",52.779999,53.400002,52.310001,52.380001,2177000,46.439279
"10",52.060001,52.5,51.59,51.900002,2019300,46.341062
"11",51.59,52.279999,51.380001,51.48,1990000,45.966046
"12",51.810001,52.439999,51.450001,52.400002,3292300,46.787508
"13",52.549999,52.560001,51.709999,51.830002,2631200,46.27856
"14",51.299999,51.299999,50.169998,50.450001,3969800,45.046369
"15",50.419998,50.740002,49.970001,50.009998,2723400,44.653495
"16",50.209999,50.209999,49.279999,49.740002,4424200,44.412417
"17",49.970001,50.139999,49.169998,49.369999,3136400,44.082045
"18",49.779999,50.049999,48.860001,49.200001,3157200,43.930255
"19",49.400002,50.689999,49.290001,50.630001,3133800,45.20709
"20",50.849998,51.080002,50.529999,51.080002,1727400,45.608892
"21",51.360001,52.18,51.220001,52.130001,3162200,46.546427
"22",51.91,52.189999,51.57,51.919998,1611100,46.358917
"23",52.43,52.650002,52.27,52.48,2681800,46.858938
"24",52.220001,52.93,51.919998,52.860001,3213100,47.198237
"25",52.869999,52.91,52.16,52.790001,2359000,47.135735
"26",52.57,52.599998,51.439999,51.549999,2663900,46.028548
"27",51.689999,52.150002,51.360001,51.849998,1910800,46.296415
"28",51.279999,52.27,51.240002,52.220001,2832100,46.626787
"29",52.639999,52.75,51.580002,51.689999,2675200,46.153553
"30",52.060001,52.200001,51.529999,52.200001,3548000,46.608929
"31",51.889999,53.189999,51.849998,52.880001,3426500,47.216095
"32",53.119999,53.349998,52.560001,53.209999,2517900,47.510748
"33",53.299999,53.490002,52.799999,53.189999,2508500,47.49289
"34",53.150002,53.189999,52.360001,52.66,2131200,47.019658
"35",53.110001,53.23,52.43,52.849998,2563100,47.189306
"36",52.470001,52.880001,52.169998,52.630001,2615000,46.992873
"37",53.27,53.43,52.889999,53.200001,2818900,47.50182
"38",52.98,53.169998,52.830002,52.93,2540600,47.260739
"39",53,53.720001,53,53.59,2276200,47.850047
"40",53.23,54,53.169998,53.580002,1973100,47.84112
"41",53.080002,53.810001,52.91,53.759998,2438700,48.001837
"42",53.849998,54.349998,53.740002,54.290001,2433600,48.475072
"43",53.779999,54.360001,53.639999,54.029999,2123700,48.242918
"44",53.5,53.580002,52.830002,52.849998,2937500,47.189306
"45",52.360001,53.330002,52.209999,53.110001,2263100,47.42146
"46",53.02,53.68,52.759998,53.099998,2533200,47.412529
"47",52.889999,53.169998,52.630001,53.150002,2149300,47.457176
"48",53.580002,54,53.459999,53.619999,2198100,47.876833
"49",53.470001,54.049999,53.389999,53.650002,2346400,47.903622
"50",53.369999,53.369999,52.830002,53.029999,3022100,47.350027
"51",52.900002,53.560001,52.900002,53.389999,2935500,47.671468
"52",53.470001,53.709999,53.18,53.27,2646600,47.564322
"53",52.75,53.900002,52.610001,53.610001,3712500,47.867906
"54",53.259998,54,53.09,53.830002,3825700,48.064343
"55",54.110001,54.25,53.349998,53.439999,3063400,47.716112
"56",53.799999,54.490002,53.450001,54.48,2694200,48.64472
"57",54.25,54.700001,54.16,54.400002,3359200,48.573291
"58",54.34,55.240002,54.189999,55.130001,4971300,49.225101
"59",55.5,55.959999,55.130001,55.849998,3686000,49.86798
"60",55.689999,55.939999,54.959999,55.630001,3363400,49.671547
"61",55.82,56.450001,55.709999,56.450001,2687700,50.403717
"62",56.040001,56.099998,55.389999,55.41,2495500,49.475109
"63",55.540001,56.099998,55.48,55.77,2801800,49.796551
"64",56.23,56.279999,55.66,56.060001,2494200,50.05549
"65",56.130001,56.189999,55.59,56.049999,1899500,50.046559
"66",56.549999,56.849998,56.02,56.82,3031800,50.734086
"67",56.700001,57.48,56.470001,57.099998,3434000,50.984095
"68",56.52,57.490002,56.419998,57.349998,2283800,51.541298
"69",57.080002,57.599998,56.970001,57.560001,1980500,51.730031
"70",57.73,57.959999,57.5,57.66,3753400,51.819901
"71",57.880001,58.200001,57.59,58.139999,2563800,52.251284
"72",58.23,58.279999,57.240002,57.32,2932600,51.514338
"73",57.509998,57.82,56.91,56.939999,2917500,51.172825
"74",56.549999,57.040001,56.259998,56.279999,1950800,50.579673
"75",56.869999,57.360001,56.73,57.16,2428300,51.370544
"76",57.049999,57.41,56.830002,56.91,2102600,51.145865
"77",57.169998,57.669998,56.68,57.52,1890000,51.694081
"78",57.290001,57.299999,56.57,56.759998,2474000,51.011056
"79",57.009998,57.599998,56.98,56.990002,2676100,51.217764
"80",56.990002,56.990002,55.860001,56.369999,3307300,50.660558
"81",56.18,56.689999,55.790001,56.09,2145700,50.408919
"82",56.57,56.75,55.830002,56.57,3883500,50.840302
"83",56.540001,56.740002,55.98,56.119999,2775300,50.435879
"84",56.220001,56.32,55.830002,56.049999,2145100,50.372969
"85",56.150002,56.459999,55.790001,56.330002,1435500,50.624612
"86",56.290001,56.639999,56.23,56.490002,1296800,50.768406
"87",56.450001,56.98,56.299999,56.869999,1621100,51.109915
"88",57,57.560001,56.990002,57.130001,2443400,51.343583
"89",57.029999,57.98,57.029999,57.450001,2718400,51.631172
"90",57.73,57.869999,57.32,57.59,2576600,51.756991
"91",57.599998,58.029999,57.599998,58.02,1803500,52.143439
"92",57.619999,58.150002,57.330002,57.709999,2375200,51.864836
"93",57.73,58.869999,57.610001,58.709999,3043100,52.763551
"94",58.990002,59.18,58.02,58.360001,2525200,52.449002
"95",58.57,58.950001,57.799999,57.919998,2223800,52.053565
"96",58.259998,58.75,58.220001,58.23,1940900,52.332168
"97",58.099998,58.68,58.049999,58.580002,2022400,52.64672
"98",58.25,58.439999,57.599998,58.169998,2021800,52.278244
"99",58.43,58.689999,57.41,57.57,2434100,51.739017
"100",57.560001,58.139999,57.48,58.02,2562000,52.143439
"101",58.169998,58.84,57.860001,58.259998,2214000,52.359129
"102",58.57,58.939999,58.490002,58.75,1528200,52.7995
"103",58.880001,58.98,58.419998,58.98,1798300,53.006204
"104",59.369999,60.029999,59.029999,60.009998,2492300,53.93188
"105",59.939999,59.939999,59.09,59.470001,2781400,53.446576
"106",59.330002,59.490002,58.490002,58.919998,3352100,52.95228
"107",58.869999,59.25,58.34,58.700001,3925600,52.754565
"108",58.560001,59.150002,58.549999,59.07,3444400,53.087089
"109",58.73,58.98,58.380001,58.389999,2920200,52.475962
"110",58.169998,58.41,57.82,57.849998,2728700,51.990656
"111",58.110001,58.73,58.049999,58.330002,1974600,52.422042
"112",58.099998,58.27,56.970001,57.080002,5001300,51.298648
"113",57.220001,57.52,56.700001,57.400002,2674800,51.586237
"114",57.889999,58.07,57.509998,57.849998,2196200,51.990656
"115",57.599998,57.810001,57.16,57.790001,2580300,51.936735
"116",57.450001,57.470001,56.950001,57.419998,2020000,51.604208
"117",56.970001,57.07,56.580002,56.970001,3408900,51.199789
"118",57.209999,57.369999,57.049999,57.310001,1868900,51.505352
"119",57.02,57.389999,56.810001,56.810001,630400,51.055995
