"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"1",33.25,34.209999,32,34,654700,31.705154
"2",34,37.450001,33.91,37,1685000,34.502668
"3",37,37,35.990002,36.549999,550200,34.08304
"4",36.400002,36.75,36,36,179600,33.570163
"5",36,36.439999,34.5,36,207100,33.570163
"6",36,37.220001,35.799999,36,598100,33.570163
"7",36.099998,37,36.099998,36.32,149700,33.868564
"8",36.240002,36.240002,35.419998,35.68,95700,33.271762
"9",36,36,34.68,34.75,124500,32.404533
"10",34.799999,35.5,34.5,34.75,266200,32.404533
"11",34.610001,34.990002,34.439999,34.950001,183900,32.591034
"12",35.25,35.25,33.970001,34.110001,536000,31.80773
"13",34.34,34.900002,34,34.049999,4105700,31.751779
"14",33.740002,34.099998,32.580002,32.759998,6878600,30.548847
"15",32.599998,32.669998,31.629999,32,11287600,29.840145
"16",31.93,31.98,31.049999,31.389999,11800000,29.271317
"17",30.85,31.09,30.120001,30.16,10881000,28.124337
"18",30.1,30.549999,29.25,29.35,12257200,27.369008
"19",29.09,30.41,28.75,30.1,14601300,28.068387
"20",29.809999,32.889999,29.73,32.490002,13990000,30.297074
"21",33.049999,33.349998,31.52,32.48,8862000,30.287747
"22",31.73,32.150002,31.4,31.83,4460100,29.681619
"23",31.190001,31.58,30.77,31.32,6398200,29.206042
"24",31.35,32.32,31.059999,31.67,6362800,29.532419
"25",31.459999,32.389999,31.25,32.099998,6118600,29.933394
"26",31.889999,32,31.200001,31.26,5850500,29.150092
"27",31.43,31.690001,30.99,31.379999,7940800,29.261992
"28",31.23,32.34,30.950001,32.189999,5480100,30.01732
"29",31.879999,32.27,31.33,31.629999,5415000,29.495118
"30",31.35,31.49,30.879999,31.41,5268900,29.289967
"31",31.42,31.440001,30.75,31.129999,4210400,29.028865
"32",31.01,31.41,30.83,31.299999,3217900,29.187391
"33",31.280001,31.719999,30.860001,31.01,3979600,28.916966
"34",30.790001,30.83,30.18,30.440001,6000600,28.385439
"35",30.26,30.35,29.719999,30.030001,8098000,28.003112
"36",29.5,30.17,29.379999,29.92,5701700,27.900536
"37",29.299999,30.190001,29.25,29.530001,4844900,27.53686
"38",29.370001,30.1,29.32,29.9,4046500,27.881885
"39",30.030001,32,29.82,31.530001,8609400,29.401869
"40",32.07,32.75,31.74,31.83,7694300,29.681619
"41",31.66,32.349998,31.51,32.119999,4302100,29.952045
"42",32.450001,33.049999,32.23,32.599998,5999000,30.399646
"43",32.560001,33.740002,32.490002,33.490002,6809900,31.229578
"44",33.27,33.490002,32.540001,32.77,2876200,30.558174
"45",32.77,33.639999,32.310001,33.529999,4460000,31.266876
"46",33.599998,34.91,33.380001,34.900002,9892400,32.54441
"47",34.380001,34.5,33.830002,33.860001,4254400,31.574604
"48",34.060001,34.529999,33.73,33.860001,4873500,31.574604
"49",33.790001,34.849998,33.48,34.66,4628400,32.320607
"50",34.700001,34.759998,33.060001,33.48,3489900,31.220251
"51",33.650002,34.709999,33.029999,34.16,4359500,31.854355
"52",33.689999,33.689999,32.759998,32.869999,3518600,30.651423
"53",32.810001,33.98,32.400002,32.580002,3274700,30.380999
