"","UNP.Open","UNP.High","UNP.Low","UNP.Close","UNP.Volume","UNP.Adjusted"
"1",70.540001,72.800003,70.540001,72.690002,7085800,32.944154
"2",72.07,73.68,71.620003,73.550003,5474600,33.333919
"3",74.300003,74.5,72.589996,72.739998,6701600,32.966813
"4",73.550003,75.220001,73.269997,75.150002,6142400,34.059061
"5",74.610001,76.489998,74.610001,75.120003,10246600,34.045465
"6",75.849998,76.370003,74.389999,76.220001,8972600,34.544
"7",76.279999,76.519997,75.809998,76.370003,8133600,34.611983
"8",77.260002,78.349998,76.360001,76.830002,7602000,34.820461
"9",76.760002,76.870003,73.629997,73.830002,8256800,33.460818
"10",74.07,74.25,72.389999,73.959999,9027800,33.519735
"11",73.650002,73.650002,71.739998,72.029999,8275600,32.645031
"12",72.32,73.110001,71.709999,72.720001,12364800,32.95775
"13",73.099998,73.620003,72.379997,72.669998,4592000,32.935088
"14",71.769997,71.769997,69.470001,70.129997,10232000,31.783923
"15",70.150002,71.120003,69.349998,69.510002,7521000,31.502932
"16",69.860001,70.379997,67.830002,69.510002,12434600,31.502932
"17",69.910004,70.529999,67.970001,68.370003,9758200,30.986268
"18",69.959999,69.959999,66.910004,67.43,11420600,30.560246
"19",67.709999,70.309998,67.129997,70.239998,10801000,31.833777
"20",70.730003,71.669998,70.099998,70.889999,9312600,32.128367
"21",70.889999,72.110001,70.879997,71.709999,6433600,32.500003
"22",71.269997,72.919998,71.019997,72.690002,7741000,32.944154
"23",73.639999,74.099998,71.690002,72.440002,10495600,32.830851
"24",72.050003,73.019997,71.419998,72.589996,5165200,32.89883
"25",72.650002,72.739998,71.330002,72.18,6939400,32.713014
"26",71.779999,71.919998,68.459999,68.809998,12628200,31.18568
"27",69.190002,69.260002,67.5,68.370003,8725600,30.986268
"28",67.389999,69.68,66.839996,69.629997,10168200,31.557316
"29",70.68,70.68,68.290001,69.120003,8042400,31.326179
"30",71.480003,73.839996,70.550003,72.400002,14054400,32.812722
"31",72.660004,74.330002,72.550003,73.900002,8799600,33.492543
"32",74.559998,76.489998,73.910004,75.459999,8632200,34.199556
"33",76,76,74.360001,74.629997,6944600,33.823388
"34",74.120003,74.919998,73.489998,74.709999,9674000,33.859646
"35",75.269997,75.809998,73.959999,74.349998,6326000,33.696488
"36",73.339996,75.129997,72.809998,74.669998,5592000,33.841517
"37",75.809998,76.440002,74.82,76.260002,6252200,34.562129
"38",75.870003,76.879997,75.199997,76.540001,4042600,34.689029
"39",76.57,77.25,76.339996,76.970001,4245800,34.883911
"40",76.489998,77.790001,76.239998,77.529999,6172200,35.13771
"41",76.290001,77.5,75.5,77.040001,5655200,34.915636
"42",77.589996,78.230003,76.980003,78.129997,5167800,35.409638
"43",77.360001,77.910004,76.419998,77.660004,4003400,35.19663
"44",76.419998,76.440002,73.650002,74.279999,7218600,33.664763
"45",73.379997,74.050003,72.510002,73.82,5105800,33.456285
"46",73.419998,74.620003,73.25,73.449997,4186800,33.288595
"47",72.230003,73.43,72.230003,73.089996,4083800,33.125437
"48",73.980003,75.68,73.980003,74.849998,5138600,33.923095
"49",74.849998,76.440002,74.400002,76,6380400,34.444293
"50",75.449997,75.839996,73.559998,74.5,6128800,33.764471
"51",73.720001,74.360001,72.910004,74.260002,5507800,33.655701
"52",74.540001,74.889999,72.690002,72.860001,5622000,33.0212
"53",72,72.400002,70.339996,71.940002,8177000,32.604243
"54",71.160004,73.050003,70.57,72.169998,9455400,32.708481
"55",72.660004,73.699997,72.139999,72.410004,5875200,32.817255
"56",72.779999,73.849998,71.900002,73.690002,9012800,33.55027
"57",73.599998,74.389999,72.309998,72.349998,3843400,32.94018
"58",71.93,73.529999,71.690002,72.940002,4738400,33.208803
"59",74.129997,76.690002,73.900002,76.379997,7177000,34.774996
"60",76.489998,77.410004,76.330002,77.309998,4711400,35.198415
"61",77.82,79.610001,77.82,78.800003,6300800,35.876799
"62",78.160004,79.18,78,78.360001,5576400,35.67647
"63",78.610001,79.800003,78.419998,79.010002,6101400,35.972409
"64",79.970001,80,78.129997,78.660004,5766600,35.813058
"65",78.849998,79.5,78.529999,78.730003,4111400,35.844928
"66",79.639999,79.779999,78.75,79.25,5288400,36.081677
"67",78.910004,80.169998,78.660004,79.699997,5570600,36.286556
"68",79.139999,80.150002,78.870003,79.080002,7027600,36.004279
"69",78.910004,79.470001,78.449997,78.919998,4407600,35.931431
