"","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"1",327.160004,331.380005,322.140015,330.950012,391200,330.950012
"2",326.589996,337.73999,326.589996,337.109985,407000,337.109985
"3",332,333.579987,325.809998,327.399994,518500,327.399994
"4",327.700012,333.809998,324.920013,333.410004,420500,333.410004
"5",331.600006,336.549988,330.589996,334.429993,252000,334.429993
"6",337.790009,341.070007,334,340.329987,378000,340.329987
"7",340.429993,350.820007,338.01001,349.899994,732400,349.899994
"8",356.119995,358.890015,349.140015,351.290009,453100,351.290009
"9",352.980011,356.890015,343.769989,345.089996,555700,345.089996
"10",344.700012,344.940002,336,338.420013,649600,338.420013
"11",335.820007,339.380005,330.709991,331.910004,362200,331.910004
"12",332.440002,337.829987,330.01001,337.420013,500300,337.420013
"13",338.450012,339.970001,331.049988,335.600006,219600,335.600006
"14",330,330.170013,317.809998,324.850006,575100,324.850006
"15",325.540009,328.829987,315.049988,315.619995,606300,315.619995
"16",315.75,317.980011,301.660004,312.070007,963400,312.070007
"17",312.529999,314.339996,306.459991,309.899994,427800,309.899994
"18",313.350006,321.149994,312.299988,314.940002,436700,314.940002
"19",315.950012,322.970001,314.709991,322.220001,506200,322.220001
"20",326.329987,328.450012,318,321.25,456400,321.25
"21",322,323.149994,316.730011,318.890015,630100,318.890015
"22",317.730011,319.730011,315.75,317.470001,469100,317.470001
"23",320.049988,331.75,319.01001,329.619995,535600,329.619995
"24",330.029999,341.049988,330.029999,337.769989,659600,337.769989
"25",338.700012,340.119995,332.230011,335.670013,493400,335.670013
"26",335.459991,336.579987,323.959991,324.609985,562200,324.609985
"27",326,327.480011,320.649994,323.079987,610600,323.079987
"28",318.75,326.959991,318,326.089996,677600,326.089996
"29",327.299988,329.940002,314,316.100006,1264200,316.100006
"30",308.23999,324.200012,306.809998,316.980011,2146400,316.980011
"31",315.950012,334.859985,315.929993,334.369995,860300,334.369995
"32",333.339996,344.589996,333.200012,340.51001,770200,340.51001
"33",343,344.720001,332.100006,335.459991,522700,335.459991
"34",336.119995,337.920013,328.350006,330.070007,448900,330.070007
"35",333,334.019989,322.279999,327.25,388200,327.25
"36",323.149994,333.440002,322.700012,328.369995,420300,328.369995
"37",333.290009,338.119995,332,336.809998,631800,336.809998
"38",336.040009,337.73999,332.950012,334.640015,315500,334.640015
"39",335.019989,337.559998,333.920013,335.350006,322500,335.350006
"40",334.309998,335.630005,330.410004,334.920013,332300,334.920013
"41",332.880005,334.399994,326.130005,332.160004,333800,332.160004
"42",333.029999,334.720001,329.179993,331.420013,324100,331.420013
"43",327.25,329.679993,322.820007,327.630005,358400,327.630005
"44",321.230011,325.290009,314.519989,317,473000,317
"45",312.079987,320.119995,311,317,369200,317
"46",316.670013,318.609985,314.100006,315.700012,284300,315.700012
"47",311.269989,316.720001,308.690002,309.350006,429400,309.350006
"48",313.25,317.709991,309.690002,316.920013,507800,316.920013
"49",315.48999,317.519989,312.029999,314.049988,322900,314.049988
"50",312.029999,313.01001,303.929993,306.5,501100,306.5
"51",304.839996,306.899994,292,293.5,1078400,293.5
"52",294.25,298.75,282.040009,282.940002,1023100,282.940002
"53",275.48999,277.779999,265.559998,269.119995,1398200,269.119995
"54",271.609985,278.859985,269.549988,276.399994,1205800,276.399994
"55",278.25,280,267.959991,267.959991,890700,267.959991
"56",269,273.329987,262.01001,273.070007,845100,273.070007
"57",271.25,273.660004,266.640015,268.350006,597600,268.350006
"58",265.519989,269.649994,262.619995,265.029999,673000,265.029999
"59",271.209991,275.98999,265.75,274.059998,651900,274.059998
"60",273.98999,277.649994,271.25,277.320007,411200,277.320007
"61",280,284.929993,278,281.179993,462600,281.179993
"62",279.040009,282.420013,277.140015,278.019989,350800,278.019989
"63",278.839996,283.649994,278.700012,280.220001,463000,280.220001
"64",284,285.980011,280.220001,282.859985,548600,282.859985
"65",283.809998,283.809998,278.5,280.029999,438100,280.029999
"66",282.369995,283.609985,278.040009,279.359985,503700,279.359985
"67",277.790009,287.649994,276.100006,285.910004,612100,285.910004
"68",281.410004,295.320007,281.410004,293.73999,821500,293.73999
"69",293.459991,294.190002,289.26001,292.25,415700,292.25
"70",294.529999,301.420013,293.029999,295.769989,863600,295.769989
"71",297.399994,307.440002,297,306.339996,667600,306.339996
"72",309.040009,310.809998,303.859985,305.140015,652100,305.140015
"73",304.670013,310.429993,300.660004,301.200012,409500,301.200012
"74",298.170013,303.799988,297.130005,299.049988,333000,299.049988
"75",303.679993,306.200012,300.570007,305.579987,363800,305.579987
"76",298.350006,298.619995,288.220001,290.26001,985700,290.26001
"77",290.299988,292.660004,284.410004,290.029999,878700,290.029999
"78",288.709991,293.869995,285.540009,286.980011,575900,286.980011
"79",292,292,282,283.73999,578500,283.73999
"80",286.51001,291.070007,284.269989,289.609985,535300,289.609985
"81",288.600006,289.549988,280.350006,283.25,537700,283.25
"82",286.220001,293.76001,283.070007,292.890015,497200,292.890015
"83",291.890015,294.98999,288.73999,292.880005,456600,292.880005
"84",293.5,293.549988,285.690002,287.160004,449900,287.160004
"85",288.100006,291.140015,285.269989,289.820007,301300,289.820007
"86",288.019989,293.450012,288.019989,290.5,421800,290.5
"87",290.290009,292,286,286.630005,522400,286.630005
"88",288.01001,289.410004,275.660004,275.700012,1098000,275.700012
"89",276.029999,276.399994,270.480011,274.170013,1058000,274.170013
"90",277.029999,281.589996,271.25,279.809998,905300,279.809998
"91",280,286.910004,278.450012,285.589996,995500,285.589996
"92",283.140015,283.140015,275.160004,279.040009,1450900,279.040009
"93",263.309998,263.309998,255.100006,259.450012,2662500,259.450012
"94",262.480011,262.480011,255.210007,256.839996,1136900,256.839996
"95",256.839996,268.380005,255.75,265.839996,905400,265.839996
"96",269.309998,269.5,263.76001,265.799988,622000,265.799988
"97",262.140015,266.790009,260.570007,263.929993,493200,263.929993
"98",261,262,256.200012,260.890015,731700,260.890015
"99",261.380005,264.359985,260.23999,262.769989,363300,262.769989
"100",261.880005,264.700012,261.089996,262.950012,356400,262.950012
"101",264.23999,266.73999,260.429993,262.01001,348100,262.01001
"102",262.440002,267.25,262.079987,266.26001,333500,266.26001
"103",266.75,270.209991,264.570007,269.980011,420400,269.980011
"104",274.769989,276.75,274,275.799988,557700,275.799988
"105",276.899994,279,275.769989,278.269989,304800,278.269989
"106",276.76001,278.75,275.950012,277.100006,287100,277.100006
"107",278.079987,280.73999,276.029999,277.959991,382200,277.959991
"108",278.100006,279.859985,272.5,277.070007,444400,277.070007
"109",274.619995,275.769989,270.01001,273.209991,544600,273.209991
"110",272.119995,272.329987,265.149994,267.679993,449700,267.679993
"111",269.369995,270.350006,265,268.200012,350000,268.200012
"112",265.700012,269.440002,260.119995,262.559998,339300,262.559998
"113",263.190002,266,261.399994,262.420013,245900,262.420013
"114",264.869995,266.75,259.51001,260.140015,620200,260.140015
"115",259.48999,260.119995,246.050003,247.5,1478000,247.5
"116",247.509995,256.470001,247.119995,254.990005,974100,254.990005
"117",251.740005,254.050003,250.289993,251.279999,360500,251.279999
"118",253,259.5,252.130005,257.079987,433100,257.079987
"119",255,258.109985,252.759995,254.839996,160900,254.839996
"120",253.229996,256.160004,250.399994,254.449997,302200,254.449997
"121",251.610001,262.390015,250.589996,260.290009,708500,260.290009
"122",261.440002,267.76001,261.230011,266.309998,566600,266.309998
"123",267.570007,269.730011,267.040009,268.429993,458200,268.429993
"124",267.200012,272,267.200012,271.320007,400300,271.320007
"125",271,271.970001,267.790009,270.190002,464100,270.190002
"126",273,273.970001,260.299988,260.649994,1021800,260.649994
"127",261.049988,263.670013,257.850006,260.049988,938500,260.049988
"128",260.600006,262.339996,259.369995,260.5,479200,260.5
"129",260.890015,261.98999,258.170013,260.070007,551100,260.070007
"130",260,261.399994,253.25,254.699997,649800,254.699997
"131",254.990005,261.329987,254.779999,260,552300,260
"132",258.690002,260.48999,254,256.26001,491400,256.26001
"133",256.5,263.540009,255.080002,263.25,517200,263.25
"134",264.5,269.049988,263.709991,265.76001,1018200,265.76001
"135",266.320007,270.880005,265.859985,270.549988,598400,270.549988
"136",271.309998,271.98999,264.25,266.859985,475300,266.859985
"137",267.700012,269.48999,265.25,266.01001,212200,266.01001
"138",265.269989,266.73999,262.320007,263.220001,171500,263.220001
"139",262.950012,264,260.640015,262.339996,174500,262.339996
"140",262.140015,262.970001,260.170013,260.600006,147200,260.600006
"141",260.5,262.5,258.299988,259.390015,193400,259.390015
"142",258.839996,258.980011,256.589996,256.959991,194000,256.959991
"143",256.910004,259.149994,255.020004,257.75,259000,257.75
"144",261.799988,271.420013,261.799988,269,687100,269
"145",271.420013,272.910004,270.119995,271.700012,493400,271.700012
"146",270.119995,275,268.019989,273.630005,385500,273.630005
"147",274.859985,274.859985,267.5,268.679993,340400,268.679993
"148",268.329987,269.970001,265.130005,267.399994,327000,267.399994
"149",266.570007,272.220001,265.549988,271.579987,257100,271.579987
"150",272.579987,284.380005,272.029999,280.98999,723200,280.98999
"151",283.929993,284.799988,278.48999,282.209991,485600,282.209991
"152",281.98999,281.98999,277.5,279.109985,248000,279.109985
"153",279.540009,288.950012,279.100006,288.279999,759000,288.279999
"154",289,297.01001,288.459991,296.320007,718400,296.320007
"155",296.589996,296.589996,288.910004,290.450012,695400,290.450012
"156",288.059998,290.920013,282.320007,289.829987,1122300,289.829987
"157",323.179993,334.390015,321.679993,326.579987,3200200,326.579987
"158",326.480011,334,324.119995,327.98999,856000,327.98999
"159",324.480011,331.850006,322.25,330.929993,1020100,330.929993
"160",327.529999,338.859985,327.350006,338.059998,848100,338.059998
"161",337.75,337.850006,333.75,334.170013,614300,334.170013
"162",335.390015,335.940002,325.950012,327.929993,571100,327.929993
"163",327.380005,329.369995,322.029999,322.910004,600100,322.910004
"164",324.980011,337.899994,324.329987,332.579987,606900,332.579987
"165",331.329987,332.549988,326.570007,327.790009,395700,327.790009
"166",326.600006,331.279999,325,330.480011,268000,330.480011
"167",330.070007,332.700012,327.029999,331.26001,346900,331.26001
"168",329.920013,334.859985,329,333.420013,327800,333.420013
"169",334.100006,337.970001,332.51001,333.929993,259200,333.929993
"170",335.700012,337.410004,332.220001,333.549988,276200,333.549988
"171",330.570007,338,329.070007,337.200012,261900,337.200012
"172",335.540009,346.790009,334.029999,345.269989,417400,345.269989
"173",344.859985,344.970001,340.630005,344.309998,225700,344.309998
"174",341.630005,344.26001,339.769989,341.190002,219400,341.190002
"175",341.190002,344.890015,338.429993,339.98999,242600,339.98999
"176",339.98999,341.910004,335,340.98999,315300,340.98999
"177",340.980011,343.410004,339.070007,340.920013,332600,340.920013
"178",337.649994,340.579987,328.75,331.109985,445600,331.109985
"179",329.190002,331.929993,321.959991,327.140015,335400,327.140015
"180",325.769989,328.51001,324.579987,328.01001,347200,328.01001
"181",328.640015,338,328.209991,334.929993,286400,334.929993
"182",335.529999,337.75,325.98999,327.950012,325200,327.950012
"183",330.609985,330.790009,318.600006,319.809998,533900,319.809998
"184",318.910004,323.76001,316.630005,322.809998,331700,322.809998
"185",327.51001,332.5,325.450012,331.720001,332700,331.720001
