"","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"1",41.290003,42.199999,40.780007,42.020001,5515800,32.214903
"2",41.480003,41.880007,41.349994,41.830006,4216000,32.069241
"3",41.730003,42.400005,41.730003,41.889996,3253200,32.115234
"4",42.280002,42.660007,41.919998,42.630005,3702000,32.682566
"5",42.489998,42.620003,42.179995,42.410007,3572700,32.513903
"6",42.350004,42.580003,42.030003,42.410007,4158700,32.513903
"7",42.489998,42.630005,42.050003,42.280002,4119500,32.414234
"8",42.560003,42.749999,41.550005,41.700001,5659500,31.969572
"9",41.750002,42.160008,41.109997,41.139999,4483300,31.540243
"10",41.060008,41.380009,40.839998,41.060008,4271300,31.478918
"11",40.720004,41.000005,40.34,40.58001,5695700,31.110924
"12",40.620001,41.080008,40.410001,40.859998,6594800,31.325579
"13",41.099995,41.159998,40.810009,40.920001,4604900,31.371581
"14",40.490004,40.87,40.13,40.390001,9470900,30.965253
"15",40.230007,40.690002,40.100002,40.259996,5441700,30.865584
"16",40.13,40.250007,39.419993,39.709996,8231000,30.443923
"17",39.970006,40.379999,39.160005,39.430008,4416900,30.229268
"18",39.690005,39.829999,39.080002,39.410004,4684500,30.213932
"19",39.410004,40.290007,39.310001,40.210003,4937500,30.827256
"20",40.470005,40.470005,40.000008,40.370001,4870100,30.94992
"21",40.410001,40.760008,40.290007,40.720004,2945900,31.218251
"22",40.85,41.220002,40.420003,40.980005,2621200,31.417583
"23",41.200002,41.659997,41.179998,41.490001,3554700,31.808575
"24",41.470001,41.830006,41.389998,41.700001,3208200,31.969572
"25",41.510001,41.900007,41.200002,41.72,3025400,31.984905
"26",41.669999,41.669999,40.549995,40.629998,4492700,31.149248
"27",40.680004,41.129997,40.66,41.020005,2764000,31.448249
"28",40.600001,41.459999,40.250007,41.429997,3443300,31.762573
"29",41.540003,41.540003,40.019999,40.250007,6490000,30.857925
"30",40.589999,41.619997,40.589999,41.459999,3972400,31.785574
"31",41.250004,41.989999,41.200002,41.889996,4464100,32.115234
"32",41.850005,42.050003,41.730003,42.050003,3340700,32.237904
"33",42.080005,42.29,41.850005,42.040001,3573400,32.230236
"34",42.050003,42.459996,42.000001,42.100005,3305400,32.276238
"35",41.580006,42.030003,41.020005,41.320005,4843800,31.678246
"36",40.950003,41.480003,40.930003,41.270004,3338500,31.639912
"37",41.540003,42.000001,41.360009,41.95,2965400,32.161236
"38",41.880007,42.100005,41.439999,42.009999,3784000,32.207235
"39",41.939998,42.209997,41.630008,42.140008,3557600,32.306907
"40",41.880007,42.050003,41.650008,41.929996,2669000,32.145899
"41",41.550005,41.669999,40.900002,41.570004,4069200,31.86991
"42",41.72,41.909996,41.570004,41.770002,1926200,32.023239
"43",41.349994,41.570004,40.990003,41.360009,3243200,31.708916
"44",40.900002,40.980005,40.290007,40.400003,3451600,30.972921
"45",40.100002,40.309998,39.799997,40.000008,2776400,30.666262
"46",39.940004,40.13,39.720007,39.79,2496000,30.505258
"47",39.590002,40.170004,39.370005,40.070001,2693600,30.719922
"48",40.270007,40.859998,40.140002,40.350002,3633100,30.934587
"49",40.230007,40.34,39.829999,40.220005,3525700,30.834924
"50",40.13,40.140002,39.219996,39.450008,3656200,30.244601
"51",39.310001,39.56,39.100006,39.400007,3127700,30.206267
"52",39.470008,39.740007,39.03,39.05,2643300,29.937932
"53",38.900008,39.189998,38.540004,38.810003,3297200,29.753937
"54",38.570006,39.110003,38.409999,38.929997,2857800,29.845931
"55",39.01,39.180009,38.639998,38.749999,2947800,29.707935
"56",39.080002,39.410004,38.560004,39.360003,3227100,30.175598
"57",39.259999,39.370005,38.830002,38.830002,3135400,29.76927
"58",38.850007,39.130003,38.5,38.610005,4003700,29.600607
"59",38.810003,39.729996,38.800001,39.370005,3810300,30.183266
"60",39.439997,39.809999,39.219996,39.690005,2925200,30.428596
"61",40.140002,40.460003,39.850003,40.079998,3781300,30.727587
"62",39.960004,40.009997,39.650006,39.680008,2478200,30.420932
"63",39.450008,39.870003,39.270002,39.660003,2599700,30.668381
"64",40.120002,40.200006,39.799997,39.920005,2500600,30.869435
"65",39.950006,40.250007,39.829999,40.100002,1795900,31.008624
"66",40.500006,40.609999,40.259996,40.410001,2515500,31.248341
"67",40.329998,40.740004,40.299996,40.549995,2123300,31.356595
"68",40.690002,41.250004,40.500006,41.200002,3434200,31.859235
"69",41.000005,41.230004,40.990003,41.129997,2229600,31.805101
"70",41.369998,41.490001,41.159998,41.330007,5632000,31.959765
"71",41.500003,42.130006,41.360009,42.030003,3174200,32.50106
"72",42.050003,42.080005,41.360009,41.76,2839100,32.292271
"73",41.810006,42.330004,41.750002,41.909996,2884500,32.40826
"74",41.709998,41.939998,41.500003,41.619997,2203500,32.184009
"75",41.570004,42.640007,41.570004,42.640007,2774100,32.972765
"76",42.52,42.570001,42.060005,42.100005,2830800,32.555191
"77",42.360006,42.72001,41.550005,42.48,3630400,32.849034
"78",42.410007,42.439996,42.000001,42.120004,3269600,32.570656
"79",42.400005,42.640007,41.689999,42.030003,5203900,32.50106
"80",42.209997,42.5,41.780004,41.820004,4020000,32.338671
"81",41.889996,42.169997,41.510001,41.750002,3806800,32.28454
"82",42.100005,42.340002,42.000001,42.160008,4896900,32.60159
"83",42.169997,42.310004,41.95,42.110007,2881300,32.562925
"84",42.419996,42.5,42.140008,42.179995,2730400,32.617046
"85",42.189997,42.29,41.780004,42.100005,2456400,32.555191
"86",42.080005,42.230001,41.780004,42.040001,1417300,32.508791
"87",41.97,42.060005,41.500003,42.000001,2246300,32.47786
"88",42.29,42.689995,42.040001,42.459996,2046600,32.833565
"89",42.450007,42.669996,42.199999,42.470011,2093700,32.84131
"90",42.729999,42.990009,42.380006,42.940008,3481700,33.20475
"91",42.74001,42.999998,42.590001,42.960007,2740400,33.220215
"92",42.729999,42.910006,42.209997,42.600003,2988200,32.94183
"93",42.729999,43.39,42.600003,43.289997,3456400,33.475391
"94",43.480005,43.650001,43.220009,43.569998,3022600,33.69191
"95",43.700003,43.880001,43.440006,43.799997,2329500,33.869765
"96",43.950002,44.119998,43.810008,43.990006,2818200,34.016695
"97",43.790008,44.250003,43.450004,44.190004,4152300,34.17135
"98",44.430001,44.740003,43.869999,44.68,4087400,34.550255
"99",44.750001,44.760003,44.139998,44.369997,3118500,34.310536
"100",44.270007,44.68,44.119998,44.490004,2912000,34.403335
"101",44.550004,45,44.399999,44.719999,2668200,34.581186
"102",45,45.130005,44.690002,44.820007,3414200,34.65852
"103",44.790005,45.260002,44.649998,45.139994,4404100,34.905961
"104",45.449997,45.76,45.360005,45.76,3253800,35.3854
"105",45.669994,45.860003,45.530001,45.840003,3452800,35.447266
"106",45.55,45.799999,45.150009,45.469997,2427900,35.161146
"107",45.490001,45.650008,45.150009,45.310003,2412900,35.037426
"108",45.660005,45.709998,45.169996,45.709998,2985700,35.346735
"109",45.490001,45.830001,45.139994,45.830001,2846700,35.439531
"110",45.680005,45.700009,45.19,45.419995,3220900,35.122481
"111",45.620006,45.999997,45.380004,45.410006,3704800,35.114756
"112",45.010002,45.110006,44.330006,44.630007,3656400,34.511597
"113",44.500002,44.630007,44.310006,44.47,2860400,34.387866
"114",44.830005,45.439999,44.590007,45.270004,2821900,35.006495
"115",45.25,45.419995,45,45.390007,2613400,35.099291
"116",45.159998,45.630004,44.960001,45.580002,2299200,35.246211
"117",45.199998,45.199998,44.570008,45,2880400,34.797706
"118",45.169996,45.950009,45.169996,45.74,2607100,35.369935
"119",45.439999,45.580002,45.090006,45.479999,925600,35.16888
"120",45.110006,45.21,44.410001,45.060004,3282800,34.844106
"121",44.719999,44.990003,44.440003,44.570008,6109600,34.4652
"122",45.120008,46.190006,45.120008,46.110002,5911300,35.656051
"123",46.180004,46.930001,46.060001,46.690004,5643200,36.104556
"124",46.539999,46.750008,46.400005,46.730008,2131600,36.13549
"125",46.549997,46.740006,46.400005,46.590001,2237000,36.027225
"126",46.990005,47.170003,46.500008,46.509997,4054300,35.96536
"127",46.29,46.509997,46.220007,46.460005,3708400,36.206956
"128",46.559999,46.740006,46.31,46.529997,2389400,36.261502
"129",46.650004,46.750008,46.360001,46.529997,2673600,36.261502
"130",46.480009,46.610001,46.180004,46.470007,4879500,36.21475
"131",46.559999,46.950005,46.490006,46.829998,3703200,36.495297
"132",46.82,46.970005,46.559999,46.599999,3373800,36.316055
"133",46.610001,47.049995,46.470007,46.849998,3991700,36.510883
"134",47.010005,47.010005,46.559999,46.86,4829100,36.518678
"135",46.940003,46.990005,46.599999,46.770007,3001900,36.448545
"136",46.870002,47.000007,46.680002,46.849998,3464400,36.510883
"137",46.870002,47.010005,46.790007,46.910001,2093400,36.557645
"138",46.970005,46.990005,46.33,46.520008,1639800,36.253717
"139",46.470007,46.660002,46.1,46.570001,1504600,36.292677
"140",46.770007,46.82,46.33,46.529997,1766500,36.261502
"141",46.660002,46.700006,46.450007,46.470007,2167400,36.21475
"142",46.279998,46.599999,46.150006,46.430003,1878000,36.183575
"143",46.340002,46.420005,46.009999,46.279998,1680600,36.066674
"144",46.750008,47.440002,46.730008,47.049995,3674600,36.666744
"145",46.960003,47.140001,46.779996,46.88,3259800,36.534264
