"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"103",78.220001,80.739998,77.910004,80.68,4020600,70.354719
"104",81.739998,83.199997,80.580002,82.489998,2186800,71.933076
"105",82.599998,84.489998,82.260002,82.699997,2729000,72.1162
"106",82.239998,82.610001,81.540001,82.220001,1442500,71.697633
"107",82.870003,82.870003,79.949997,80.32,1986300,70.04079
"108",80.870003,82.730003,80.370003,82.260002,9431900,71.732515
"109",81.720001,83,81.190002,82.089996,2609000,71.584266
"110",81.5,81.989998,80.550003,80.980003,1834700,70.616328
"111",82.199997,82.349998,81.059998,81.290001,941200,70.886652
"112",80.720001,81.169998,78.779999,79.760002,1584400,69.55246
"113",80.160004,80.279999,79.169998,79.540001,1267000,69.360614
"114",80.419998,80.68,77.68,77.779999,3502900,67.825854
"115",77.529999,78.699997,77.230003,77.800003,2969300,67.843298
"116",76.940002,78.050003,76.480003,76.860001,2640000,67.023596
"117",76.220001,77.440002,75.870003,77.110001,1610400,67.241601
"118",77.510002,77.93,76.480003,77.32,822900,67.424725
"119",76.660004,77.589996,76.260002,76.449997,330100,66.666064
"120",75.660004,77.379997,75.349998,76.989998,747500,67.757365
"121",76.620003,77.199997,75.970001,76.959999,1466100,67.730964
"122",78.019997,78.989998,77.25,78.5,1113100,69.086288
"123",78.639999,80.75,78.480003,80.639999,1056400,70.969659
"124",80.279999,81.07,79.220001,80.860001,849100,71.163278
"125",80.57,80.839996,79.449997,79.639999,565700,70.089579
"126",80,80.849998,79.139999,79.470001,754400,69.939967
"127",79.599998,81.980003,79.449997,81.339996,1750600,71.585712
"128",81.309998,83.410004,81.309998,83.239998,1132600,73.257866
"129",83.870003,86.199997,83.82,85.019997,1804400,74.824407
"130",85.080002,85.760002,83.019997,85.330002,1722700,75.097237
"131",85.269997,85.93,83.470001,83.860001,820000,73.803518
"132",83.5,84.099998,81.860001,82.129997,836700,72.280977
"133",82.190002,83.410004,81.110001,82.489998,1048600,72.597806
"134",82.5,83.379997,82.290001,82.75,1058300,72.826629
"135",82.949997,84.690002,82.709999,84.360001,907600,74.243558
"136",84.629997,86.25,84.330002,85.739998,724300,75.458066
"137",85.760002,86.839996,85.32,86.160004,756000,75.827705
"138",85.980003,86.290001,85.010002,85.150002,480000,74.938822
"139",84.940002,86.230003,84.470001,86.07,396600,75.748494
"140",86.32,87.169998,85.889999,86.779999,446300,76.37335
"141",87.139999,87.870003,86.510002,87.379997,706800,76.901397
"142",87.300003,87.470001,86.199997,86.43,630700,76.065324
"143",86.440002,87.389999,85.809998,87.050003,676400,76.610976
"144",87.669998,88.879997,87.559998,87.900002,762600,77.359042
"145",88.43,89.330002,86.449997,87,829900,76.566969
"146",86.82,88.32,86.699997,88.029999,796200,77.47345
"147",87.93,88.459999,87.480003,87.540001,846300,77.042213
"148",87.790001,88.190002,85.620003,86.82,918900,76.408554
"149",86.699997,86.699997,84.629997,86.099998,923200,75.774896
"150",86.559998,87.870003,86.129997,86.720001,854400,76.320548
"151",87.510002,88.480003,87.089996,87.360001,790100,76.883798
"152",87.25,87.639999,85.760002,86.260002,1151400,75.915712
"153",86.07,87.43,84.839996,86.379997,1971100,76.021317
