"","PCP.Open","PCP.High","PCP.Low","PCP.Close","PCP.Volume","PCP.Adjusted"
"1",106.449997,108.650002,106,108.589996,1839400,108.230684
"2",107.730003,109.18,106.879997,108.93,1401800,108.569563
"3",109.989998,111.209999,108.889999,109.07,1698200,108.709099
"4",110.830002,113.400002,110.050003,113.389999,1390700,113.014804
"5",112.629997,113.900002,111.900002,113.160004,856400,112.785569
"6",113,113.550003,111.330002,113.120003,596400,112.745701
"7",113.349998,114.769997,112.309998,114.760002,1514300,114.380274
"8",116.440002,117.360001,114.959999,115.739998,1595100,115.357027
"9",115.089996,115.699997,111.839996,111.980003,1414900,111.609474
"10",112.339996,113.860001,110.129997,112.889999,983700,112.516459
"11",112.769997,113.099998,109.120003,109.610001,1515600,109.247313
"12",109.620003,109.739998,107.290001,108.559998,2475300,108.200784
"13",109.870003,109.870003,107.32,107.589996,1138500,107.233993
"14",104.860001,106.419998,102.190002,102.75,2128200,102.410011
"15",102.589996,104.669998,102.339996,102.919998,1496200,102.579447
"16",102.599998,103.459999,100.989998,102.25,1333900,101.911666
"17",102.379997,103.449997,101.5,102.519997,1269800,102.180769
"18",103.389999,105.419998,101.550003,102.540001,1600100,102.200707
"19",103.209999,106.980003,102.779999,106.949997,1003500,106.596111
"20",108.629997,111.32,107.610001,109.349998,1270300,108.988171
"21",109.639999,110.480003,109.080002,110.080002,763400,109.715759
"22",109.199997,110.150002,107.730003,108,683000,107.64264
"23",109.480003,110.379997,109.220001,109.660004,1058300,109.297151
"24",109.050003,110.720001,108.68,110.190002,1080000,109.825396
"25",110.510002,111.889999,108.050003,109.779999,1503200,109.416749
"26",111.120003,111.57,106.849998,107.190002,1743700,106.835322
"27",108,108.790001,106.849998,108.07,971500,107.712408
"28",106.300003,109.980003,105.610001,109.730003,733500,109.366919
"29",110.769997,112.540001,109.629997,111.239998,1943400,110.871917
"30",110,116.760002,109.519997,116,3864900,115.616168
"31",116.029999,119.309998,115.650002,119.169998,2121500,118.775677
"32",119.010002,122.550003,119.010002,122.529999,1567200,122.12456
"33",122.699997,123.779999,119.540001,120.940002,1752000,120.539825
"34",120.860001,123.519997,120.339996,122.389999,1454800,121.985024
"35",122.68,124.120003,121.419998,122.650002,1352800,122.244166
"36",122.129997,122.739998,120.739998,122.190002,917000,121.785689
"37",124.080002,125.050003,122.529999,124.900002,791700,124.486721
"38",124.169998,124.919998,123.110001,124.160004,735700,123.749172
"39",124.339996,125.639999,123.75,125.349998,538500,124.935229
"40",125.019997,125.620003,123.779999,125.519997,496900,125.104664
"41",124.089996,125.440002,122.129997,123.970001,930800,123.559798
"42",124.949997,124.949997,123.199997,124.089996,921500,123.679396
"43",123.190002,123.57,120.949997,122.370003,1029700,121.965094
"44",120.239998,120.599998,116.57,117.43,862600,117.041437
"45",115.779999,118.360001,115.290001,117.150002,779200,116.762365
"46",116.629997,118.489998,116.459999,117.879997,542100,117.489945
"47",117.419998,118.300003,116.339996,117.769997,507200,117.380308
"48",119.160004,122.239998,118.610001,121.32,914400,120.918565
"49",121.32,122.639999,120.029999,122.269997,900100,121.865418
"50",121.940002,121.940002,118.440002,120.010002,933100,119.612902
