"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume","APC.Adjusted"
"1",37.540001,39.259998,36.740002,39.150002,36393000,37.767492
"2",40.080002,42.34,39.849998,41.790001,18653200,40.314265
"3",39.700001,43.139999,39.59,42,21477300,40.516849
"4",42.040001,45.240002,41.880001,44.709999,16384200,43.131149
"5",43.75,45.540001,42.049999,43.060001,24820000,41.539418
"6",43.610001,43.700001,40.540001,41.599998,17501800,40.130972
"7",41.34,43.619999,41.110001,42.57,26604500,41.06672
"8",41.98,44.369999,40.77,43.450001,18943800,41.915645
"9",42.59,43.5,41.150002,41.700001,16794600,40.227443
"10",41.709999,41.740002,39.299999,39.860001,15038700,38.452419
"11",40.220001,40.799999,37.68,37.77,17029000,36.436224
"12",37.32,37.869999,36.310001,37.68,14796300,36.349402
"13",38.02,38.27,37.220001,37.740002,8059400,36.407284
"14",37.029999,37.25,36.400002,36.669998,8967900,35.375066
"15",35.099998,37.349998,34.84,36.09,16443700,34.815549
"16",36.93,37.900002,36.060001,37.169998,12750900,35.857409
"17",37.509998,38.400002,37.099998,38.07,7812500,36.725629
"18",39.119999,39.439999,38.09,38.639999,8232200,37.2755
"19",39.490002,41.700001,39.110001,41.59,11253400,40.121327
"20",43.009998,45.349998,42.119999,44.560001,15730800,42.986448
"21",44.439999,46.220001,43.84,45.41,12240700,43.806431
"22",46.18,47.25,45.849998,46.75,11644300,45.099111
"23",47.59,49.110001,46.630001,47.619999,17385200,45.938388
"24",46.900002,48.189999,46.099998,47.580002,7927100,45.899803
"25",47.889999,49.93,47.060001,49.080002,11524600,47.346833
"26",49.16,49.349998,47.02,47.459999,10618700,45.784038
"27",47,47.32,44.439999,45.52,9466400,43.912547
"28",44.709999,46.349998,44.48,46.139999,4814600,44.510652
"29",46.610001,46.849998,45.330002,45.98,4069900,44.356302
"30",46.5,48.25,46.389999,48.099998,6824100,46.401437
"31",47.950001,49.169998,47.470001,48.77,6432200,47.047779
"32",49.860001,50.740002,49.150002,50.529999,5263700,48.745626
"33",50.549999,50.720001,49.439999,50.310001,5921300,48.533398
"34",50.07,50.59,48.43,48.82,4808400,47.096013
"35",49.299999,51.02,49.299999,49.950001,6237600,48.18611
"36",49.099998,49.830002,48.75,49.16,4287300,47.424006
