"","WPI.Open","WPI.High","WPI.Low","WPI.Close","WPI.Volume","WPI.Adjusted"
"1",0.25,0.27,0.25,0.25,0,0.25
"2",0.25,0.27,0.25,0.25,0,0.25
"3",0.25,0.25,0.25,0.25,0,0.25
"4",0.26,0.27,0.26,0.26,0,0.26
"5",0.25,0.27,0.25,0.25,0,0.25
"6",0.26,0.26,0.26,0.26,590000,0.26
"7",0.25,0.27,0.25,0.25,30000,0.25
"8",0.25,0.26,0.25,0.26,120000,0.26
"9",0.26,0.27,0.26,0.26,0,0.26
"10",0.25,0.27,0.25,0.25,0,0.25
"11",0.25,0.27,0.25,0.25,0,0.25
"12",0.25,0.27,0.25,0.25,0,0.25
"13",0.26,0.27,0.26,0.26,0,0.26
"14",0.25,0.26,0.25,0.26,110000,0.26
"15",0.26,0.26,0.26,0.26,0,0.26
"16",0.25,0.27,0.25,0.25,0,0.25
"17",0.29,0.29,0.26,0.27,160000,0.27
"18",0.25,0.27,0.25,0.25,0,0.25
"19",0.26,0.27,0.26,0.26,0,0.26
"20",0.27,0.27,0.27,0.27,180000,0.27
"21",0.26,0.27,0.26,0.26,0,0.26
"22",0.27,0.27,0.26,0.26,760000,0.26
"23",0.27,0.27,0.27,0.27,10000,0.27
"24",0.26,0.27,0.26,0.26,0,0.26
"25",0.25,0.27,0.25,0.25,0,0.25
"26",0.26,0.27,0.26,0.26,0,0.26
"27",0.235,0.27,0.235,0.235,0,0.235
"28",0.26,0.27,0.26,0.26,0,0.26
"29",0.26,0.27,0.26,0.26,0,0.26
"30",0.26,0.26,0.26,0.26,40000,0.26
"31",0.26,0.27,0.26,0.27,290000,0.27
"32",0.26,0.27,0.26,0.26,0,0.26
"33",0.26,0.27,0.26,0.26,0,0.26
"34",0.26,0.27,0.26,0.26,0,0.26
"35",0.27,0.27,0.27,0.27,1320000,0.27
"36",0.26,0.275,0.26,0.26,0,0.26
"37",0.27,0.27,0.26,0.26,1380000,0.26
"38",0.27,0.27,0.27,0.27,10000,0.27
"39",0.27,0.27,0.25,0.26,870000,0.26
"40",0.26,0.26,0.26,0.26,210000,0.26
"41",0.27,0.27,0.26,0.26,350000,0.26
"42",0.27,0.27,0.27,0.27,10000,0.27
"43",0.25,0.27,0.25,0.25,0,0.25
"44",0.26,0.27,0.26,0.27,280000,0.27
"45",0.255,0.265,0.255,0.255,0,0.255
"46",0.25,0.265,0.25,0.25,0,0.25
"47",0.25,0.265,0.25,0.25,0,0.25
"48",0.255,0.265,0.255,0.255,0,0.255
"49",0.26,0.265,0.26,0.26,0,0.26
"50",0.25,0.25,0.25,0.25,450000,0.25
"51",0.28,0.28,0.27,0.27,60000,0.27
"52",0.25,0.27,0.25,0.25,0,0.25
"53",0.27,0.27,0.27,0.27,660000,0.27
"54",0.27,0.27,0.27,0.27,30000,0.27
"55",0.26,0.26,0.25,0.25,1190000,0.25
"56",0.26,0.27,0.26,0.26,260000,0.26
"57",0.26,0.26,0.26,0.26,1e+05,0.26
"58",0.26,0.26,0.26,0.26,0,0.26
