"","CAT.Open","CAT.High","CAT.Low","CAT.Close","CAT.Volume","CAT.Adjusted"
"1",58.310001,60,58,59.950001,9704700,53.141445
"2",59.220001,60.240002,58.990002,60.23,7341400,53.389644
"3",61.419998,62.560001,60.880001,61,9783000,54.072195
"4",61.799999,63.560001,61.5,63.459999,11870300,56.252811
"5",62.91,64.519997,62.73,64.389999,10561900,57.07719
"6",64.629997,64.989998,63.669998,64.949997,10574600,57.573589
"7",65.129997,65.900002,64.57,65.849998,11005600,58.371377
"8",67.559998,68.349998,65.550003,66.07,11652400,58.566392
"9",66.300003,66.480003,63.880001,64.110001,8659600,56.828991
"10",64.059998,64.870003,62.639999,64.330002,9037100,57.024007
"11",63.810001,64.449997,63.049999,63.369999,8658200,56.173032
"12",63.540001,64.709999,62.919998,64.709999,12068800,57.360848
"13",64.449997,65.300003,64.010002,64.400002,6836700,57.086057
"14",62.740002,62.860001,60.25,60.849998,13057100,53.939229
"15",61.02,61.939999,59.91,60.07,9630300,53.247816
"16",59.669998,60.700001,58.060001,59.970001,11598200,53.159174
"17",60.299999,60.66,58.619999,59.18,7878200,52.458894
"18",60.599998,61.650002,59.209999,59.810001,9357300,53.017345
"19",59.849998,62.27,59.669998,62.18,7592900,55.118182
"20",63.080002,63.349998,62.18,63.169998,6058800,55.995745
"21",63.119999,64.849998,63,64.720001,6456900,57.369714
"22",64.5,65.099998,63.869999,64.279999,4915400,56.979683
"23",65.879997,67.360001,65.309998,66.790001,10081500,59.204622
"24",66.349998,66.910004,65.519997,66.699997,6851200,59.12484
"25",66.379997,66.589996,65.360001,66.510002,8101700,58.956423
"26",65.760002,65.790001,63.75,63.939999,8504100,57.055754
"27",64.360001,65.230003,63.560001,64.800003,6826400,57.823164
"28",63.560001,66.769997,63.560001,66.43,9468600,59.277664
"29",66.989998,68.050003,66.190002,66.870003,11432400,59.670292
"30",67.410004,68.620003,66.459999,68,15905800,60.678626
"31",67.5,69.639999,67.330002,69.309998,8865900,61.84758
"32",69.410004,70.080002,69.080002,69.989998,8878400,62.454366
"33",70.18,70.18,68.089996,69.18,11948000,61.731579
"34",68.699997,69.849998,68.699997,69.720001,7609900,62.213439
"35",69.839996,70.290001,68.209999,69.400002,7671300,61.927893
"36",68.389999,70.25,68.389999,69.75,7218100,62.240208
"37",70.739998,71.699997,70.07,71.050003,6304100,63.400243
"38",70.57,71.029999,69.879997,70.370003,5878900,62.793457
"39",70.279999,71.470001,70.279999,71.120003,6204800,63.462706
"40",70.82,72.25,70.809998,71.959999,7415000,64.212263
"41",71.010002,71.93,70.300003,71.559998,5463400,63.855328
"42",72.059998,72.18,71.419998,72.07,3625400,64.31042
"43",70.879997,71.989998,70.580002,71.419998,6082400,63.730402
"44",70.010002,70.160004,68.349998,68.709999,9221200,61.312181
"45",67.5,68,66.779999,67.5,7639900,60.232459
"46",67.739998,68.459999,67.209999,68.010002,6659300,60.687551
"47",67.620003,68.980003,67.059998,68.489998,5432500,61.115867
"48",69.440002,70.760002,69.300003,69.739998,5946900,62.231283
"49",69.82,70.440002,69.059998,69.75,4988000,62.240208
"50",69.870003,70.5,68.419998,69.290001,9625400,61.829736
"51",69.400002,69.540001,67.459999,68.860001,8022000,61.446033
"52",68.699997,69.75,66.720001,66.839996,8878600,59.643517
"53",65.589996,65.839996,64.309998,65.040001,9669800,58.037322
"54",64.290001,64.980003,63.34,64.699997,8679500,57.733925
"55",64.830002,65.82,63.77,63.950001,7075100,57.064679
"56",64.760002,66.150002,63.360001,65.900002,7486300,58.804728
"57",66.139999,66.160004,64.459999,64.470001,5133900,57.528692
"58",64.139999,65.849998,63.919998,65.160004,6760700,58.144404
"59",67.050003,68.540001,66.349998,68.160004,9071200,60.821402
"60",68.349998,68.790001,67.75,68.540001,5293400,61.160486
"61",69.949997,70.589996,69.540001,70.080002,7837700,62.53468
"62",69.779999,70.050003,68.800003,69.699997,6841700,62.195589
"63",69.980003,71.480003,69.949997,70.739998,6323200,63.123616
