"","SRCL.Open","SRCL.High","SRCL.Low","SRCL.Close","SRCL.Volume","SRCL.Adjusted"
"1",62.200001,64.07,61.93,63.189999,2318000,63.189999
"2",62.799999,63.599998,62.48,63.57,983000,63.57
"3",64,64.080002,63.560001,63.720001,986700,63.720001
"4",63.98,64.550003,63.790001,64.510002,918400,64.510002
"5",64.169998,64.849998,63.990002,64.68,837500,64.68
"6",64.879997,65.160004,64.400002,65.080002,736400,65.080002
"7",65.089996,66.120003,65.019997,65.440002,1408900,65.440002
"8",65.760002,65.93,64.879997,65.269997,814600,65.269997
"9",65.519997,66.300003,64.68,64.800003,1081900,64.800003
"10",64.93,65.18,63.98,64.459999,875100,64.459999
"11",64.5,65.050003,64.220001,64.589996,766600,64.589996
"12",64.870003,66.190002,64.669998,66,1101800,66
"13",66.120003,67.029999,65.379997,66.57,849500,66.57
"14",65.019997,66.75,65.019997,65.940002,1294700,65.940002
"15",65.68,66.330002,65.269997,65.580002,1160200,65.580002
"16",65.779999,65.830002,64.709999,65.239998,1074700,65.239998
"17",65.279999,65.830002,64.269997,64.519997,834200,64.519997
"18",64.93,65.089996,63.5,63.970001,959600,63.970001
"19",64.040001,65.25,63.740002,65.25,1084900,65.25
"20",65.599998,65.739998,64.620003,65.309998,670300,65.309998
"21",65.5,67,65.199997,65.540001,569000,65.540001
"22",65.639999,66.110001,65.25,65.949997,454000,65.949997
"23",66.32,66.879997,65.809998,66.230003,785800,66.230003
"24",66.150002,66.260002,65.639999,66.209999,568500,66.209999
"25",66.150002,66.769997,65.349998,65.870003,711500,65.870003
"26",65.860001,65.900002,64.209999,64.57,926500,64.57
"27",64.870003,65.540001,64.290001,64.959999,465400,64.959999
"28",64.459999,65.82,64.370003,65.82,778300,65.82
"29",64.309998,65.309998,63.099998,63.91,1386100,63.91
"30",64.260002,64.839996,63.25,63.450001,1171900,63.450001
"31",63.509998,64.800003,63.169998,64.769997,768600,64.769997
"32",64.730003,65.440002,64.540001,65.410004,672200,65.410004
"33",65.5,65.82,63.709999,64.510002,838700,64.510002
"34",64.5,64.529999,63.330002,63.889999,774700,63.889999
"35",62.779999,63.23,61.02,62.57,1673900,62.57
"36",62.27,63.029999,61.66,63,772400,63
"37",63.720001,64.099998,63.02,63.57,657200,63.57
"38",63.32,64.370003,63.029999,63.669998,679400,63.669998
"39",63.860001,64.519997,63.779999,64.379997,598100,64.379997
"40",63.939999,64.550003,63.779999,64.160004,419700,64.160004
"41",63.5,64.260002,62.849998,64.260002,516100,64.260002
"42",64.489998,65.07,64.209999,64.93,428300,64.93
"43",64.540001,65.150002,63.900002,64.57,476400,64.57
"44",63.93,64.129997,63.200001,63.619999,841600,63.619999
"45",63.18,64.839996,62.700001,64.519997,724200,64.519997
"46",64.239998,64.93,64.129997,64.760002,651300,64.760002
"47",64.760002,66.010002,64.18,65.760002,968200,65.760002
"48",66.300003,67.209999,65.699997,67,674300,67
"49",67.050003,67.470001,66.419998,67.059998,519700,67.059998
"50",66.809998,66.860001,65.279999,66.120003,628300,66.120003
"51",64.980003,66,64.650002,65.919998,771500,65.919998
"52",66.410004,67.010002,65.620003,65.82,565700,65.82
"53",65.599998,65.82,65.07,65.199997,441700,65.199997
"54",64.639999,65.059998,63.57,64.879997,800700,64.879997
"55",65.089996,65.800003,64.349998,64.580002,370800,64.580002
"56",64.769997,66.209999,64.32,66.040001,478800,66.040001
"57",66.019997,66.639999,65.309998,66.25,526700,66.25
"58",66.120003,66.230003,65.269997,65.5,524500,65.5
"59",65.860001,66.919998,65.860001,66.559998,627800,66.559998
"60",66.5,66.610001,66.059998,66.5,438500,66.5
"61",67.150002,67.32,66.389999,66.529999,688000,66.529999
"62",66.419998,66.809998,66.029999,66.309998,347100,66.309998
"63",66.529999,67.550003,66.400002,67.489998,443400,67.489998
"64",67.75,68.889999,67.75,68.129997,655600,68.129997
"65",68.300003,69.150002,68.029999,69,410700,69
"66",69.300003,69.459999,68.690002,69.330002,443500,69.330002
"67",69.300003,70,69.150002,69.860001,614000,69.860001
"68",69.559998,70.18,69.269997,70.089996,502500,70.089996
"69",69.900002,70.019997,69.199997,69.660004,670700,69.660004
"70",69.940002,70.129997,69.339996,69.970001,698200,69.970001
"71",70.300003,70.300003,69.580002,69.779999,505100,69.779999
"72",70.209999,70.529999,69.650002,70.360001,536100,70.360001
"73",70.400002,70.980003,70.040001,70.190002,324100,70.190002
"74",69.839996,70,68.5,68.610001,429600,68.610001
"75",69.349998,69.860001,68.830002,69.860001,538600,69.860001
"76",69.75,69.980003,68.529999,68.57,380000,68.57
"77",68.739998,69.589996,68.07,68.949997,661800,68.949997
"78",68.650002,70.300003,68.519997,69.75,427100,69.75
"79",70.489998,70.699997,69.18,69.480003,538000,69.480003
"80",70.089996,71.169998,70.07,70.730003,827300,70.730003
"81",70.870003,71,69.169998,69.75,458200,69.75
"82",70.459999,72.050003,70.349998,71.769997,761000,71.769997
"83",71.510002,72.300003,70.790001,71.910004,503100,71.910004
"84",72.230003,72.230003,71.279999,71.459999,326400,71.459999
"85",71.129997,72.190002,71.029999,71.650002,477700,71.650002
"86",71.580002,71.940002,71,71.160004,267100,71.160004
"87",71.160004,71.160004,69.75,70.82,640900,70.82
"88",71.059998,72.57,71.059998,72.190002,390500,72.190002
"89",72.230003,72.550003,71.629997,71.900002,229800,71.900002
"90",72.449997,72.669998,71.360001,71.900002,376300,71.900002
"91",71.75,72.769997,71.629997,72.620003,458600,72.620003
"92",72.300003,72.690002,70.860001,71.18,303800,71.18
"93",71.400002,72.669998,71.400002,72.269997,302900,72.269997
"94",72.339996,72.879997,71.769997,72.209999,350200,72.209999
"95",72.389999,72.389999,71.660004,72.209999,231300,72.209999
"96",72.709999,73.449997,72.5,72.599998,302200,72.599998
"97",72.239998,73.349998,72.029999,72.779999,369400,72.779999
"98",71.82,71.970001,70.919998,71.940002,518700,71.940002
"99",71.900002,72.970001,70.169998,71.07,749800,71.07
"100",70.800003,72.18,70.400002,71.739998,418300,71.739998
"101",71.639999,72.849998,71.050003,71.480003,376200,71.480003
"102",72.050003,72.949997,71.900002,72.43,427000,72.43
"103",72.300003,72.379997,71.599998,72.199997,378500,72.199997
"104",72.989998,73,71.989998,72.68,660900,72.68
"105",72.980003,73.169998,72.07,72.389999,411300,72.389999
"106",71.849998,72.129997,71,71.489998,641500,71.489998
"107",71.480003,71.849998,70.949997,71.610001,475600,71.610001
"108",71.739998,72.139999,71,71.830002,299500,71.830002
"109",71.150002,72.160004,71.019997,72.080002,295200,72.080002
"110",71.489998,72.010002,70.82,71.239998,353400,71.239998
"111",71.620003,72.589996,71.160004,71.339996,338000,71.339996
"112",70.900002,71.160004,70.269997,70.550003,528000,70.550003
"113",70.470001,70.839996,69.800003,70.260002,597100,70.260002
"114",70.940002,72.629997,70.940002,71.510002,510900,71.510002
"115",71.639999,72.760002,71.169998,72.5,372300,72.5
"116",71.730003,73.379997,71.699997,72.779999,327800,72.779999
"117",71.870003,72.440002,71.5,72.120003,339400,72.120003
"118",72.5,74.290001,72.5,73.800003,448600,73.800003
"119",73.339996,73.669998,72.669998,72.690002,211500,72.690002
"120",72.620003,73.620003,71.82,73.400002,441600,73.400002
"121",72.400002,74.120003,72.400002,73.900002,963300,73.900002
"122",74.489998,75.650002,74.379997,75.540001,712100,75.540001
"123",75.5,77.5,75.07,77.25,781800,77.25
"124",76.910004,77.330002,76.339996,77.120003,425800,77.120003
"125",77.209999,77.470001,76.589996,77.379997,365800,77.379997
"126",78.019997,78.339996,77.120003,77.360001,487200,77.360001
"127",77.309998,78.059998,76.940002,77.220001,528400,77.220001
"128",77.25,77.989998,76.730003,77.779999,408400,77.779999
"129",78,79.019997,77.650002,78.589996,471300,78.589996
"130",79.019997,79.720001,78.82,79.5,524000,79.5
"131",79.889999,80.410004,79.440002,80.400002,576200,80.400002
"132",80.080002,80.589996,79.25,79.639999,897600,79.639999
"133",79.559998,79.599998,78.059998,78.690002,780200,78.690002
"134",78.720001,79.199997,77.980003,78.910004,1777600,78.910004
"135",79.860001,80.339996,78.449997,79.5,434500,79.5
"136",79.970001,80.639999,79.349998,79.610001,260100,79.610001
"137",79.480003,80.32,79.480003,79.940002,203200,79.940002
"138",79.739998,80.260002,79.269997,79.449997,287500,79.449997
"139",79.129997,80.419998,78.389999,80.089996,260500,80.089996
"140",80.029999,80.629997,79.800003,80.459999,304700,80.459999
"141",80.68,82.160004,80.669998,81.779999,495300,81.779999
"142",81.620003,81.839996,81.339996,81.419998,151600,81.419998
"143",81.220001,81.480003,80.769997,80.919998,265900,80.919998
"144",81.690002,82.209999,81.410004,81.650002,367900,81.650002
"145",79.849998,80,77.290001,79.260002,1237100,79.260002
"146",79.449997,79.75,78.970001,79.25,671200,79.25
"147",79,79.370003,78.209999,78.57,376300,78.57
"148",78.849998,79.160004,77.389999,77.739998,426900,77.739998
"149",77.410004,77.610001,76.57,77,445700,77
"150",77.190002,77.800003,76.730003,77.300003,412600,77.300003
"151",77.720001,78.639999,77.300003,78.040001,355900,78.040001
"152",78,78.099998,77.010002,77.32,387700,77.32
"153",77.029999,78.160004,76.900002,78.129997,365100,78.129997
"154",78.089996,79.010002,77.760002,78.779999,443300,78.779999
"155",78.919998,79.639999,78.629997,79.019997,431700,79.019997
"156",78.709999,79.779999,78.300003,78.639999,372800,78.639999
"157",78.550003,79.269997,78.099998,79.199997,636800,79.199997
"158",79.269997,80.610001,79.269997,80.269997,456100,80.269997
"159",80.029999,80.449997,79.199997,79.900002,342900,79.900002
"160",79.739998,80.050003,79.110001,79.339996,544700,79.339996
"161",79.449997,79.68,78.949997,79.25,645700,79.25
