"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"1",568.00257,568.00257,552.922516,558.462551,13100,558.462551
"2",561.202549,566.43259,558.672477,559.992504,41200,559.992504
"3",566.892592,567.002574,556.932537,556.972503,10800,556.972503
"4",558.712565,568.452595,558.712565,567.162558,7900,567.162558
"5",599.992707,604.832763,562.192568,567.002574,147100,567.002574
"6",569.852553,587.282679,564.132581,569.742571,5099200,569.742571
"7",574.652643,577.77265,543.002488,543.14246,6369300,543.14246
"8",540.742445,548.482483,527.15244,538.152456,4401700,538.152456
"9",542.602466,555.0025,541.612446,554.902556,3151200,554.902556
"10",559.622532,565.372554,552.952506,564.142557,3330800,564.142557
"11",565.002582,565.002582,539.902495,540.952433,4036900,540.952433
"12",532.552381,540.00244,526.532392,530.602392,3924800,530.602392
"13",538.252462,544.102429,529.56237,532.522453,2575100,532.522453
"14",536.822454,538.452473,518.462348,536.442444,3855100,536.442444
"15",543.002488,557.002492,540.00244,556.54249,4893300,556.54249
"16",548.81249,549.502492,531.152424,536.1024,6809500,536.1024
"17",536.1024,536.702435,525.602352,528.622414,2566700,528.622414
"18",528.642427,537.232391,527.512375,534.812425,2365400,534.812425
"19",533.792415,533.872408,526.252389,526.942391,2052300,526.942391
"20",530.072374,531.652452,522.122349,525.162363,1883200,525.162363
"21",522.512395,524.702361,515.422333,516.182352,2100400,516.182352
"22",517.182348,518.602319,502.802274,517.152359,3335500,517.152359
"23",516.902344,529.462425,516.322324,527.70241,2699100,527.70241
"24",527.602343,528.002366,522.522372,526.662388,1751200,526.662388
"25",527.112352,532.932391,523.882364,531.352374,1905500,531.352374
"26",533.762426,534.002403,525.612389,527.932411,1688500,527.932411
"27",524.822381,528.902418,521.322364,527.812392,1024100,527.812392
"28",525.232379,526.812396,515.062337,515.14233,1689000,515.14233
"29",515.792305,516.68232,503.302272,509.962291,3224300,509.962291
"30",508.462297,517.23229,506.452298,511.002313,2021300,511.002313
"31",510.75233,519.902393,504.202292,518.732314,2439500,518.732314
"32",523.512391,530.192393,519.012379,529.922366,1912500,529.922366
"33",530.892433,536.072411,529.512428,533.092437,1653400,533.092437
"34",533.002407,533.002407,525.292358,526.652412,1191800,526.652412
"35",525.702357,525.872379,517.422325,519.982324,1704400,519.982324
"36",521.39238,521.802379,515.442347,520.632362,1485300,520.632362
"37",519.702382,529.782456,517.58537,528.862391,1277800,528.862391
"38",529.742368,536.232396,526.302392,529.772418,1784800,529.772418
"39",532.902462,539.185441,531.912381,538.942465,1196300,538.942465
"40",541.132431,547.602445,540.782472,545.062459,1615800,545.062459
"41",547.262462,553.642508,543.702467,552.702492,1932200,552.702492
"42",556.002496,566.002578,554.352463,565.952575,2104200,565.952575
"43",564.57257,567.842585,561.002537,561.682502,1652000,561.682502
"44",563.352549,564.002525,558.712565,560.082534,1354100,560.082534
"45",560.802526,561.352496,555.912467,559.892559,1771100,559.892559
"46",560.702581,560.902593,545.732448,553.932488,1435000,553.932488
"47",550.99248,552.342557,542.552463,544.942501,1866600,544.942501
"48",541.502464,548.612478,538.752429,544.662436,1816500,544.662436
"49",546.402499,554.952498,544.452449,553.90256,1689100,553.90256
"50",558.062528,558.062528,548.932448,556.332564,1736800,556.332564
"51",557.152562,562.902584,556.042523,562.122552,1467500,562.122552
"52",560.512546,563.602502,557.902544,560.552511,1351700,560.552511
"53",558.002549,559.882522,555.022514,558.842561,1100100,558.842561
"54",557.302509,557.992512,548.462531,551.352476,1458500,551.352476
"55",552.262503,552.302469,545.562488,551.762536,1220500,551.762536
"56",549.262515,549.62245,541.522477,544.282488,1702600,544.282488
"57",544.202496,545.32245,539.33245,543.012465,1444600,543.012465
"58",544.862448,553.562516,544.002484,553.372481,1741800,553.372481
"59",554.242482,555.0025,548.512473,554.902556,2456800,554.902556
"60",556.852484,557.582513,550.394526,556.362492,4508300,556.362492
"61",555.152509,565.002582,554.252519,564.952579,1536800,564.952579
"62",565.192556,572.648612,561.012574,564.622572,2207100,564.622572
"63",565.262572,579.962616,565.222546,578.652627,1969400,578.652627
"64",581.002639,582.45266,571.852545,576.002598,1742000,576.002598
