"","PRU.Open","PRU.High","PRU.Low","PRU.Close","PRU.Volume","PRU.Adjusted"
"1",56.66,58.349998,56.290001,58.189999,4127300,50.252485
"2",56.970001,59.049999,56.889999,58.810001,4195200,50.787915
"3",59.700001,59.900002,57.93,57.98,5193300,50.071131
"4",58.790001,59.279999,58.18,58.98,4879200,50.934724
"5",58.400002,59.099998,58.029999,58.48,4293500,50.502928
"6",58.48,59.09,57.740002,59.02,4131000,50.969269
"7",59.099998,59.490002,58.619999,59.049999,3723500,50.995176
"8",60,60.459999,58.380001,58.790001,3331800,50.770643
"9",58.98,59.150002,57.599998,57.700001,3695200,49.829326
"10",57.720001,58.09,56.599998,57.029999,2737000,49.250717
"11",56.470001,57,55.610001,55.810001,3779500,48.197136
"12",56.599998,58,55.799999,57.549999,7665100,49.699786
"13",57.98,58.220001,56.919998,57.470001,4742900,49.6307
"14",56.400002,56.66,54.02,54.360001,6258600,46.944925
"15",54.470001,55.290001,53.470001,53.66,5462600,46.340409
"16",53.52,54.209999,51.290001,53.889999,7519600,46.539035
"17",54.48,55.09,53.169998,53.889999,4442000,46.539035
"18",55.540001,55.970001,53.689999,54.369999,4217700,46.953559
"19",54.82,55.950001,54.73,55.759998,6203400,48.153953
"20",56.119999,56.43,55.169998,56.110001,4678000,48.456213
"21",56.029999,56.630001,55.82,56.400002,4110300,48.706656
"22",56.16,56.900002,55.830002,56.27,2935700,48.594388
"23",57.209999,57.439999,56.549999,56.880001,5675200,49.12118
"24",56.52,56.720001,55.349998,56.009998,3233800,48.369852
"25",56.32,56.32,54.630001,55.98,3433100,48.343945
"26",55.189999,55.439999,53.259998,53.419998,4571700,46.133145
"27",53.669998,54.099998,52.630001,53.349998,5108900,46.072694
"28",52.23,53.709999,51.970001,53.66,6794100,46.340409
"29",54.080002,54.880001,52.52,52.709999,4703200,45.519995
"30",53.450001,54.990002,53.150002,54.68,5033600,47.221274
"31",54.580002,55.639999,54.169998,55.419998,2544500,47.860331
"32",55.330002,55.959999,54.91,55.470001,3483700,47.903514
"33",55.950001,56.389999,55.52,55.759998,4285800,48.153953
"34",55.639999,56.119999,55.290001,55.439999,2610400,47.877604
"35",55.990002,56.77,55.16,56.040001,5186400,48.395762
"36",55.439999,57.610001,54.98,57.290001,5223400,49.475253
"37",58.43,58.5,57.349998,58.380001,5465500,50.41657
"38",58.099998,58.16,56.869999,57.119999,4221200,49.32844
"39",57.400002,57.650002,56.330002,56.709999,4954700,48.974367
"40",57.27,58.560001,55.91,58,6371300,50.088403
"41",57.060001,59.169998,57.060001,59.080002,6446400,51.021086
"42",59.360001,59.709999,58.970001,59.540001,2407800,51.418338
"43",58.759998,59.52,58.57,59.23,3922200,51.150623
"44",58,58.139999,56.5,56.599998,4049100,48.879372
"45",55.75,56.18,55.34,55.5,4700600,47.92942
"46",55.41,56.150002,55.310001,55.490002,2494500,47.920786
"47",55.18,55.330002,54.209999,54.720001,3127200,47.255819
"48",55.459999,56.189999,55.040001,55.68,2787400,48.084867
"49",55.75,55.82,54.860001,55.369999,2493100,47.817152
"50",55.150002,55.18,52.779999,52.869999,4824500,45.65817
"51",52.5,52.619999,51.220001,52.439999,5651000,45.286824
"52",52.709999,52.970001,51.810001,51.939999,3009800,44.855028
"53",51.27,51.490002,50.560001,50.610001,4022500,43.70645
"54",50.18,50.619999,48.560001,50.389999,7916400,43.516459
"55",50.650002,51.119999,49.43,49.650002,4493300,42.877402
"56",50.139999,51.470001,48.959999,51.43,4285800,44.414597
"57",51.209999,51.310001,50.009998,50.080002,3232400,43.248747
"58",50.060001,50.900002,49.470001,50.599998,3194500,43.697813
"59",51.25,52.849998,50.830002,52.790001,3983700,45.589084
"60",53.09,53.619999,52.709999,53.509998,3596200,46.210869
"61",54.209999,55.16,54.189999,55.029999,4166400,47.523531
"62",54.07,54.709999,53.349998,53.439999,2844100,46.150417
"63",53.59,54.419998,53.59,53.790001,2351100,46.452677
"64",54.830002,55.189999,54.220001,54.650002,2300100,47.195368
"65",54.619999,54.619999,53.709999,53.869999,3947100,46.521763
"66",54.919998,55.720001,54.75,55.18,3217300,47.653071
"67",55.029999,55.240002,54.369999,54.689999,3943100,47.229909
"68",54.259998,55.59,53.939999,55.560001,4504500,47.981237
"69",55.23,55.52,54.73,55.389999,1942000,47.834425
"70",55.470001,55.869999,54.799999,55.220001,4424700,47.687615
"71",53.939999,56.439999,53.939999,56.299999,4562100,48.620294
"72",55.630001,57.790001,55.41,57.560001,8254300,49.708424
"73",57.060001,57.950001,56.029999,56.450001,5136000,48.749835
"74",55.68,56.060001,54.419998,54.549999,4103400,47.109006
"75",54.98,56.049999,54.98,56.009998,5572800,48.369852
"76",55.790001,56.080002,55.529999,55.73,3938500,48.128046
"77",55.77,56.040001,54.889999,55.799999,3288000,48.188498
"78",57.580002,57.580002,56.060001,56.529999,7154200,48.81892
"79",53.84,55.099998,53.580002,54.18,11592900,46.789478
"80",54.18,54.84,52.900002,53.07,7693100,45.830889
"81",52.630001,53.610001,52.330002,52.549999,5614000,45.38182
"82",52.950001,54.27,52.119999,54.02,6630500,46.651303
"83",53.849998,54.439999,53.23,54.130001,5003400,46.746299
"84",54.310001,54.310001,53.650002,53.82,3844600,46.478584
"85",53.790001,54.200001,53.560001,54.040001,3420800,46.668575
"86",53.689999,53.98,53.220001,53.450001,2862800,46.159055
"87",53.32,54.07,53,53.98,3092700,46.616758
"88",54.139999,55.380001,53.990002,54.400002,4008000,46.979469
"89",54.119999,55.380001,53.529999,54.18,4035800,46.789478
"90",54.490002,54.57,53.150002,53.82,4340200,46.478584
"91",53.57,54.740002,53.549999,54.66,7839000,47.204002
"92",53.48,54.509998,52.860001,53.240002,4662800,45.977701
"93",53.299999,54.490002,53.099998,54.23,3021900,46.832657
"94",54.5,55.09,53.799999,54.34,3390700,46.927653
"95",54.299999,54.299999,52.599998,52.709999,5066800,45.519995
"96",53.110001,53.66,52.919998,52.98,3812200,45.753165
"97",52.68,53.689999,52.669998,53.52,2159400,46.219506
"98",53.009998,53.860001,52.5,53.25,4025300,45.986336
"99",53.529999,53.75,52.849998,53.029999,2201900,45.796344
"100",52.900002,53.02,52.060001,52.580002,3103800,45.40773
"101",52.950001,53.57,52.099998,52.66,2678000,45.476816
"102",53.189999,53.610001,52.790001,52.970001,2533600,45.744531
"103",53.209999,54.130001,52.619999,54.110001,4172100,46.729026
"104",54.060001,56,53.709999,55.59,6819800,48.007144
"105",55.740002,56.5,55.290001,55.639999,6126500,48.050323
"106",55.400002,55.560001,54.849998,54.990002,3847500,47.488989
"107",55.16,55.5,54.599998,54.889999,5124500,47.402628
"108",55.209999,55.779999,54.900002,55.779999,4939600,48.171225
"109",55.209999,55.450001,54.509998,55.02,6739500,47.514896
"110",54.869999,55.5,54.5,54.5,25777500,47.065827
"111",54.59,55.490002,54.310001,54.529999,8330200,47.091734
"112",54.529999,54.790001,52.900002,53.259998,11175500,45.99497
"113",53.400002,54.259998,53.07,53.860001,6147600,46.513128
"114",54.279999,54.669998,54.009998,54.470001,4822800,47.039921
"115",53.450001,54.220001,53.23,53.779999,5140300,47.445738
"116",53.400002,53.52,52.290001,52.84,4426200,46.616453
"117",52.16,52.220001,51.540001,51.59,5630200,45.513679
"118",52.040001,52.52,51.790001,52.439999,2628500,46.263564
"119",51.84,52.099998,51.48,51.540001,1617800,45.469569
"120",51.490002,51.630001,50.630001,51.330002,4358900,45.284304
"121",50.669998,51.310001,50.529999,50.68,4118600,44.71086
"122",51.580002,52.07,51.02,51.950001,5625600,45.831279
"123",51.950001,53.98,51.950001,53.919998,5415500,47.569248
"124",53.470001,53.790001,52.860001,53.639999,7552300,47.322228
"125",53.349998,53.799999,53.259998,53.450001,2899100,47.154607
"126",54.470001,54.470001,53.400002,53.639999,4904000,47.322228
"127",53.700001,55.5,53.650002,55.459999,7251400,48.927866
"128",55.77,56.48,55.470001,56.330002,5084500,49.695399
"129",56.450001,56.860001,55.75,56.830002,4502800,50.136508
"130",57.18,57.32,56.57,56.740002,5423300,50.057108
"131",56.849998,56.900002,56.200001,56.330002,4057000,49.695399
"132",56.209999,57.209999,56.009998,56.52,4255000,49.863019
"133",56.990002,58.110001,56.790001,57.360001,5627600,50.604083
"134",57.400002,58.330002,57.16,58.09,8170900,51.248103
"135",58.259998,58.700001,57.889999,58.48,4340700,51.592168
"136",58.68,59.599998,58.68,59.560001,3897500,52.544966
"137",59.5,60.080002,59.5,59.950001,3700900,52.889031
"138",59.700001,59.91,59.080002,59.380001,2133600,52.386166
"139",59.189999,59.849998,58.919998,59.709999,2043300,52.677297
"140",59.759998,60,59.41,59.459999,2418000,52.456742
"141",59.66,59.75,58.950001,58.950001,2024900,52.006812
"142",58.900002,59.189999,58.23,58.52,1829000,51.627457
"143",58.5,58.84,58.259998,58.709999,1481400,51.795078
"144",59.43,60.869999,59.209999,60.689999,3339300,53.541871
"145",60.619999,61.220001,60.5,61.02,3543800,53.833005
"146",60.880001,61.450001,60.75,60.990002,3903900,53.806539
"147",61.18,61.540001,60.73,61.419998,3488000,54.18589
"148",61.400002,61.610001,59.93,60.200001,3640700,53.109585
"149",59.73,60.360001,58.869999,59.869999,2968500,52.818452
"150",60.080002,60.740002,59.880001,60.419998,2342100,53.303671
"151",60.580002,61.580002,60.369999,61.57,3725600,54.318225
"152",61.509998,61.970001,60.419998,60.98,3883700,53.797715
"153",60.830002,61.720001,60.52,61.700001,3487500,54.432914
"154",61.57,62.389999,61.209999,61.93,3671400,54.635824
