"","LTD.Open","LTD.High","LTD.Low","LTD.Close","LTD.Volume","LTD.Adjusted"
"1",20.375,20.375,20.12,20.12,0,18.826
"2",20.475,20.475,20.475,20.475,0,19.158
"3",20.585,20.585,20.585,20.585,0,19.261
"4",20.825,20.825,20.825,20.825,0,19.486
"5",20.875,20.875,20.875,20.875,0,19.533
"6",20.485,20.485,20.485,20.485,0,19.168
"7",20.065,20.065,20.065,20.065,0,18.775
"8",20.015,20.015,20.015,20.015,0,18.728
"9",19.51,19.51,19.51,19.51,0,18.255
"10",18.83,18.83,18.83,18.83,0,17.619
"11",18.92,18.92,18.92,18.92,0,17.703
"12",18.56,18.56,18.56,18.56,0,17.367
"13",18.58,18.58,18.58,18.58,0,17.385
"14",18.48,18.48,18.48,18.48,0,17.292
"15",17.97,17.97,17.97,17.97,0,16.814
"16",17.905,17.905,17.905,17.905,0,16.754
"17",18.11,18.11,18.11,18.11,0,16.945
"18",17.96,17.96,17.96,17.96,0,16.805
"19",17.875,17.875,17.875,17.875,0,16.726
"20",17.81,17.81,17.81,17.81,0,16.665
"21",18.56,18.56,18.56,18.56,0,17.367
"22",18.925,18.925,18.925,18.925,0,17.708
"23",19.21,19.21,19.21,19.21,0,17.975
"24",18.92,18.92,18.92,18.92,0,17.703
"25",19.16,19.16,19.16,19.16,0,17.928
"26",19.365,19.365,19.365,19.365,0,18.12
"27",19.28,19.28,19.28,19.28,0,18.04
"28",18.145,18.145,18.145,18.145,0,16.978
"29",18.17,18.17,18.17,18.17,0,17.002
"30",18.83,18.83,18.83,18.83,0,17.619
"31",18.945,18.945,18.945,18.945,0,17.727
"32",19.48,19.48,19.48,19.48,0,18.227
"33",19.705,19.705,19.705,19.705,0,18.438
"34",20.09,20.09,20.09,20.09,0,18.798
"35",19.465,19.465,19.465,19.465,0,18.213
"36",19.435,19.435,19.435,19.435,0,18.185
"37",19.33,19.33,19.33,19.33,0,18.087
"38",19.64,19.64,19.64,19.64,0,18.377
"39",19.735,19.735,19.735,19.735,0,18.466
"40",19.16,19.16,19.16,19.16,0,17.928
"41",19.68,19.68,19.68,19.68,0,18.415
"42",19.855,19.855,19.855,19.855,0,18.578
"43",19.595,19.595,19.595,19.595,0,18.335
"44",20.14,20.14,20.14,20.14,0,18.845
"45",19.45,19.45,19.45,19.45,0,18.199
"46",19.33,19.33,19.33,19.33,0,18.087
"47",19.665,19.665,19.665,19.665,0,18.4
"48",19.38,19.38,19.38,19.38,0,18.134
"49",19.305,19.305,19.305,19.305,0,18.064
"50",19.79,19.79,19.79,19.79,0,18.517
"51",20.095,20.095,20.095,20.095,0,18.803
"52",20.105,20.105,20.105,20.105,0,18.812
"53",20.02,20.02,20.02,20.02,0,18.733
"54",19.45,19.45,19.45,19.45,0,18.199
"55",19.23,19.23,19.23,19.23,0,18.133
"56",19.195,19.195,19.195,19.195,0,18.1
"57",19.095,19.095,19.095,19.095,0,18.006
"58",19.57,19.57,19.57,19.57,0,18.454
"59",18.825,18.915,18.825,18.825,0,17.751
"60",18.575,18.575,18.575,18.575,0,17.516
"61",18.79,18.79,18.79,18.79,0,17.718
"62",19.945,19.945,19.945,19.945,0,18.808
"63",20.235,20.235,20.235,20.235,0,19.081
"64",20.31,20.31,20.31,20.31,0,19.152
"65",20.23,20.23,20.23,20.23,0,19.076
"66",19.665,19.665,19.665,19.665,0,18.543
"67",19.78,19.78,19.78,19.78,0,18.652
"68",19.85,19.85,19.85,19.85,0,18.718
"69",19.88,19.88,19.88,19.88,0,18.746
"70",20.31,20.31,20.31,20.31,0,19.152
"71",20.15,20.15,20.15,20.15,0,19.001
"72",20.13,20.13,20.13,20.13,0,18.982
"73",20.36,20.36,20.36,20.36,0,19.199
