"","PRGO.Open","PRGO.High","PRGO.Low","PRGO.Close","PRGO.Volume","PRGO.Adjusted"
"1",59.009998,59.889999,58.77,59.59,718600,58.642103
"2",58.970001,60.650002,58.900002,59.900002,865800,58.947173
"3",60.57,60.689999,59.650002,59.759998,809000,58.809397
"4",60.07,60.290001,59.279999,60.18,737000,59.222718
"5",59.700001,59.779999,58.810001,59.23,1160900,58.287829
"6",59.48,59.779999,58.82,59.419998,455600,58.474805
"7",59.43,60,58.669998,58.77,652200,57.835147
"8",59.450001,60.91,59.450001,59.970001,1211800,59.016059
"9",60.23,60.709999,59.060001,59.150002,717900,58.209103
"10",59.52,60.389999,57.91,58.549999,946800,57.618645
"11",57.73,58.27,57.150002,57.779999,931800,56.860893
"12",58,59.369999,57.610001,59.189999,1499200,58.248464
"13",59.25,59.360001,57.810001,59.299999,1011100,58.356715
"14",58.869999,60.16,58.200001,59.209999,2168100,58.268146
"15",59.279999,60.16,58.900002,59.07,1299600,58.130374
"16",59.18,59.18,56.310001,57.490002,1613500,56.575509
"17",57.610001,58.82,56.869999,57.25,1029300,56.339325
"18",57.880001,58.779999,56.849998,57.060001,1120200,56.152349
"19",55.849998,56.490002,54.900002,56.439999,2410700,55.542208
"20",56.849998,57.939999,56.82,57.5,875900,56.585348
"21",57.529999,58.119999,56.75,58.049999,720500,57.126599
"22",58.040001,58.150002,56.439999,56.880001,973800,55.975211
"23",57.490002,57.970001,57.07,57.34,744300,56.427893
"24",56.849998,57.349998,56.290001,57.110001,568100,56.201552
"25",57,58.950001,56.889999,58.799999,1117900,57.864668
"26",58.549999,58.900002,57.139999,57.290001,977700,56.378689
"27",56.040001,56.299999,54.619999,55.279999,3229700,54.40066
"28",54.939999,55.75,54.709999,55.580002,1430300,54.695891
"29",55.740002,55.91,54.970001,55.119999,1278600,54.243206
"30",55.580002,57.16,55.580002,56.009998,1639800,55.119048
"31",55.939999,56.470001,55.23,56.18,901900,55.286346
"32",54.889999,58.5,54.889999,58.150002,1205400,57.22501
"33",58.68,59.419998,57.389999,57.740002,1314200,56.821532
"34",58.299999,58.560001,55.68,56.16,1181000,55.266663
"35",56.650002,56.669998,54.900002,55.25,1290300,54.371139
