"","DTV.Open","DTV.High","DTV.Low","DTV.Close","DTV.Volume","DTV.Adjusted"
"1",38.349998,38.810001,37.470001,38.549999,10360800,38.549999
"2",38.169998,38.639999,38.009998,38.470001,7117000,38.470001
"3",38.639999,39.299999,38.48,38.57,9646600,38.57
"4",38.75,39.450001,38.630001,39.25,14248500,39.25
"5",39,39.490002,38.860001,39.330002,8198500,39.330002
"6",38,38.27,37.490002,37.790001,30254300,37.790001
"7",37.77,38,37.220001,37.43,19602600,37.43
"8",37.619999,37.869999,37.110001,37.389999,10693300,37.389999
"9",37.150002,37.790001,36.27,36.560001,18471500,36.560001
"10",36.580002,36.919998,36.060001,36.540001,15147000,36.540001
"11",36.32,36.529999,35.759998,36.009998,17348800,36.009998
"12",36.07,36.299999,35.66,35.830002,27637200,35.830002
"13",36.040001,36.18,35.43,35.880001,8655100,35.880001
"14",35.369999,35.490002,34,34.369999,19395400,34.369999
"15",34.23,34.52,33.869999,33.919998,10909900,33.919998
"16",34.049999,34.419998,33.25,34.349998,13345100,34.349998
"17",34.52,34.52,33.439999,33.639999,8538300,33.639999
"18",34.02,34.32,33.700001,34.32,9775300,34.32
"19",34.25,35.5,34.25,35.450001,11737300,35.450001
"20",35.650002,35.669998,35.029999,35.560001,8544100,35.560001
"21",35.59,35.700001,35.189999,35.619999,6438200,35.619999
"22",35.549999,36.349998,35.400002,36.279999,9929100,36.279999
"23",36.59,37.040001,36.450001,36.52,12446600,36.52
"24",35.98,36.619999,35.689999,35.860001,10433400,35.860001
"25",36.130001,36.16,35.27,35.779999,9105400,35.779999
"26",35.799999,35.830002,34.84,34.970001,7792800,34.970001
"27",35.380001,36.080002,34.959999,35.939999,7648800,35.939999
"28",35.639999,36.16,35.369999,36.119999,5723500,36.119999
"29",35.669998,36.200001,35.5,35.720001,6732000,35.720001
"30",35.959999,36.75,35.869999,36.459999,5574400,36.459999
"31",36.349998,37.400002,36.200001,37.139999,7569900,37.139999
"32",37.400002,37.66,37.009998,37.5,5413200,37.5
"33",37.580002,37.799999,37.02,37.419998,5456500,37.419998
"34",37.529999,38,37.43,37.669998,4866300,37.669998
"35",38,38.470001,36.52,36.709999,11004000,36.709999
"36",36.5,37.57,36.23,37.16,5922400,37.16
"37",37.849998,38.07,37.48,37.619999,7059100,37.619999
"38",37.48,37.650002,36.950001,37.240002,5574600,37.240002
"39",37.27,37.98,37.27,37.900002,7471200,37.900002
"40",37.900002,39.689999,37.830002,38.799999,11874500,38.799999
"41",38.540001,39.02,38.25,38.610001,7737900,38.610001
"42",38.830002,39.049999,38.540001,38.970001,9043500,38.970001
"43",38.880001,39.889999,38.880001,39.43,10570200,39.43
"44",38.790001,38.990002,38.330002,38.799999,8671200,38.799999
"45",38.330002,38.810001,38.259998,38.75,6632400,38.75
"46",38.470001,38.689999,38.189999,38.560001,5780000,38.560001
"47",38.5,38.740002,38,38.540001,5537100,38.540001
"48",38.09,39.169998,38.040001,38.790001,6611400,38.790001
"49",38.59,38.889999,38.310001,38.450001,8080800,38.450001
"50",38.220001,38.34,37.560001,38.049999,9213200,38.049999
"51",37.630001,38.209999,37.59,38.049999,6324500,38.049999
"52",38.310001,38.540001,37.73,37.810001,7618500,37.810001
"53",37.610001,37.889999,37.330002,37.419998,6976000,37.419998
"54",37.110001,37.880001,37.07,37.639999,7372800,37.639999
"55",37.43,38.169998,37.43,37.77,6708900,37.77
"56",37.91,38.349998,37.25,38.169998,7666200,38.169998
"57",37.57,38.09,37.48,37.799999,5999500,37.799999
"58",37.419998,38.029999,37.400002,37.900002,8091100,37.900002
"59",38.389999,38.689999,38.009998,38.099998,11560100,38.099998
"60",38.529999,38.650002,38.220001,38.540001,7056600,38.540001
"61",38.779999,39.150002,38.52,39.049999,6437800,39.049999
"62",38.830002,39.540001,38.799999,39.310001,6972900,39.310001
"63",39.380001,40.099998,39.380001,39.77,9178500,39.77
"64",40.009998,40.139999,39.650002,39.799999,8003000,39.799999
"65",39.970001,40.16,39.759998,40.040001,5536600,40.040001
"66",40.240002,40.529999,40,40.389999,5754300,40.389999
"67",40.349998,40.93,40.25,40.68,6525800,40.68
"68",40.599998,41.07,40.52,40.990002,7183100,40.990002
"69",40.970001,41.310001,40.610001,41.220001,9197500,41.220001
"70",41.439999,42,41.25,41.669998,20372600,41.669998
"71",41.860001,41.950001,41.450001,41.59,9060600,41.59
"72",41.529999,41.720001,41.119999,41.549999,7008800,41.549999
"73",41.720001,42.23,41.540001,41.740002,6671500,41.740002
"74",41.59,42.080002,41.349998,41.75,7597600,41.75
"75",42.080002,42.610001,41.84,41.939999,8740700,41.939999
"76",41.860001,42.049999,41.799999,41.869999,6034800,41.869999
"77",42.049999,42.240002,41.529999,41.98,8653500,41.98
"78",41.799999,42.07,41.68,41.990002,5029900,41.990002
"79",42.080002,42.220001,41.310001,41.630001,7392800,41.630001
"80",41.630001,42.240002,41.630001,41.830002,6564700,41.830002
"81",41.900002,42.099998,41.310001,41.73,4893400,41.73
"82",42.060001,42.110001,41.779999,41.84,9404700,41.84
"83",41.82,41.900002,41.490002,41.869999,6138800,41.869999
"84",42.049999,42.110001,41.740002,42.02,6602600,42.02
"85",42.110001,42.209999,41.700001,42.09,4415500,42.09
"86",42.049999,42.25,41.84,42.130001,4755700,42.130001
"87",41.900002,42.240002,41.549999,42.189999,4291700,42.189999
"88",42.240002,42.560001,42.119999,42.450001,6564700,42.450001
"89",42.610001,43.279999,42.459999,42.889999,7199900,42.889999
"90",43.049999,43.07,42,42.650002,7304900,42.650002
"91",42.709999,42.740002,42.509998,42.540001,7339300,42.540001
"92",42.220001,42.52,42.049999,42.490002,7900600,42.490002
"93",42.549999,42.869999,42.380001,42.669998,5690500,42.669998
"94",42.75,43.119999,42.57,43.02,7116700,43.02
"95",43.09,43.099998,42.630001,42.720001,6457500,42.720001
"96",43.009998,43.560001,43,43.220001,5385300,43.220001
"97",43,43.490002,42.830002,43.310001,4900200,43.310001
"98",42.939999,43.369999,42.84,43.369999,5154300,43.369999
"99",43.43,43.66,43.18,43.459999,4121500,43.459999
"100",43.43,43.540001,43.220001,43.450001,4322500,43.450001
"101",43.59,44.150002,43.509998,43.77,4176500,43.77
"102",44.279999,44.5,44.060001,44.09,4958000,44.09
"103",44.080002,44.23,43.790001,44.18,5474900,44.18
"104",44.25,44.610001,42.32,42.59,18209000,42.59
"105",42.549999,42.720001,42.099998,42.720001,7812100,42.720001
"106",42.560001,43.169998,42.41,42.830002,7170300,42.830002
"107",42.869999,42.900002,42.330002,42.5,9550200,42.5
"108",42.369999,42.830002,42.369999,42.759998,6917300,42.759998
"109",42.529999,43.25,42.509998,43.049999,6501100,43.049999
"110",42.849998,43,42.349998,42.439999,7787800,42.439999
"111",42.330002,42.810001,42.060001,42.150002,6883900,42.150002
"112",41.950001,42.040001,41.150002,41.41,9141900,41.41
"113",41.290001,41.740002,41.060001,41.599998,6114900,41.599998
"114",42.23,42.439999,41.720001,41.889999,7139100,41.889999
"115",41.860001,42.18,41.549999,42.150002,10553700,42.150002
"116",42.009998,42.389999,41.75,42.169998,6015100,42.169998
"117",41.799999,41.84,41.049999,41.389999,6881900,41.389999
"118",41.580002,42.400002,41.580002,41.84,5893600,41.84
"119",41.529999,42.040001,41.419998,41.869999,2672800,41.869999
"120",41.490002,41.720001,40.889999,41.529999,7412400,41.529999
"121",41.200001,41.889999,41.029999,41.529999,7698600,41.529999
"122",41.950001,42.150002,41.119999,41.23,10589500,41.23
"123",41.34,41.490002,40.549999,40.91,13928500,40.91
"124",40.779999,41.049999,40.43,40.619999,11436200,40.619999
"125",40.540001,40.709999,40.310001,40.34,6679300,40.34
"126",40.720001,40.849998,39.169998,39.41,14248300,39.41
"127",39.400002,40.349998,39.330002,40.049999,11587400,40.049999
"128",40.130001,40.259998,39.84,40.139999,6959700,40.139999
"129",40.130001,40.34,40.009998,40.200001,7079500,40.200001
"130",40.209999,40.27,40.02,40.169998,8525000,40.169998
"131",40.290001,40.419998,40.119999,40.25,7313800,40.25
"132",40.130001,40.299999,39.540001,39.650002,7034800,39.650002
"133",39.540001,39.700001,39.209999,39.57,9703800,39.57
"134",39.5,39.669998,39.119999,39.259998,31900500,39.259998
"135",39.439999,39.98,39.290001,39.790001,11220700,39.790001
"136",39.98,39.990002,39.23,39.360001,7139100,39.360001
"137",39.459999,39.779999,39.380001,39.66,4045100,39.66
"138",39.650002,40,39.59,39.919998,4570500,39.919998
"139",39.849998,39.91,39.41,39.639999,6473800,39.639999
"140",39.68,40.200001,39.610001,40.02,6796900,40.02
"141",40.169998,40.240002,40.009998,40.099998,4911000,40.099998
"142",40.150002,40.209999,39.950001,40.09,2544000,40.09
"143",40.099998,40.200001,39.740002,39.93,3162500,39.93
"144",40.200001,41.169998,40.200001,40.98,8942300,40.98
"145",40.799999,41.799999,40.740002,41.34,9933400,41.34
"146",41.119999,41.470001,41.080002,41.400002,8617700,41.400002
"147",41.310001,41.509998,40.939999,41.169998,6236500,41.169998
"148",41.32,42.18,41.150002,41.860001,7670700,41.860001
"149",41.689999,41.759998,41.41,41.700001,6082300,41.700001
"150",41.790001,42.060001,41.639999,41.82,5498700,41.82
"151",42.029999,42.080002,41.66,41.830002,5897700,41.830002
"152",41.810001,42.369999,41.740002,42.220001,6738900,42.220001
"153",42.200001,42.59,42.119999,42.509998,5162300,42.509998
"154",42.630001,42.970001,42.369999,42.619999,6326000,42.619999
"155",42.48,42.580002,41.799999,42.099998,4754400,42.099998
"156",42.25,42.48,41.810001,42.299999,5564100,42.299999
"157",42.360001,42.540001,41.84,41.849998,5851900,41.849998
"158",41.93,42.810001,41.880001,42.810001,6435200,42.810001
"159",42.610001,42.900002,42.549999,42.880001,5644100,42.880001
"160",42.830002,43.040001,42.490002,42.66,6554500,42.66
"161",42.68,42.93,42.619999,42.639999,3531900,42.639999
"162",42.52,42.959999,41.869999,42.169998,5687000,42.169998
"163",42.32,42.709999,41.919998,42.389999,5455300,42.389999
"164",42.599998,43.369999,42.580002,43.02,6196500,43.02
"165",42.84,43.27,42.540001,42.610001,4523600,42.610001
"166",42.669998,42.84,42.34,42.68,3346100,42.68
