"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"1",63.110001,63.959999,62.91,63.860001,1534800,31.93
"2",63.689999,64.720001,63.490002,64.720001,1773400,32.360001
"3",64.989998,65.550003,64.870003,65.190002,1886200,32.595001
"4",65.330002,65.739998,65.239998,65.599998,2069600,32.799999
"5",65.099998,65.839996,64.839996,65.809998,2391200,32.904999
"6",65.879997,66.610001,65.589996,66.580002,1727200,33.290001
"7",66.5,67.050003,66.5,66.629997,2699000,33.314999
"8",66.779999,66.959999,64.610001,64.919998,2163200,32.459999
"9",64.919998,65.029999,63.450001,63.610001,1315000,31.805
"10",63.299999,63.529999,62.5,63.240002,1542400,31.620001
"11",62.959999,63.299999,62.610001,62.75,1283000,31.375
"12",62.84,63.740002,62.400002,63.32,2309800,31.66
"13",63.59,64.019997,62.77,63.73,1185000,31.865
"14",63.18,63.450001,62.5,62.73,1722000,31.365
"15",62.73,63.439999,62.34,62.439999,2106400,31.219999
"16",62.529999,62.549999,60.669998,61.720001,2075400,30.860001
"17",61.77,61.799999,60.689999,61.099998,1589800,30.549999
"18",61.790001,61.790001,59.700001,60.389999,6207400,30.195
"19",60.439999,60.77,59.950001,60.759998,3085600,30.379999
"20",60.990002,61.400002,59.669998,59.970001,3629400,29.985001
"21",60.02,60.299999,59.689999,60.130001,2002400,30.065001
"22",60.009998,60.639999,60,60.5,1272000,30.25
"23",60.830002,61.779999,60.52,61.52,2485200,30.76
"24",61.290001,61.970001,60.880001,61.330002,1793200,30.665001
"25",61.419998,62.060001,60.810001,61.23,2759200,30.615
"26",60.82,61.18,59.900002,60,2019400,30
"27",60.27,60.5,59.580002,59.799999,1306400,29.9
"28",59.150002,60.049999,59.049999,60.049999,1435000,30.025
"29",60.189999,60.189999,58.080002,58.389999,2580200,29.195
"30",58.91,59.299999,57.759998,58.009998,2987000,29.004999
"31",57.959999,58.060001,56.580002,56.830002,5729000,28.415001
"32",57.27,61.09,57,60.860001,4422400,30.43
"33",61.16,62.860001,60.279999,60.52,5370800,30.26
"34",60.41,60.619999,58.900002,59.27,3331800,29.635
"35",59.509998,60.139999,58.529999,58.540001,2229200,29.27
"36",57.970001,58.23,57.25,57.32,5186800,28.66
"37",58.200001,58.77,57.34,57.889999,3078200,28.945
"38",58.459999,62.439999,58.459999,61.099998,7352200,30.549999
"39",61.330002,61.84,60.799999,61.610001,2297000,30.805
"40",61.299999,63.93,61.299999,63.189999,3276200,31.594999
"41",62.799999,63.75,62.540001,63.619999,2025400,31.809999
"42",63.68,64.080002,63.209999,63.610001,1645800,31.805
"43",62.779999,63.939999,62.779999,63.650002,1799400,31.825001
"44",62.880001,63.240002,62.549999,63.049999,2469000,31.525
"45",62.389999,63.919998,62.209999,63.790001,1636800,31.895
"46",63.700001,64.279999,63.580002,64.080002,1305800,32.040001
"47",63.68,64.5,63.509998,64.300003,1355800,32.150002
"48",64.449997,65.129997,64.449997,64.760002,1610400,32.380001
