"","PCS.Open","PCS.High","PCS.Low","PCS.Close","PCS.Volume","PCS.Adjusted"
"1",4.4,4.4,4.4,4.4,300,4.4
"2",4.23,4.4,4.23,4.4,0,4.4
"3",4.319,4.399,4.319,4.399,600,4.399
"4",4.399,4.399,4.399,4.399,100,4.399
"5",4.379,4.4,4.379,4.4,700,4.4
"6",4.06,4.2,4.06,4.2,300,4.2
"7",4,4,4,4,100,4
"8",4.23,4.39,4.2,4.2,200,4.2
"9",3.85,4.15,3.85,4.15,200,4.15
"10",4.051,4.15,4.051,4.148,300,4.148
"11",4.15,4.15,4.15,4.15,0,4.15
"12",4.148,4.148,4.148,4.148,100,4.148
"13",4.138,4.138,4.138,4.138,0,4.138
"14",4.14,4.14,4.14,4.14,0,4.14
"15",4.15,4.2,4.15,4.2,2000,4.2
"16",4.3,4.3,4.05,4.22,3100,4.22
"17",4.25,4.29,4.25,4.29,4000,4.29
"18",4.39,4.4,4.39,4.4,1200,4.4
"19",4.54,4.55,4.54,4.55,200,4.55
"20",4.29,4.549,4.29,4.478,4800,4.478
"21",4.29,4.53,4.29,4.53,1000,4.53
"22",4.231,4.231,4.231,4.231,300,4.231
"23",4.391,4.646,4.236,4.646,2600,4.646
"24",4.45,4.509,4.45,4.5,600,4.5
"25",4.55,4.55,4.5,4.5,1700,4.5
"26",4.6,4.6,4.3,4.5,5100,4.5
"27",4.649,4.75,4.649,4.75,4200,4.75
"28",4.75,5,4.75,5,415500,5
"29",5,5,5,5,1400,5
"30",5.09,5.33,5.04,5.04,21800,5.04
"31",5,5,5,5,1100,5
"32",5,5.15,5,5.15,2600,5.15
"33",5,5.1,5,5.1,1400,5.1
"34",5,5.1,5,5.1,10800,5.1
"35",5,5.14,5,5.14,2100,5.14
"36",5,5,5,5,2000,5
"37",5.1,5.1,5.1,5.1,0,5.1
"38",5,5.1,5,5.1,2000,5.1
"39",5.15,5.15,4.95,5.02,2400,5.02
"40",5.03,5.07,5.03,5.07,1400,5.07
"41",4.9,5.09,4.9,5.09,3400,5.09
"42",5.09,5.09,5,5.09,500,5.09
"43",5,5.09,5,5.09,0,5.09
