"","PCS.Open","PCS.High","PCS.Low","PCS.Close","PCS.Volume","PCS.Adjusted"
"44",5,5.15,5,5.15,2400,5.15
"45",5,5.11,5,5.11,500,5.11
"46",5.08,5.08,5.08,5.08,0,5.08
"47",4.871,5,4.871,5,2800,5
"48",5.08,5.08,5.08,5.08,0,5.08
"49",5,5.097,5,5.097,500,5.097
"50",5,5.1,5,5,3000,5
"51",5,5.11,5,5.001,4600,5.001
"52",5,5.05,5,5,3000,5
"53",5,5,5,5,1900,5
"54",5,5,5,5,900,5
"55",5,5,5,5,2900,5
"56",5,5.25,5,5,62000,5
"57",5,5.17,5,5.1,1000,5.1
"58",5.05,5.05,5.05,5.05,700,5.05
"59",5.07,5.07,5,5,900,5
"60",5,5,5,5,400,5
"61",5,5.05,5,5,13400,5
"62",5,5,5,5,6100,5
"63",5,5,5,5,5100,5
"64",5,5,5,5,100,5
"65",5,5,5,5,7000,5
"66",5,5,5,5,6500,5
"67",5,5,5,5,1000,5
"68",5,5,5,5,1900,5
"69",5.001,5.08,5,5,3500,5
"70",5,5.2,5,5.2,400,5.2
"71",5,5.2,5,5.2,0,5.2
"72",5.001,5.2,5.001,5.2,100,5.2
"73",5,5,5,5,100,5
"74",5,5,5,5,4000,5
"75",5.01,5.01,5,5,600,5
"76",5,5.1,5,5.1,1000,5.1
"77",5.011,5.05,5.011,5.05,200,5.05
"78",5.01,5.01,5.01,5.01,900,5.01
"79",5.01,5.01,5.01,5.01,100,5.01
"80",5,5.01,5,5,100,5
"81",5.01,5.05,4.97,5,1200,5
"82",5.05,5.1,4.9,5.099,3600,5.099
"83",4.9,5,4.9,5,500,5
"84",5.077,5.1,4.9,5.1,0,5.1
"85",5.1,5.1,5.1,5.1,100,5.1
"86",4.9,5.1,4.9,5.1,1000,5.1
"87",4.9,5,4.9,5,300,5
"88",4.82,5,4.61,5,13000,5
"89",4.95,4.95,4.751,4.751,400,4.751
"90",4.801,5.04,4.8,5.04,300,5.04
"91",4.92,5,4.92,5,400,5
"92",5,5.09,4.92,4.92,4200,4.92
"93",5.02,5.02,4.92,4.92,1400,4.92
"94",4.92,5,4.86,5,2300,5
"95",5,5,5,5,600,5
"96",5,5,5,5,0,5
"97",5,5,5,5,100,5
"98",5.099,5.099,5.099,5.099,0,5.099
"99",5,5,5,5,2000,5
"100",5,5,5,5,0,5
"101",5,5.099,5,5.099,500,5.099
"102",5,5,5,5,500,5
"103",5,5,5,5,500,5
"104",5,5,5,5,1900,5
"105",5,5,5,5,1200,5
"106",5,5,5,5,400,5
"107",5,5,5,5,600,5
"108",5.03,5.03,5.03,5.03,0,5.03
"109",5.029,5.029,5.029,5.029,900,5.029
"110",5,5,5,5,1300,5
"111",5,5,5,5,0,5
"112",5,5,5,5,100,5
"113",5,5,5,5,200,5
"114",5.009,5.009,5,5,1500,5
"115",5,5,5,5,800,5
"116",5,5,5,5,1100,5
"117",5,5,5,5,2000,5
"118",5,5,5,5,700,5
"119",5,5,5,5,400,5
"120",5,5,5,5,400,5
"121",5,5,5,5,2100,5
"122",5,5,5,5,2400,5
"123",5,5,5,5,2100,5
"124",5,5,5,5,2400,5
"125",5.05,5.05,5.05,5.05,200,5.05
"126",5.002,5.14,5.001,5.14,1500,5.14
"127",5.001,5.16,5,5.16,2300,5.16
"128",5.2,5.25,5.18,5.18,900,5.18
"129",5.15,5.15,5.1,5.1,500,5.1
"130",5.239,5.239,5.239,5.239,100,5.239
"131",5.003,5.003,5,5,3400,5
"132",5,5,5,5,100,5
"133",5,5.001,5,5,1600,5
"134",5.001,5.001,5.001,5.001,1000,5.001
"135",5.01,5.01,5.003,5.003,600,5.003
"136",5.004,5.004,5.003,5.003,1200,5.003
"137",5.01,5.01,5.003,5.003,1700,5.003
"138",5.003,5.003,5.003,5.003,1500,5.003
"139",5.003,5.003,5.003,5.003,900,5.003
"140",5.003,5.003,5.003,5.003,400,5.003
"141",5.003,5.099,4.902,4.902,7300,4.902
"142",5.01,5.01,5.01,5.01,100,5.01
"143",5.099,5.099,5.099,5.099,0,5.099
"144",5,5,4.9,4.9,700,4.9
"145",5.1,5.1,5,5,700,5
"146",4.92,4.92,4.92,4.92,400,4.92
"147",5.05,5.139,5.05,5.139,100,5.139
"148",5.1,5.1,5.1,5.1,100,5.1
"149",5.02,5.02,5.02,5.02,700,5.02
"150",5.02,5.02,5.02,5.02,100,5.02
"151",5.02,5.02,5,5,9600,5
"152",4.92,5,4.899,4.899,13400,4.899
"153",4.9,4.9,4.9,4.9,600,4.9
"154",4.93,5.099,4.93,5.09,4400,5.09
"155",5.02,5.02,5.02,5.02,1200,5.02
"156",5.1,5.1,5.1,5.1,100,5.1
"157",5.1,5.1,5.1,5.1,500,5.1
"158",5.01,5.01,5.01,5.01,500,5.01
"159",5.01,5.01,5,5,3600,5
"160",5.01,5.01,5.01,5.01,0,5.01
"161",4.8,4.8,4.8,4.8,800,4.8
"162",4.85,4.85,4.85,4.85,0,4.85
"163",4.852,4.852,4.852,4.852,300,4.852
"164",4.851,4.851,4.851,4.851,400,4.851
"165",4.85,4.85,4.85,4.85,200,4.85
"166",4.901,4.901,4.901,4.901,100,4.901
"167",5,5,5,5,2500,5
"168",5.001,5.001,5.001,5.001,900,5.001
"169",5.001,5.001,5.001,5.001,100,5.001
"170",5.003,5.003,5.003,5.003,500,5.003
"171",5.001,5.001,5.001,5.001,400,5.001
"172",5.001,5.001,5.001,5.001,500,5.001
"173",5.001,5.001,5.001,5.001,0,5.001
"174",5,5,5,5,900,5
"175",5,5,5,5,0,5
"176",5,5,5,5,0,5
"177",5,5,5,5,0,5
"178",5,5,5,5,0,5
"179",5,5,5,5,0,5
"180",5,5,5,5,0,5
"181",5,5,5,5,0,5
"182",5,5,5,5,0,5
"183",5,5,5,5,0,5
"184",5,5,5,5,0,5
"185",5,5,5,5,0,5
"186",5,5,5,5,0,5
"187",5,5,5,5,0,5
"188",5,5,5,5,0,5
"189",5,5,5,5,0,5
"190",5,5,5,5,0,5
"191",5,5,5,5,0,5
"192",5,5,5,5,0,5
"193",5,5,5,5,0,5
"194",5,5,5,5,0,5
"195",5,5,5,5,0,5
"196",5,5,5,5,0,5
"197",5,5,5,5,0,5
"198",5,5,5,5,0,5
"199",5,5,5,5,0,5
"200",5,5,5,5,0,5
"201",5,5,5,5,0,5
"202",5,5,5,5,0,5
"203",5,5,5,5,0,5
"204",5,5,5,5,0,5
"205",5,5,5,5,0,5
"206",5,5,5,5,0,5
"207",5,5,5,5,0,5
"208",5,5,5,5,0,5
"209",5,5,5,5,0,5
"210",5,5,5,5,0,5
"211",5,5,5,5,0,5
"212",5,5,5,5,0,5
"213",5,5,5,5,0,5
"214",5,5,5,5,0,5
"215",5,5,5,5,0,5
"216",5,5,5,5,0,5
"217",5,5,5,5,0,5
"218",5,5,5,5,0,5
"219",5,5,5,5,0,5
"220",5,5,5,5,0,5
"221",5,5,5,5,0,5
"222",5,5,5,5,0,5
"223",5,5,5,5,0,5
"224",5,5,5,5,0,5
"225",5,5,5,5,0,5
"226",5,5,5,5,0,5
"227",5,5,5,5,0,5
"228",5,5,5,5,0,5
"229",5,5,5,5,0,5
"230",5,5,5,5,0,5
"231",5,5,5,5,0,5
"232",5,5,5,5,0,5
"233",5,5,5,5,0,5
"234",5,5,5,5,0,5
"235",5,5,5,5,0,5
"236",5,5,5,5,0,5
"237",5,5,5,5,0,5
"238",5,5,5,5,0,5
"239",5,5,5,5,0,5
"240",5,5,5,5,0,5
"241",5,5,5,5,0,5
"242",5,5,5,5,0,5
"243",5,5,5,5,0,5
"244",5,5,5,5,0,5
"245",5,5,5,5,0,5
"246",5,5,5,5,0,5
"247",5,5,5,5,0,5
"248",5,5,5,5,0,5
"249",5,5,5,5,0,5
"250",5,5,5,5,0,5
"251",5,5,5,5,0,5
"252",5,5,5,5,0,5
"253",5,5,5,5,0,5
"254",5,5,5,5,0,5
"255",5,5,5,5,0,5
"256",5,5,5,5,0,5
"257",5,5,5,5,0,5
"258",5,5,5,5,0,5
"259",5,5,5,5,0,5
"260",5,5,5,5,0,5
"261",5,5,5,5,0,5
"262",5,5,5,5,0,5
"263",5,5,5,5,0,5
"264",5,5,5,5,0,5
"265",5,5,5,5,0,5
"266",5,5,5,5,0,5
"267",5,5,5,5,0,5
"268",5,5,5,5,0,5
"269",5,5,5,5,0,5
"270",5,5,5,5,0,5
"271",5,5,5,5,0,5
"272",5,5,5,5,0,5
"273",5,5,5,5,0,5
"274",5,5,5,5,0,5
"275",5,5,5,5,0,5
"276",5,5,5,5,0,5
"277",5,5,5,5,0,5
"278",5,5,5,5,0,5
"279",5,5,5,5,0,5
"280",5,5,5,5,0,5
"281",5,5,5,5,0,5
"282",5,5,5,5,0,5
"283",5,5,5,5,0,5
"284",5,5,5,5,0,5
"285",5,5,5,5,0,5
"286",5,5,5,5,0,5
"287",5,5,5,5,0,5
"288",5,5,5,5,0,5
"289",5,5,5,5,0,5
"290",5,5,5,5,0,5
"291",5,5,5,5,0,5
"292",5,5,5,5,0,5
"293",5,5,5,5,0,5
"294",5,5,5,5,0,5
"295",5,5,5,5,0,5
"296",5,5,5,5,0,5
"297",5,5,5,5,0,5
"298",5,5,5,5,0,5
"299",5,5,5,5,0,5
"300",5,5,5,5,0,5
"301",5,5,5,5,0,5
"302",5,5,5,5,0,5
"303",5,5,5,5,0,5
"304",5,5,5,5,0,5
"305",5,5,5,5,0,5
"306",5,5,5,5,0,5
"307",5,5,5,5,0,5
"308",5,5,5,5,0,5
"309",5,5,5,5,0,5
"310",5,5,5,5,0,5
"311",5,5,5,5,0,5
"312",5,5,5,5,0,5
"313",5,5,5,5,0,5
"314",5,5,5,5,0,5
"315",5,5,5,5,0,5
"316",5,5,5,5,0,5
"317",5,5,5,5,0,5
"318",5,5,5,5,0,5
"319",5,5,5,5,0,5
"320",5,5,5,5,0,5
"321",5,5,5,5,0,5
"322",5,5,5,5,0,5
"323",5,5,5,5,0,5
"324",5,5,5,5,0,5
"325",5,5,5,5,0,5
"326",5,5,5,5,0,5
"327",5,5,5,5,0,5
"328",5,5,5,5,0,5
"329",5,5,5,5,0,5
"330",5,5,5,5,0,5
"331",5,5,5,5,0,5
"332",5,5,5,5,0,5
"333",5,5,5,5,0,5
"334",5,5,5,5,0,5
"335",5,5,5,5,0,5
"336",5,5,5,5,0,5
"337",5,5,5,5,0,5
"338",5,5,5,5,0,5
"339",5,5,5,5,0,5
"340",5,5,5,5,0,5
"341",5,5,5,5,0,5
"342",5,5,5,5,0,5
"343",5,5,5,5,0,5
"344",5,5,5,5,0,5
"345",5,5,5,5,0,5
"346",5,5,5,5,0,5
"347",5,5,5,5,0,5
"348",5,5,5,5,0,5
"349",5,5,5,5,0,5
"350",5,5,5,5,0,5
"351",5,5,5,5,0,5
"352",5,5,5,5,0,5
"353",5,5,5,5,0,5
"354",5,5,5,5,0,5
"355",5,5,5,5,0,5
"356",5,5,5,5,0,5
"357",5,5,5,5,0,5
"358",5,5,5,5,0,5
"359",5,5,5,5,0,5
"360",5,5,5,5,0,5
"361",5,5,5,5,0,5
"362",5,5,5,5,0,5
"363",5,5,5,5,0,5
"364",5,5,5,5,0,5
"365",5,5,5,5,0,5
"366",5,5,5,5,0,5
"367",5,5,5,5,0,5
"368",5,5,5,5,0,5
"369",5,5,5,5,0,5
"370",5,5,5,5,0,5
"371",5,5,5,5,0,5
"372",5,5,5,5,0,5
"373",5,5,5,5,0,5
"374",5,5,5,5,0,5
"375",5,5,5,5,0,5
"376",5,5,5,5,0,5
"377",5,5,5,5,0,5
"378",5,5,5,5,0,5
"379",5,5,5,5,0,5
"380",5,5,5,5,0,5
"381",5,5,5,5,0,5
"382",5,5,5,5,0,5
"383",5,5,5,5,0,5
"384",5,5,5,5,0,5
"385",5,5,5,5,0,5
"386",5,5,5,5,0,5
"387",5,5,5,5,0,5
"388",5,5,5,5,0,5
"389",5,5,5,5,0,5
"390",5,5,5,5,0,5
"391",5,5,5,5,0,5
"392",5,5,5,5,0,5
"393",5,5,5,5,0,5
"394",5,5,5,5,0,5
"395",5,5,5,5,0,5
"396",5,5,5,5,0,5
"397",5,5,5,5,0,5
"398",5,5,5,5,0,5
"399",0.12,0.12,0.12,0.12,0,0.12
"400",0.12,0.12,0.12,0.12,0,0.12
"401",0.12,0.12,0.12,0.12,0,0.12
"402",0.12,0.12,0.12,0.12,0,0.12
"403",0.12,0.12,0.12,0.12,0,0.12
"404",0.12,0.12,0.12,0.12,0,0.12
"405",0.12,0.12,0.12,0.12,0,0.12
"406",0.12,0.12,0.12,0.12,0,0.12
"407",0.12,0.12,0.12,0.12,0,0.12
"408",0.11,0.11,0.11,0.11,3000,0.11
"409",0.11,0.11,0.09,0.09,5000,0.09
"410",0.09,0.09,0.09,0.09,0,0.09
"411",0.09,0.09,0.09,0.09,0,0.09
"412",0.09,0.09,0.09,0.09,0,0.09
"413",0.09,0.09,0.09,0.09,0,0.09
"414",0.09,0.09,0.09,0.09,0,0.09
"415",0.09,0.09,0.09,0.09,2600,0.09
"416",0.09,0.09,0.08,0.08,21000,0.08
"417",0.08,0.08,0.08,0.08,0,0.08
"418",0.08,0.08,0.08,0.08,0,0.08
"419",0.08,0.08,0.08,0.08,0,0.08
"420",0.08,0.08,0.08,0.08,0,0.08
"421",0.065,0.065,0.065,0.065,3700,0.065
"422",0.065,0.065,0.065,0.065,1000,0.065
"423",0.065,0.065,0.065,0.065,0,0.065
"424",0.065,0.065,0.065,0.065,0,0.065
"425",0.065,0.065,0.065,0.065,0,0.065
"426",0.065,0.065,0.065,0.065,0,0.065
"427",0.065,0.065,0.065,0.065,0,0.065
"428",0.065,0.065,0.065,0.065,0,0.065
"429",0.065,0.065,0.065,0.065,0,0.065
"430",0.065,0.065,0.065,0.065,0,0.065
"431",0.065,0.065,0.065,0.065,0,0.065
"432",0.065,0.065,0.065,0.065,0,0.065
"433",0.065,0.065,0.065,0.065,0,0.065
"434",0.065,0.065,0.065,0.065,0,0.065
"435",0.075,0.075,0.065,0.065,66600,0.065
"436",0.075,0.075,0.075,0.075,10000,0.075
"437",0.075,0.075,0.075,0.075,0,0.075
"438",0.08,0.08,0.08,0.08,6000,0.08
"439",0.08,0.08,0.08,0.08,0,0.08
"440",0.08,0.08,0.08,0.08,0,0.08
"441",0.08,0.08,0.08,0.08,0,0.08
"442",0.08,0.08,0.08,0.08,0,0.08
"443",0.08,0.08,0.08,0.08,0,0.08
"444",0.08,0.08,0.08,0.08,0,0.08
"445",0.08,0.08,0.08,0.08,0,0.08
"446",0.08,0.08,0.08,0.08,0,0.08
"447",0.08,0.08,0.08,0.08,0,0.08
"448",0.065,0.065,0.065,0.065,2200,0.065
"449",0.07,0.07,0.07,0.07,17000,0.07
"450",0.07,0.07,0.07,0.07,0,0.07
"451",0.07,0.07,0.07,0.07,0,0.07
"452",0.07,0.07,0.07,0.07,0,0.07
"453",0.07,0.07,0.07,0.07,0,0.07
"454",0.07,0.085,0.07,0.085,60000,0.085
"455",0.085,0.085,0.085,0.085,0,0.085
"456",0.085,0.085,0.085,0.085,0,0.085
"457",0.085,0.085,0.085,0.085,0,0.085
"458",0.085,0.085,0.085,0.085,0,0.085
"459",0.085,0.085,0.085,0.085,0,0.085
"460",0.085,0.085,0.085,0.085,0,0.085
"461",0.09,0.09,0.09,0.09,4000,0.09
"462",0.09,0.09,0.09,0.09,3300,0.09
"463",0.09,0.09,0.09,0.09,0,0.09
"464",0.09,0.09,0.09,0.09,0,0.09
"465",0.09,0.1,0.09,0.1,30000,0.1
"466",0.1,0.1,0.1,0.1,0,0.1
"467",0.1,0.1,0.1,0.1,0,0.1
"468",0.1,0.1,0.1,0.1,0,0.1
"469",0.09,0.09,0.08,0.08,3500,0.08
"470",0.08,0.08,0.06,0.08,132500,0.08
"471",0.08,0.08,0.08,0.08,0,0.08
"472",0.08,0.08,0.08,0.08,0,0.08
"473",0.1,0.1,0.1,0.1,3000,0.1
"474",0.105,0.11,0.08,0.11,6000,0.11
"475",0.075,0.075,0.075,0.075,2000,0.075
"476",0.075,0.075,0.075,0.075,0,0.075
"477",0.11,0.11,0.11,0.11,3000,0.11
"478",0.11,0.11,0.11,0.11,0,0.11
"479",0.11,0.11,0.11,0.11,0,0.11
"480",0.11,0.11,0.11,0.11,0,0.11
"481",0.11,0.11,0.11,0.11,0,0.11
"482",0.11,0.11,0.11,0.11,0,0.11
"483",0.11,0.11,0.11,0.11,0,0.11
"484",0.105,0.11,0.1,0.11,48500,0.11
"485",0.11,0.11,0.11,0.11,0,0.11
"486",0.11,0.11,0.11,0.11,0,0.11
"487",0.11,0.11,0.11,0.11,0,0.11
"488",0.11,0.11,0.11,0.11,0,0.11
"489",0.11,0.11,0.11,0.11,0,0.11
"490",0.11,0.11,0.11,0.11,0,0.11
"491",0.11,0.11,0.11,0.11,0,0.11
"492",0.11,0.11,0.11,0.11,0,0.11
"493",0.11,0.11,0.11,0.11,0,0.11
"494",0.11,0.11,0.11,0.11,0,0.11
"495",0.1,0.1,0.1,0.1,7000,0.1
"496",0.1,0.1,0.1,0.1,0,0.1
"497",0.1,0.1,0.1,0.1,0,0.1
"498",0.1,0.1,0.1,0.1,0,0.1
"499",0.1,0.1,0.1,0.1,0,0.1
"500",0.1,0.1,0.1,0.1,0,0.1
"501",0.1,0.1,0.1,0.1,0,0.1
"502",0.1,0.1,0.1,0.1,0,0.1
"503",0.09,0.09,0.09,0.09,5000,0.09
"504",0.105,0.11,0.105,0.11,26000,0.11
"505",0.11,0.11,0.11,0.11,0,0.11
"506",0.11,0.11,0.11,0.11,0,0.11
"507",0.11,0.11,0.11,0.11,0,0.11
"508",0.11,0.11,0.11,0.11,0,0.11
"509",0.11,0.11,0.11,0.11,0,0.11
"510",0.11,0.11,0.11,0.11,0,0.11
"511",0.11,0.11,0.11,0.11,0,0.11
"512",0.09,0.09,0.09,0.09,2000,0.09
"513",0.09,0.09,0.09,0.09,0,0.09
"514",0.1,0.1,0.1,0.1,10000,0.1
"515",0.1,0.1,0.1,0.1,0,0.1
"516",0.1,0.1,0.1,0.1,0,0.1
"517",0.1,0.1,0.1,0.1,0,0.1
"518",0.1,0.1,0.1,0.1,0,0.1
"519",0.1,0.1,0.1,0.1,0,0.1
"520",0.11,0.11,0.11,0.11,88600,0.11
"521",0.11,0.11,0.11,0.11,0,0.11
"522",0.11,0.11,0.11,0.11,0,0.11
"523",0.1,0.1,0.1,0.1,50000,0.1
"524",0.1,0.1,0.1,0.1,0,0.1
"525",0.1,0.1,0.1,0.1,0,0.1
"526",0.1,0.1,0.1,0.1,10000,0.1
"527",0.1,0.1,0.1,0.1,2000,0.1
"528",0.1,0.1,0.1,0.1,10000,0.1
"529",0.1,0.1,0.1,0.1,41000,0.1
"530",0.09,0.09,0.09,0.09,1500,0.09
"531",0.09,0.09,0.09,0.09,0,0.09
"532",0.09,0.09,0.09,0.09,0,0.09
"533",0.09,0.09,0.09,0.09,0,0.09
"534",0.09,0.09,0.09,0.09,2000,0.09
"535",0.09,0.09,0.09,0.09,0,0.09
"536",0.09,0.09,0.09,0.09,0,0.09
"537",0.09,0.09,0.09,0.09,0,0.09
"538",0.09,0.09,0.09,0.09,0,0.09
"539",0.09,0.09,0.09,0.09,0,0.09
"540",0.09,0.09,0.09,0.09,0,0.09
"541",0.1,0.1,0.1,0.1,2000,0.1
"542",0.1,0.1,0.1,0.1,0,0.1
"543",0.1,0.1,0.1,0.1,0,0.1
"544",0.1,0.1,0.1,0.1,0,0.1
"545",0.1,0.1,0.1,0.1,0,0.1
"546",0.1,0.1,0.1,0.1,0,0.1
"547",0.1,0.1,0.1,0.1,0,0.1
"548",0.1,0.1,0.1,0.1,0,0.1
"549",0.1,0.1,0.1,0.1,0,0.1
"550",0.1,0.1,0.1,0.1,0,0.1
"551",0.1,0.1,0.1,0.1,0,0.1
"552",0.1,0.1,0.1,0.1,0,0.1
"553",0.1,0.1,0.1,0.1,0,0.1
"554",0.1,0.1,0.1,0.1,0,0.1
"555",0.1,0.1,0.1,0.1,0,0.1
"556",0.1,0.1,0.1,0.1,0,0.1
"557",0.1,0.1,0.1,0.1,0,0.1
"558",0.1,0.1,0.1,0.1,0,0.1
"559",0.1,0.1,0.1,0.1,0,0.1
"560",0.1,0.1,0.1,0.1,0,0.1
"561",0.1,0.1,0.1,0.1,0,0.1
"562",0.1,0.1,0.1,0.1,0,0.1
"563",0.1,0.1,0.1,0.1,0,0.1
"564",0.1,0.1,0.1,0.1,0,0.1
"565",0.1,0.1,0.1,0.1,0,0.1
"566",0.1,0.1,0.1,0.1,0,0.1
"567",0.1,0.1,0.1,0.1,0,0.1
"568",0.1,0.1,0.1,0.1,0,0.1
"569",0.1,0.105,0.1,0.105,81500,0.105
"570",0.105,0.105,0.105,0.105,0,0.105
"571",0.105,0.105,0.105,0.105,0,0.105
"572",0.105,0.105,0.105,0.105,0,0.105
"573",0.085,0.085,0.085,0.085,6000,0.085
"574",0.1,0.1,0.1,0.1,48000,0.1
"575",0.1,0.1,0.1,0.1,0,0.1
"576",0.1,0.1,0.1,0.1,500,0.1
"577",0.1,0.1,0.1,0.1,51500,0.1
"578",0.09,0.09,0.09,0.09,34300,0.09
"579",0.09,0.09,0.09,0.09,0,0.09
"580",0.09,0.09,0.09,0.09,70000,0.09
"581",0.09,0.09,0.09,0.09,0,0.09
"582",0.09,0.09,0.09,0.09,0,0.09
"583",0.09,0.09,0.09,0.09,0,0.09
"584",0.09,0.09,0.09,0.09,0,0.09
"585",0.09,0.09,0.09,0.09,0,0.09
"586",0.09,0.09,0.09,0.09,0,0.09
"587",0.09,0.09,0.09,0.09,0,0.09
"588",0.09,0.09,0.09,0.09,0,0.09
"589",0.09,0.09,0.09,0.09,0,0.09
"590",0.09,0.09,0.09,0.09,0,0.09
"591",0.08,0.08,0.08,0.08,1e+05,0.08
"592",0.08,0.08,0.08,0.08,0,0.08
"593",0.08,0.08,0.08,0.08,0,0.08
"594",0.08,0.08,0.08,0.08,0,0.08
"595",0.08,0.08,0.08,0.08,0,0.08
"596",0.075,0.095,0.075,0.095,105000,0.095
"597",0.095,0.095,0.095,0.095,0,0.095
"598",0.095,0.095,0.095,0.095,0,0.095
"599",0.095,0.095,0.095,0.095,0,0.095
"600",0.095,0.095,0.095,0.095,0,0.095
"601",0.095,0.095,0.095,0.095,0,0.095
"602",0.095,0.095,0.095,0.095,0,0.095
"603",0.095,0.095,0.095,0.095,0,0.095
"604",0.095,0.095,0.095,0.095,0,0.095
"605",0.085,0.085,0.085,0.085,18000,0.085
"606",0.085,0.085,0.085,0.085,0,0.085
"607",0.09,0.09,0.09,0.09,8000,0.09
"608",0.09,0.09,0.09,0.09,0,0.09
"609",0.09,0.09,0.09,0.09,33300,0.09
"610",0.1,0.1,0.1,0.1,1000,0.1
"611",0.1,0.1,0.1,0.1,0,0.1
"612",0.1,0.1,0.1,0.1,72500,0.1
"613",0.1,0.1,0.1,0.1,0,0.1
"614",0.09,0.09,0.09,0.09,2000,0.09
"615",0.09,0.09,0.09,0.09,0,0.09
"616",0.12,0.125,0.12,0.125,7000,0.125
"617",0.13,0.13,0.13,0.13,5000,0.13
"618",0.13,0.13,0.13,0.13,20600,0.13
"619",0.135,0.135,0.135,0.135,5000,0.135
"620",0.135,0.135,0.135,0.135,7000,0.135
"621",0.135,0.14,0.135,0.14,15500,0.14
"622",0.14,0.14,0.14,0.14,0,0.14
"623",0.14,0.14,0.14,0.14,0,0.14
"624",0.14,0.14,0.14,0.14,0,0.14
"625",0.13,0.13,0.13,0.13,10000,0.13
"626",0.13,0.13,0.13,0.13,0,0.13
"627",0.13,0.13,0.13,0.13,0,0.13
"628",0.13,0.13,0.13,0.13,0,0.13
"629",0.13,0.13,0.13,0.13,0,0.13
"630",0.13,0.13,0.13,0.13,0,0.13
"631",0.13,0.13,0.13,0.13,0,0.13
"632",0.13,0.13,0.13,0.13,0,0.13
"633",0.13,0.13,0.13,0.13,0,0.13
"634",0.13,0.13,0.13,0.13,0,0.13
"635",0.13,0.13,0.13,0.13,0,0.13
"636",0.13,0.13,0.13,0.13,0,0.13
"637",0.13,0.13,0.13,0.13,0,0.13
"638",0.105,0.105,0.105,0.105,40000,0.105
"639",0.11,0.11,0.11,0.11,10000,0.11
"640",0.11,0.11,0.11,0.11,0,0.11
"641",0.105,0.105,0.105,0.105,32000,0.105
"642",0.105,0.105,0.105,0.105,0,0.105
"643",0.105,0.105,0.105,0.105,0,0.105
"644",0.11,0.11,0.11,0.11,43000,0.11
"645",0.11,0.11,0.11,0.11,0,0.11
"646",0.12,0.12,0.11,0.11,55000,0.11
"647",0.11,0.11,0.11,0.11,0,0.11
"648",0.12,0.12,0.12,0.12,5000,0.12
"649",0.12,0.12,0.12,0.12,0,0.12
"650",0.12,0.12,0.12,0.12,0,0.12
"651",0.115,0.115,0.1,0.1,50000,0.1
"652",0.1,0.1,0.1,0.1,0,0.1
"653",0.1,0.1,0.1,0.1,0,0.1
"654",0.1,0.1,0.1,0.1,2200,0.1
"655",0.1,0.1,0.1,0.1,0,0.1
"656",0.11,0.11,0.11,0.11,10000,0.11
"657",0.12,0.12,0.12,0.12,10000,0.12
"658",0.12,0.12,0.12,0.12,0,0.12
"659",0.11,0.11,0.11,0.11,50000,0.11
"660",0.11,0.11,0.11,0.11,0,0.11
"661",0.11,0.11,0.11,0.11,0,0.11
"662",0.11,0.11,0.11,0.11,0,0.11
"663",0.11,0.11,0.11,0.11,0,0.11
"664",0.11,0.11,0.11,0.11,0,0.11
"665",0.11,0.11,0.11,0.11,0,0.11
"666",0.11,0.11,0.11,0.11,0,0.11
