"","LH.Open","LH.High","LH.Low","LH.Close","LH.Volume","LH.Adjusted"
"1",76.449997,77.580002,76.449997,77.470001,815200,77.470001
"2",77.239998,78.360001,76.940002,78.239998,1160200,78.239998
"3",78.32,79.309998,78.32,78.809998,999100,78.809998
"4",79.239998,79.790001,78.889999,79.599998,1071400,79.599998
"5",79.010002,80.529999,79.010002,80.389999,1040400,80.389999
"6",80.5,80.589996,79.980003,80.400002,711800,80.400002
"7",80.519997,80.519997,79.839996,80.25,1373900,80.25
"8",80.5,80.940002,80,80.220001,1014200,80.220001
"9",80.43,80.849998,78.860001,78.949997,740500,78.949997
"10",78.720001,79.32,78.050003,78.410004,944700,78.410004
"11",78.029999,78.510002,76.970001,77.050003,722100,77.050003
"12",76.279999,77.870003,76.279999,77.190002,1181500,77.190002
"13",77.550003,78.349998,77.25,78,614600,78
"14",77.07,77.400002,76.169998,76.519997,1628800,76.519997
"15",76.040001,76.760002,75.279999,75.349998,1156300,75.349998
"16",75.309998,75.620003,73.599998,75.419998,1309200,75.419998
"17",75.779999,75.779999,74.129997,74.5,1213700,74.5
"18",75.419998,75.419998,73.669998,74.199997,1101800,74.199997
"19",74.449997,75.029999,73.82,74.989998,821800,74.989998
"20",75.400002,75.839996,75.239998,75.620003,712800,75.620003
"21",75.389999,75.480003,74.010002,74.330002,1057400,74.330002
"22",74.099998,74.940002,74.010002,74.870003,734500,74.870003
"23",75.410004,75.940002,74.889999,75.839996,818600,75.839996
"24",75.440002,76.559998,75.300003,76.290001,680400,76.290001
"25",76.279999,76.889999,75.910004,76.580002,545400,76.580002
"26",76.059998,76.580002,74.989998,75.029999,755800,75.029999
"27",75.410004,75.589996,74.830002,75.269997,587700,75.269997
"28",74.690002,77.029999,74.5,76.800003,1178800,76.800003
"29",75.459999,76.739998,74.309998,75.949997,3417900,75.949997
"30",78.209999,78.650002,71.580002,72.239998,4158400,72.239998
"31",72.580002,74.410004,72.199997,72.959999,1502600,72.959999
"32",73.370003,74.480003,73.080002,74.400002,1052800,74.400002
"33",74.690002,75.089996,72.769997,74.510002,2319900,74.510002
"34",74.559998,74.879997,73.459999,73.629997,672300,73.629997
"35",74.339996,74.660004,72.580002,73.239998,1134700,73.239998
"36",72.809998,73.18,72.449997,72.980003,1504600,72.980003
"37",73.940002,74.879997,73.540001,74.870003,824200,74.870003
"38",74.900002,75.470001,74.010002,75.040001,878800,75.040001
"39",75.300003,75.800003,75.050003,75.650002,694300,75.650002
"40",75.199997,75.809998,74.940002,75.739998,694500,75.739998
"41",75.290001,75.68,74.68,75.5,935300,75.5
"42",75.699997,75.980003,75.160004,75.410004,788800,75.410004
"43",74.949997,77.389999,74.739998,76.540001,1018900,76.540001
"44",75.690002,75.839996,74.800003,74.940002,866500,74.940002
"45",74.080002,75.730003,73.800003,75.419998,636400,75.419998
"46",75.129997,75.529999,74.839996,75.010002,510100,75.010002
"47",74.559998,75.120003,73.760002,74.860001,408100,74.860001
"48",75.489998,76.519997,75.07,76.07,732000,76.07
"49",76.290001,76.32,75.550003,76,368600,76
"50",75.580002,75.769997,74.260002,74.949997,651400,74.949997
"51",74.540001,76,74.540001,75.760002,1365200,75.760002
"52",76.129997,76.760002,75.57,75.610001,619000,75.610001
"53",74.800003,75.760002,74.790001,75.529999,1370600,75.529999
"54",75.43,76.739998,75.330002,76.120003,1378100,76.120003
"55",76.18,76.290001,75.080002,75.080002,1449200,75.080002
"56",75.419998,75.449997,74.330002,75.220001,1669900,75.220001
"57",75.260002,75.300003,73.919998,73.970001,1109000,73.970001
"58",73.669998,74.080002,72.330002,72.620003,1921700,72.620003
"59",73.769997,74.150002,73.160004,74,1236200,74
"60",74.139999,74.730003,73.980003,74.559998,1002600,74.559998
"61",75,75.239998,74.690002,75.050003,1142800,75.050003
"62",74.940002,75.410004,74.379997,74.599998,1249900,74.599998
"63",74.779999,74.779999,73.860001,74.309998,1677900,74.309998
"64",74.900002,75.919998,74.839996,75.790001,953900,75.790001
"65",75.800003,76.93,75.449997,76.650002,966100,76.650002
"66",75.550003,75.989998,72.940002,73.050003,2951200,73.050003
"67",73.190002,75.019997,73.059998,74.82,1965000,74.82
"68",74.519997,75.529999,74.519997,75.449997,1473700,75.449997
"69",75.260002,75.43,74.470001,74.519997,1008800,74.519997
"70",74.849998,75.290001,74.239998,74.959999,1293300,74.959999
"71",75.010002,76.620003,74.830002,76.510002,902200,76.510002
"72",76.480003,76.93,76,76.379997,774700,76.379997
"73",76.290001,76.68,75.989998,76.25,1726900,76.25
"74",75.760002,76.790001,75.75,75.900002,726200,75.900002
"75",76.589996,76.959999,75.980003,76.830002,628700,76.830002
"76",76.980003,76.980003,75.860001,76.300003,520600,76.300003
"77",76.290001,78.25,76.089996,78.129997,1204500,78.129997
"78",77.970001,78.940002,77.809998,78.150002,971000,78.150002
"79",78.529999,78.900002,77.919998,78.43,709800,78.43
"80",78.529999,79.470001,77.650002,78.029999,699700,78.029999
"81",78.080002,78.489998,77.580002,77.919998,694600,77.919998
"82",78.300003,79.389999,78.300003,79.349998,668100,79.349998
"83",79.400002,79.559998,78.989998,79.139999,773000,79.139999
"84",79.239998,79.480003,78.470001,78.599998,547800,78.599998
"85",78.800003,79.480003,78.470001,79.389999,685500,79.389999
"86",79.300003,79.989998,79.120003,79.889999,366100,79.889999
"87",79.599998,79.790001,79.169998,79.529999,878400,79.529999
"88",79.669998,80.739998,79.599998,80.400002,925200,80.400002
"89",80.419998,80.559998,78.32,78.980003,1392300,78.980003
