"","BIIB.Open","BIIB.High","BIIB.Low","BIIB.Close","BIIB.Volume","BIIB.Adjusted"
"1",47.720001,48.259998,47.290001,48.139999,2922000,48.139999
"2",47.389999,47.619999,45.959999,46.220001,5927500,46.220001
"3",46.43,47.48,46.380001,46.790001,3087000,46.790001
"4",47.119999,48.18,46.93,48.119999,3091400,48.119999
"5",47.919998,48.470001,47.77,48.349998,1993200,48.349998
"6",48.220001,49.09,48.220001,49.009998,2752600,49.009998
"7",49.119999,50.150002,49.099998,49.860001,5777600,49.860001
"8",50.02,50.279999,49.389999,49.490002,2623600,49.490002
"9",49.73,50.549999,49.459999,49.540001,2456700,49.540001
"10",49.439999,49.880001,49.220001,49.689999,1805400,49.689999
"11",49.459999,49.880001,49.07,49.380001,1879900,49.380001
"12",49.5,50.279999,49.18,49.57,8681200,49.57
"13",49.580002,49.939999,48.810001,49.57,1759200,49.57
"14",49.040001,49.09,48.09,48.700001,2757200,48.700001
"15",48.509998,49.049999,47.43,47.450001,3765500,47.450001
"16",47.700001,47.759998,46.150002,46.73,4042500,46.73
"17",47.5,50.91,47.5,49.419998,9247400,49.419998
"18",49.68,49.68,48.09,48.380001,4234800,48.380001
"19",48.349998,49.91,48.18,49.84,2683700,49.84
"20",49.959999,51,49.849998,50.849998,2883400,50.849998
"21",51.09,51.77,50.75,51.709999,2697400,51.709999
"22",51.09,52,51.049999,51.66,1949100,51.66
"23",51.869999,52.959999,51.860001,52.68,2178100,52.68
"24",52.400002,53,52.290001,52.970001,1766100,52.970001
"25",52.990002,53.580002,52.619999,53.43,2423500,53.43
"26",53.290001,53.779999,51.84,51.860001,3174900,51.860001
"27",52.060001,53.32,51.77,53.18,2853100,53.18
"28",52.650002,54.130001,51.740002,54.02,4645500,54.02
"29",54.150002,56.400002,53.59,54.970001,6481500,54.970001
"30",55.18,56.490002,55.110001,56.169998,3925200,56.169998
"31",55.880001,56.48,52.400002,53.470001,7235500,53.470001
"32",53.91,58.16,53.91,57.889999,7694200,57.889999
"33",57.610001,58.060001,56.630001,57.75,5557900,57.75
