"","PCLN.Open","PCLN.High","PCLN.Low","PCLN.Close","PCLN.Volume","PCLN.Adjusted"
"564",606.469971,610.22998,598.01001,604.570007,919200,604.570007
"565",604.25,606.48999,595,596.890015,736200,596.890015
"566",597.5,601.719971,594.450012,595.179993,480800,595.179993
"567",599.570007,609.23999,597.26001,604,1055600,604
"568",612.5,622.890015,612.109985,621.549988,1627000,621.549988
"569",620.969971,624.5,607.460022,608.320007,907700,608.320007
"570",608.599976,621.25,606.109985,617.76001,899000,617.76001
"571",620,628.48999,615.950012,619.950012,641300,619.950012
"572",619.950012,629.780029,617.679993,626.929993,758100,626.929993
"573",628.150024,645.059998,627.840027,637.47998,1503000,637.47998
"574",636.849976,646.080017,634.609985,643.349976,1156900,643.349976
"575",640.349976,649.299988,638.049988,640.72998,724500,640.72998
"576",641.01001,644.169983,636.549988,639.030029,529400,639.030029
"577",635.690002,635.890015,629.580017,633.77002,557300,633.77002
"578",640.169983,643,634.609985,636.150024,1096700,636.150024
"579",631.809998,633.659973,628.150024,631.179993,465500,631.179993
"580",631.76001,649,631.5,631.75,947700,631.75
"581",631.119995,636.380005,617.320007,622.090027,953300,622.090027
"582",625.700012,633.909973,622.419983,630.52002,686300,630.52002
"583",628,629.299988,617.590027,619.070007,914300,619.070007
"584",620.73999,626.109985,618.659973,624.859985,792300,624.859985
"585",627.900024,628.669983,611.440002,616.280029,898100,616.280029
"586",618.549988,625.299988,614.179993,622.820007,607400,622.820007
"587",624.960022,637.580017,623.119995,635.039978,746000,635.039978
"588",638.469971,643.880005,628.190002,631.890015,939100,631.890015
"589",627.549988,632.929993,622.150024,630.960022,486800,630.960022
"590",629.76001,634.059998,617.159973,617.890015,688000,617.890015
"591",619.309998,619.309998,599.710022,602.409973,1320800,602.409973
"592",610.109985,610.690002,590.659973,598.140015,1249300,598.140015
"593",589.75,596.049988,588.900024,593.150024,801300,593.150024
"594",594,601.799988,585.25,601.02002,624900,601.02002
"595",605.039978,608.880005,595.76001,597.77002,722200,597.77002
"596",597.679993,606.650024,593.619995,598.23999,701100,598.23999
"597",598.22998,599.099976,570.679993,582.380005,1455600,582.380005
"598",578.599976,578.609985,555.469971,560.5,2024200,560.5
"599",559.099976,574.549988,557.940002,567.200012,851000,567.200012
"600",555,575,553.969971,569.039978,780000,569.039978
"601",573.299988,574.469971,560.400024,563.669983,670200,563.669983
"602",568.619995,570.710022,556.450012,557.869995,1015600,557.869995
"603",582,589.440002,572.599976,579.460022,1953800,579.460022
