"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"1",58.66,59.82,58.66,59.619999,1909600,26.926864
"2",58.939999,60.799999,58.900002,60.709999,2019800,27.419153
"3",61.459999,62.080002,60.23,60.389999,1702800,27.274628
"4",60.900002,62.009998,60.610001,61.959999,2434800,27.983705
"5",61.689999,62.689999,61.200001,62.060001,1505200,28.02887
"6",62.549999,62.549999,60.709999,61.450001,1808000,27.753369
"7",62.209999,63.240002,61.75,62.669998,2148600,28.30437
"8",63.5,63.880001,61.919998,62.360001,2197000,28.164362
"9",62.360001,62.91,60.84,60.91,1404200,27.509482
"10",60.799999,60.82,59.220001,59.990002,3725200,27.093973
"11",59.720001,59.790001,57.970001,58.080002,2101000,26.231337
"12",58.169998,58.650002,57.43,57.98,2896000,26.186172
"13",58.07,58.27,56.959999,57.060001,2554400,25.770663
"14",56,56.23,54.68,54.970001,4184800,24.826732
"15",54.700001,55.59,53.25,53.360001,3518200,24.099589
"16",53.799999,53.799999,51.77,53.049999,2816200,23.95958
"17",53.169998,53.400002,51.5,52.060001,2337200,23.512456
"18",53.18,53.400002,51.099998,51.630001,2203400,23.31825
"19",51.93,54.279999,51.91,54.169998,2099000,24.465418
"20",54.75,56.349998,54.360001,56.240002,3643200,25.400317
"21",56.18,56.959999,55.970001,56.32,1613600,25.436447
"22",56.119999,56.389999,55.209999,55.459999,1509200,25.048036
"23",56.119999,57.41,56.040001,57,2078600,25.743564
"24",56.689999,56.790001,55.73,56.34,1964000,25.44548
"25",56.220001,56.330002,55.040001,56.029999,1611600,25.305471
"26",55.669998,55.709999,54.130001,54.209999,1765400,24.483484
"27",54.279999,54.509998,53.040001,53.5,2602200,24.162819
"28",52.740002,54.040001,52.439999,53.990002,4124400,24.384124
"29",54.52,56.029999,54.52,55.68,5309200,25.147397
"30",56.57,57.990002,56.330002,57.540001,3006800,25.987451
"31",57.43,59.099998,57.240002,58.970001,2904200,26.633298
"32",59.080002,59.959999,58.470001,59.860001,3301000,27.035259
"33",60.610001,60.639999,58.990002,59.599998,2585200,26.917831
"34",59.560001,60.040001,59.189999,59.619999,1801400,26.926864
"35",59.91,60.790001,58.669998,59.759998,2696800,26.990094
"36",61.59,63.150002,61,62.639999,5773000,28.290821
"37",63.669998,63.889999,62.32,63.799999,3926600,28.814725
"38",63.279999,63.779999,62.68,63.560001,2747400,28.706332
"39",63.52,64.110001,62.950001,63.950001,2454600,28.882472
"40",63.259998,63.830002,62.700001,63.68,2568600,28.760529
"41",62.970001,64.019997,62.560001,63.68,1847800,28.760529
"42",64.059998,64.330002,63.540001,64.07,1044400,28.936669
"43",63.25,63.52,62.200001,63.18,2044600,28.534708
"44",62,62,60.639999,60.919998,1953200,27.513998
"45",60,61.169998,59.779999,60.650002,1761600,27.392056
"46",60.27,60.759998,60.080002,60.130001,1174400,27.157202
"47",59.75,60.849998,59.27,60.580002,1429800,27.360441
"48",61.349998,62.900002,61.32,62.360001,1937000,28.164362
"49",62.439999,62.529999,61.599998,62.240002,1188800,28.110166
"50",61.799999,61.98,59.98,60.630001,1260000,27.383023
"51",60.029999,61.040001,59.689999,60.939999,1961800,27.523031
"52",61.200001,61.77,60.27,60.349998,1157600,27.256562
"53",59.509998,59.869999,58.509998,58.959999,2048400,26.628781
"54",58.560001,59.23,57.48,59.07,1607000,26.678462
"55",59.439999,60.68,59.32,59.669998,1562400,26.949446
"56",60.220001,61.32,59.119999,61.119999,1458400,27.604326
"57",60.91,61.41,60.060001,60.169998,2037800,27.175266
"58",59.93,62.040001,59.779999,61.549999,2810400,27.798532
"59",62.52,64.379997,62.470001,64.25,2217800,29.017964
"60",64.510002,64.660004,63.919998,64.150002,1998800,28.972801
"61",64.610001,66.279999,64.610001,65.919998,2297200,29.772205
"62",65.790001,65.790001,64.449997,64.610001,1467600,29.180556
"63",64.660004,65.580002,64.660004,65.059998,1470600,29.383793
"64",65.910004,65.949997,64.769997,65.519997,2427000,29.793037
"65",65.610001,65.879997,65,65.150002,1406200,29.624794
"66",65.940002,67.660004,65.940002,67.5,2081400,30.693378
"67",67.089996,67.300003,66.25,67.07,2168600,30.49785
"68",66.760002,67.18,66.139999,66.93,1566400,30.43419
"69",69.290001,70.769997,68.400002,69.400002,3255400,31.557341
"70",69.82,70.290001,69.050003,70.07,2697200,31.862
"71",70.370003,71.629997,70.139999,71.349998,2341600,32.444037
"72",71.639999,71.889999,70.839996,71.160004,1509400,32.357643
"73",70.989998,71.82,70.769997,71.339996,1446600,32.439489
"74",70.849998,71.709999,69.949997,71.059998,1730400,32.312168
"75",72.5,72.739998,71.739998,72.739998,1532600,33.076093
"76",72.959999,73,71.760002,72.459999,1460600,32.948773
"77",72.599998,73.650002,71.699997,73.470001,1518800,33.408037
"78",73.129997,74.349998,72.860001,73.529999,2996400,33.435319
"79",74.029999,74.849998,73.190002,74,2505600,33.649037
"80",74.760002,74.900002,73.949997,74.57,1563200,33.908225
"81",74.480003,74.779999,73.629997,74.080002,1820000,33.685415
"82",74.860001,76.300003,74.57,76.169998,2113800,34.635771
"83",76.129997,76.389999,75.769997,76.019997,1447800,34.567563
"84",76.300003,77,75.699997,76.779999,2548800,34.913149
"85",76.870003,78.129997,76.75,77.910004,1763200,35.426981
"86",77.93,78.669998,77.68,78.360001,1678200,35.631602
"87",78.339996,78.339996,77.25,77.870003,2137400,35.408792
"88",78.699997,79.25,78.160004,78.669998,1428000,35.772563
"89",78.639999,78.849998,77.580002,78.07,1361200,35.499734
"90",78.650002,79.040001,77.519997,78.5,1345800,35.695262
"91",78.43,79.209999,78.160004,78.870003,1144400,35.863508
"92",77.690002,78.529999,76.629997,77.169998,1776600,35.090488
"93",77.269997,79.769997,77.169998,79.07,1776800,35.95445
"94",79.190002,80.220001,78.620003,79.370003,1236400,36.090867
"95",79.400002,79.690002,78.339996,78.599998,1320000,35.740733
"96",81.160004,83.419998,81,82.589996,4336200,37.555052
"97",82.089996,82.370003,81.25,81.5,2655600,37.059412
"98",80.610001,81.440002,79.790001,80.300003,2093800,36.513753
"99",81.019997,81.379997,78.870003,79.050003,2283600,35.945357
"100",78.379997,79.32,77.839996,78.57,2833600,35.727092
"101",79.32,80.269997,78.800003,79.169998,1676000,35.999921
"102",79.760002,80.75,79.389999,79.68,2035600,36.231828
"103",79.739998,79.940002,78.110001,79.559998,1150800,36.177261
"104",80.370003,80.75,79.190002,80.699997,2511600,36.695637
"105",80.82,80.900002,79.199997,79.720001,2530200,36.250017
"106",79.169998,80,78.769997,79.75,1248600,36.263658
"107",80.07,80.690002,78.199997,78.790001,1699200,35.82713
"108",78.809998,79.300003,77.68,78.400002,1385400,35.649791
"109",77.639999,79.860001,77.519997,79.300003,1646800,36.059037
"110",78.480003,78.660004,76.800003,77.389999,2182600,35.190526
"111",77.629997,78.019997,76.800003,77.440002,1910800,35.213263
"112",76.889999,76.940002,75.550003,76.400002,2081800,34.740358
"113",76.650002,77.660004,76.010002,77.07,1501000,35.045017
"114",78.18,79.07,78.050003,78.959999,2187000,35.904431
"115",78.139999,79.169998,77.660004,79.099998,2109600,35.968091
"116",78.940002,79.769997,77.970001,79.389999,1854600,36.09996
"117",78.18,78.309998,77.220001,77.760002,1691800,35.358773
