"","PM.Open","PM.High","PM.Low","PM.Close","PM.Volume","PM.Adjusted"
"1",44.59,45.580002,44.59,45.110001,9979300,36.331684
"2",44.84,44.939999,43.09,44.349998,15482400,35.719577
"3",44.610001,45.950001,44.610001,45.57,11379200,36.702168
"4",46.220001,46.220001,45.470001,45.560001,9119600,36.694115
"5",45.389999,45.779999,45.130001,45.549999,6227700,36.68606
"6",45.779999,45.959999,45.34,45.599998,7420800,36.726329
"7",45.669998,46.279999,45.599998,45.91,13155400,36.976005
"8",46.279999,46.639999,45.93,46.290001,10605200,37.282058
"9",45.810001,46.009998,44.950001,44.990002,8248600,36.69481
"10",45.959999,47.080002,45.900002,46.490002,15496300,37.918242
"11",46.279999,46.720001,46.040001,46.43,13230100,37.869304
"12",46.560001,47,45.900002,45.900002,17658200,37.437025
"13",46,46.68,45.900002,46.290001,9271200,37.755117
"14",45.900002,46.799999,45.540001,45.720001,11364000,37.290213
"15",46.150002,46.360001,45.75,45.84,10800400,37.388087
"16",45.77,46.68,45.549999,46.549999,12567400,37.967177
"17",46.630001,46.880001,46.23,46.450001,6941700,37.885616
"18",46.75,47.189999,46.34,46.77,9049400,38.146615
"19",46.59,47.560001,46.389999,47.540001,11016500,38.774644
"20",47.950001,48.68,47.669998,48.540001,8888200,39.590265
"21",48.799999,48.900002,48.220001,48.59,5783600,39.631046
"22",48.57,48.990002,48.259998,48.84,5136000,39.834951
"23",49.119999,49.450001,49,49.299999,5681200,40.210136
"24",49.18,49.73,48.959999,49.52,5539000,40.389574
"25",49.619999,50.299999,49.330002,50.099998,8227500,40.862633
"26",49.990002,50.889999,49.509998,49.669998,8352500,40.511915
"27",49.509998,50.099998,49.43,49.959999,5500900,40.748446
"28",49.66,50.75,49.630001,50.630001,6860200,41.294914
"29",50.779999,50.860001,49.200001,49.889999,8481500,40.691353
"30",50.380001,51.09,49.900002,50.84,8090500,41.466194
"31",50.82,50.970001,50.27,50.66,7968500,41.319382
"32",50.57,51.23,50.57,51.189999,5317700,41.75166
"33",51.259998,51.380001,50.950001,51.34,7215100,41.874005
"34",51.360001,51.450001,50.900002,51.040001,5187200,41.629319
"35",51.16,51.549999,50.779999,51.18,7213200,41.743505
