"","WMT.Open","WMT.High","WMT.Low","WMT.Close","WMT.Volume","WMT.Adjusted"
"1",51.209999,51.68,51.060001,51.220001,15850500,45.246636
"2",50.970001,51.27,50.549999,50.860001,14027400,44.928619
"3",51.110001,51.459999,50.889999,51.240002,13900100,45.264304
"4",51.200001,51.650002,51.060001,51.639999,14310800,45.617653
"5",51.5,51.580002,50.919998,50.98,15900700,45.034624
"6",51.049999,51.490002,50.959999,51.41,12667300,45.414477
"7",51.41,51.91,51.41,51.549999,25425800,45.538149
"8",51.709999,51.880001,50.709999,51.02,14655200,45.06996
"9",51.07,51.470001,50.599998,50.68,13658200,44.769611
"10",50.759998,51.040001,50.400002,50.810001,15945900,44.884451
"11",50.73,50.830002,49.950001,50.029999,14819200,44.195414
"12",49.950001,50.200001,48.799999,48.799999,45333200,43.108859
"13",49.060001,49.77,49.009998,49.57,14697200,43.78906
"14",49.169998,49.259998,48.43,48.900002,20350800,43.197199
"15",48.959999,48.970001,48.009998,48.07,18388800,42.463993
"16",48.099998,48.41,47.77,48.34,18114400,42.702506
"17",48.439999,48.439999,47.84,48,13581300,42.402157
"18",49.34,49.439999,48.259998,48.57,18225600,42.905682
"19",48.66,48.970001,48.16,48.919998,16176200,43.214863
"20",49.32,49.32,48.790001,49.18,12650000,43.444543
"21",49.25,49.549999,49.150002,49.43,11607200,43.665388
"22",49.779999,50.330002,49.68,50.119999,13440900,44.274918
"23",50.349998,50.689999,50.099998,50.540001,13219800,44.645938
"24",50.049999,50.360001,50.040001,50.349998,10708300,44.478094
"25",50.34,50.439999,49.91,50.41,12255600,44.531098
"26",50.150002,50.330002,49.52,49.669998,15922200,43.877397
"27",49.720001,49.810001,49.09,49.52,11896000,43.744892
"28",49.259998,51.029999,49.259998,50.880001,16283900,44.946287
"29",51,51,50.110001,50.349998,12311100,44.478094
"30",50.549999,51.09,50.509998,50.860001,11984200,44.928619
"31",50.91,51.810001,50.900002,51.669998,13046400,45.644153
"32",51.669998,51.669998,50.91,51.130001,14112100,45.167132
"33",50.799999,51.299999,50.66,50.959999,12295200,45.016956
"34",50.799999,51.389999,50.799999,51.130001,9328500,45.167132
"35",51.23,51.779999,50.799999,51.060001,9630500,45.105296
"36",50.610001,51.25,50.5,51.189999,13551400,45.220132
"37",51.549999,51.700001,50.950001,51.41,13861000,45.414477
"38",51.25,51.650002,51.029999,51.290001,10668600,45.308472
"39",51.040001,51.709999,51.009998,51.599998,8068900,45.582317
"40",51.639999,51.669998,51.220001,51.619999,7439000,45.599985
"41",51.419998,51.790001,51.110001,51.790001,8270300,45.750161
"42",51.830002,52.34,51.799999,52.060001,8265400,45.988674
"43",51.91,52.48,51.689999,52.220001,8845800,46.130014
"44",51.619999,51.619999,50.98,51.02,11306300,45.332999
"45",50.560001,50.779999,50.009998,50.43,12796900,44.808764
