"","JOY.Open","JOY.High","JOY.Low","JOY.Close","JOY.Volume","JOY.Adjusted"
"1",53.200001,54.830002,53.02,54.810001,2754700,51.593414
"2",53.700001,55.5,53.5,54.57,2663500,51.367497
"3",56.060001,57.34,55.099998,55.330002,3815500,52.082898
"4",56,57.529999,55.889999,57.32,2016300,53.95611
"5",55.900002,57.450001,55.790001,56.959999,2040300,53.617237
"6",57.099998,57.560001,54.709999,55.459999,3403000,52.205266
"7",55.599998,56.029999,54.919998,55.639999,2417700,52.374703
"8",57.34,58.560001,56,56.439999,2982600,53.127753
"9",56.880001,57.689999,55.27,55.360001,2149700,52.111136
"10",56.049999,56.259998,54.099998,55.630001,2028900,52.365291
"11",55.389999,55.389999,53.93,54.66,2785300,51.452216
"12",55.169998,56.18,53.75,55.939999,2672700,52.657096
"13",55.990002,55.990002,53.73,54.080002,2727300,50.906255
"14",52.119999,52.459999,49.849998,50.439999,5383600,47.47987
"15",50.459999,52.139999,49.849998,50.09,2542500,47.150412
"16",50.369999,50.68,48.049999,49.77,3055800,46.849191
"17",50.650002,52.439999,50.169998,50.84,3629800,47.856397
"18",52.18,52.880001,50.049999,50.59,2780700,47.621068
"19",50.380001,52.330002,50.299999,52.25,3104300,49.183649
"20",52.98,53,51.27,52.439999,2487100,49.362498
"21",52.5,54.16,52.02,53.93,1876600,50.765057
"22",53.709999,54,52.419998,53.27,2267500,50.14379
"23",54.419998,56.18,53.950001,55.84,3094000,52.562966
"24",55.490002,56.169998,54.66,55.470001,1700900,52.214681
"25",55.369999,55.459999,53.48,54.849998,2080500,51.631064
"26",54.619999,54.619999,53.240002,53.490002,1789400,50.35088
"27",54.189999,55.189999,53.18,54.849998,1979300,51.631064
"28",53.880001,56.98,53.610001,56.919998,2316600,53.579583
"29",57.650002,58.68,56.16,56.380001,2692900,53.071277
"30",57.34,58.5,57.209999,57.720001,2397300,54.332637
"31",58.040001,60.619999,58.02,60.5,2777200,56.949489
"32",60.459999,60.75,58.790001,59.450001,2310700,55.96111
"33",59.830002,60.07,57.189999,58.099998,2301200,54.690334
"34",57.639999,58.990002,57.32,58.709999,1550300,55.264536
"35",59.009998,59.650002,57.049999,58.049999,1091900,54.643269
"36",57.049999,59.580002,56.889999,59.369999,1640500,55.885803
"37",60.610001,61.349998,60.41,60.720001,1582800,57.156579
"38",60.41,60.779999,59.200001,60.290001,1180000,56.751814
"39",60.799999,60.950001,59.66,60.610001,1207000,57.053034
"40",60,61.259998,59.950001,60.700001,1191100,57.137752
"41",59.759998,61,59.299999,60.830002,1077600,57.260124
"42",61.139999,61.57,60.5,60.919998,1158600,57.344839
"43",59.889999,60.200001,58.549999,59.91,1183100,56.394113
"44",58.25,58.369999,56.5,56.849998,1351500,53.513692
"45",55.869999,57.52,55.369999,56.82,1087800,53.485453
"46",56.540001,57.310001,56,56.630001,891000,53.306605
"47",56.59,58.73,56.049999,58.41,1320600,54.982143
"48",59.299999,61.950001,59.099998,60.389999,1678100,56.845944
"49",60.09,61.07,59.459999,60.57,1095100,57.01538
"50",60.150002,60.849998,58.939999,59.689999,1400900,56.187023
