"","PLL.Open","PLL.High","PLL.Low","PLL.Close","PLL.Volume","PLL.Adjusted"
"1",35.84,36.630001,35.599998,36.119999,1745700,33.640337
"2",35.810001,37,35.810001,36.810001,1448300,34.28297
"3",36.779999,36.990002,36.290001,36.529999,1253700,34.02219
"4",37,37.68,36.830002,37.580002,1343000,35.00011
"5",37.220001,37.709999,37.150002,37.5,906600,34.9256
"6",37.709999,37.73,36.849998,37.459999,879800,34.888345
"7",37.41,37.68,37.169998,37.25,1204800,34.692763
"8",37.73,38.139999,36.950001,37.200001,1058600,34.646196
"9",37.169998,37.509998,36.41,36.5,1073200,33.994251
"10",36.48,36.959999,36.07,36.599998,1172400,34.087384
"11",36.450001,36.759998,35.700001,35.84,1133000,33.37956
"12",36,36.529999,35.779999,36.41,1167900,33.910429
"13",36.57,36.619999,35.970001,36.18,797200,33.696219
"14",35.580002,35.599998,34.34,34.610001,1640800,32.234001
"15",34.580002,35.41,34.330002,34.369999,1699400,32.010476
"16",34.330002,34.389999,33.32,33.860001,1328300,31.535489
"17",33.939999,34.48,33.419998,33.540001,1246800,31.237458
"18",34.189999,34.630001,33.360001,33.77,1092000,31.451668
"19",33.990002,34.75,33.759998,34.75,804100,32.364389
"20",35.099998,35.720001,34.830002,35.630001,1160500,33.183978
"21",35.66,35.73,35.080002,35.689999,937600,33.239857
"22",35.619999,35.709999,35.16,35.5,881000,33.062901
"23",35.900002,36.799999,35.75,36.59,1181400,34.078072
"24",36.400002,36.75,36.34,36.639999,1027200,34.124639
"25",36.5,37.09,36.130001,36.959999,1402600,34.422671
"26",36.869999,36.869999,35.849998,36.009998,1734700,33.537888
"27",36.09,36.279999,35.560001,36.240002,767100,33.752102
"28",35.669998,36.75,35.540001,36.73,699900,34.208461
"29",36.889999,37.080002,36.25,36.549999,1157000,34.040818
"30",37.009998,37.740002,36.990002,37.599998,1179200,35.018734
"31",37.509998,38.43,37.450001,38.419998,964300,35.78244
"32",38.419998,38.830002,38.189999,38.630001,771500,35.978026
"33",38.73,38.82,38.02,38.200001,750900,35.577545
"34",38.16,38.32,37.82,37.98,512500,35.372647
"35",38.32,38.389999,37.459999,37.810001,874300,35.21432
"36",36.970001,38.32,36.959999,38.240002,1131300,35.6148
"37",38.849998,39.060001,38.610001,38.93,873600,36.25743
"38",38.639999,38.779999,38.110001,38.529999,727700,35.884889
"39",38.419998,38.549999,38.169998,38.27,920400,35.791367
"40",37.939999,38.59,37.849998,38.540001,789600,36.043881
"41",38.150002,38.599998,37.790001,38.43,663800,35.941004
"42",38.75,38.75,38.200001,38.509998,560800,36.015821
"43",38.119999,38.16,37.66,37.93,697800,35.473388
"44",37.130001,37.259998,36.009998,36.110001,1169600,33.771264
"45",35.349998,36.009998,35.349998,35.630001,994200,33.322353
"46",35.57,35.84,35.43,35.459999,485200,33.163361
"47",35.200001,35.619999,34.889999,35.619999,846300,33.312998
"48",35.939999,36.810001,35.860001,36.549999,904200,34.182765
"49",36.400002,36.549999,36.060001,36.48,961600,34.117299
"50",36.220001,36.439999,35.48,35.889999,1193800,33.565512
"51",35.560001,35.799999,35.130001,35.560001,594100,33.256887
"52",35.779999,35.860001,35.02,35.02,407100,32.75186
"53",34.490002,34.599998,34.130001,34.310001,902900,32.087845
"54",33.950001,34.68,33.720001,34.59,790200,32.34971
"55",34.700001,34.970001,34.220001,34.259998,761900,32.041081
"56",34.57,35.220001,34.060001,35.150002,647800,32.873441
"57",35.099998,35.200001,34.389999,34.41,409900,32.181367
"58",34.209999,34.599998,33.82,34.189999,1047200,31.975615
"59",34.84,36.009998,34.75,35.889999,756900,33.565512
"60",35.880001,36.959999,35.869999,36.720001,935400,34.341757
"61",37.27,37.549999,36.779999,37.18,440800,34.771963
"62",37.009998,37.799999,36.66,37.759998,1637600,35.314396
"63",37.669998,38.080002,37.07,37.18,1107400,34.771963
"64",37.66,37.720001,37.189999,37.450001,555900,35.024476
"65",37.59,37.84,37.360001,37.549999,633000,35.117998
"66",38.040001,38.470001,37.849998,38.110001,771000,35.64173
"67",37.900002,38.23,37.82,38.029999,907100,35.56691
"68",39.25,41.599998,39.099998,40.41,3242100,37.792765
"69",40.34,40.41,39.889999,40.139999,942300,37.540252
"70",40.380001,40.66,40.209999,40.450001,1188800,37.830175
"71",40.98,41.299999,40.509998,41.259998,1001800,38.587712
"72",41.130001,41.599998,41,41.209999,593200,38.540951
"73",41.41,41.41,40.810001,41.189999,1431000,38.522246
"74",40.720001,41.25,40.509998,40.82,801600,38.176211
"75",41.450001,41.82,41.18,41.759998,622200,39.055328
"76",41.68,41.849998,41.279999,41.5,851800,38.812169
"77",41.639999,41.849998,40.959999,41.799999,814600,39.092739
"78",41.540001,41.720001,41.32,41.549999,963000,38.85893
"79",41.779999,42.439999,41.330002,41.639999,797100,38.943101
"80",41.93,42.040001,41.200001,41.970001,844500,39.25173
"81",41.82,42.130001,41.060001,41.360001,621700,38.681237
"82",41.900002,42.650002,41.84,42.52,709400,39.766107
"83",42.380001,42.790001,41.93,42.189999,828800,39.606514
"84",42.439999,42.779999,42.049999,42.68,1575600,40.06651
"85",42.82,43.639999,42.66,43.25,1075700,40.601606
"86",43.23,43.450001,43.049999,43.299999,1059400,40.648544
"87",43.07,43.740002,42.759998,43.599998,1051900,40.930173
"88",43.810001,44.650002,43.75,44.220001,1037900,41.51221
"89",44.07,44.32,43.5,43.700001,669700,41.024052
"90",44.099998,44.189999,43.099998,43.48,806300,40.817522
"91",42.93,43.59,42.68,43.5,1371800,40.836298
"92",42.860001,43.130001,42.07,42.34,1481700,39.74733
"93",42.439999,43.580002,42.209999,43.200001,813600,40.554669
"94",43.419998,43.869999,43.259998,43.73,782400,41.052213
"95",43.759998,43.790001,43.34,43.43,390400,40.770584
"96",43.75,43.880001,43.240002,43.349998,630900,40.695482
"97",43.07,43.41,42.900002,43.080002,730700,40.442018
"98",42.66,43.09,42.200001,42.470001,757200,39.86937
"99",42.790001,43,42.16,42.459999,615100,39.859981
"100",42.369999,42.939999,42.310001,42.669998,573700,40.057121
"101",42.900002,43.380001,42.400002,42.75,518900,40.132224
"102",43.200001,43.57,43.099998,43.32,399300,40.66732
"103",43.439999,43.66,42.939999,43.529999,539300,40.86446
"104",44.16,44.68,44.119999,44.59,484900,41.859552
"105",44.360001,44.779999,44.299999,44.689999,570800,41.953427
"106",44.290001,44.389999,43.98,44.119999,493800,41.418331
"107",44.110001,44.290001,43.619999,43.73,468900,41.052213
"108",43.66,44.080002,43.5,43.950001,429200,41.258743
"109",43.52,44,43.369999,43.849998,286700,41.164864
"110",43.5,43.880001,43.330002,43.700001,656600,41.024052
"111",43.860001,44.259998,43.59,44.02,576300,41.324456
"112",43.599998,43.790001,42.889999,43.150002,679600,40.507731
"113",43.09,43.779999,42.990002,43.700001,737300,41.024052
"114",44.169998,44.700001,44.139999,44.34,514100,41.624861
"115",44.459999,45.130001,44.27,45.130001,866900,42.366486
"116",45.16,45.459999,44.869999,45.34,783800,42.563626
"117",44.91,45.18,44.610001,45.029999,815800,42.272608
"118",45.419998,46.16,45.310001,46.150002,490800,43.324028
"119",45.75,46.299999,45.57,46.02,379300,43.201987
"120",45.509998,45.740002,44.77,45.16,1007700,42.394648
"121",44.639999,45.630001,44.52,45.27,1033200,42.497913
"122",46.139999,46.52,45.91,46.220001,705000,43.389741
"123",46.220001,47.220001,46.220001,47.18,543200,44.290955
"124",46.98,47.66,46.740002,47.599998,506300,44.685235
"125",47.490002,48.73,47.459999,48.34,1069800,45.379923
"126",48.75,48.810001,48.220001,48.459999,751100,45.492574
"127",48.48,48.599998,47.709999,48.049999,862000,45.10768
"128",48.27,48.540001,47.889999,48.02,1008700,45.079518
"129",50.41,51.009998,49.369999,50,2505100,46.938273
"130",49.970001,50.139999,48.880001,49.509998,1724200,46.478277
"131",49.490002,49.889999,49.43,49.610001,1150600,46.572155
"132",49.580002,49.84,49.389999,49.509998,1378500,46.478277
"133",49.599998,50.220001,49.060001,50.130001,1068200,47.060314
"134",50.200001,50.299999,49.77,50,1045600,46.938273
"135",50.130001,50.169998,49.580002,49.950001,721000,46.891336
"136",50.060001,50.5,49.990002,50.380001,637800,47.295005
"137",50.389999,50.529999,49.869999,50.049999,516900,46.985211
"138",50.080002,50.25,49.709999,49.869999,556200,46.816233
"139",49.82,49.93,49.450001,49.919998,327100,46.86317
"140",49.970001,50.09,49.639999,49.91,332600,46.853784
"141",50,50.139999,49.639999,49.709999,464100,46.66603
"142",49.689999,49.830002,49.43,49.439999,267700,46.412563
"143",49.439999,49.700001,49.32,49.580002,421500,46.543994
"144",50,50.259998,49.720001,49.779999,714200,46.731744
"145",49.959999,49.990002,49.16,49.959999,942700,46.900722
"146",49.650002,49.970001,49.389999,49.82,760800,46.769295
"147",49.82,49.900002,49.419998,49.59,630200,46.55338
"148",49.66,50.130001,49.560001,50,1040400,46.938273
"149",49.959999,50.25,49.790001,50.16,683900,47.088476
"150",50.25,50.490002,50.119999,50.380001,632300,47.295005
"151",50.68,51.060001,50.349998,50.450001,693700,47.360718
"152",50.52,50.52,49.93,50.040001,608500,46.975825
"153",50,50.400002,49.779999,50.369999,659200,47.285616
"154",50.259998,51.16,50.169998,50.73,695200,47.623572
"155",50.73,50.75,49.91,50,904800,46.938273
"156",49.869999,50.099998,49.049999,49.16,652200,46.14971
"157",49.389999,49.93,48.740002,48.84,755000,45.849306
"158",48.82,49.25,48.619999,49.240002,687400,46.224813
"159",49.18,49.299999,48.599998,49.049999,471100,46.046445
"160",49.360001,50.32,49.209999,50.07,674500,47.003987
"161",50.119999,50.299999,49.779999,50.07,328000,47.003987
"162",50.16,50.400002,48.599998,48.66,442200,45.680327
"163",52.18,55.470001,51.830002,55.41,7284500,52.016994
"164",55.59,55.68,53.849998,53.950001,2397900,50.646398
"165",53.849998,54.189999,53.380001,53.630001,1037500,50.345993
"166",53.599998,54.130001,53.400002,54.09,974600,50.777824
"167",54.02,54.200001,53.529999,54.18,785800,51.027406
"168",54.099998,54.68,54.009998,54.450001,771900,51.281695
"169",54.490002,54.939999,54.43,54.919998,648100,51.724345
"170",54.630001,54.709999,53.68,54.27,844900,51.112169
"171",54.060001,54.810001,53.959999,54.619999,391500,51.441802
"172",54.279999,55.220001,54.139999,55.130001,668200,51.922128
"173",55.130001,55.82,54.82,55.82,737900,52.571978
"174",55.580002,55.669998,54.740002,54.959999,669800,51.762018
"175",55.27,55.599998,55.029999,55.5,543300,52.270598
"176",55.32,55.639999,55.02,55.5,360300,52.270598
"177",55.470001,56,55.41,55.849998,467100,52.600231
"178",55.130001,55.73,53.540001,53.619999,876300,50.499989
"179",53.740002,53.950001,52.580002,52.66,1592200,49.59585
"180",52.66,53.740002,52.349998,53.650002,841700,50.528246
"181",53.810001,54.77,53.810001,54.759998,676200,51.573655
"182",54.98,55.18,54.200001,54.360001,773000,51.196932
"183",54.669998,54.91,53.34,53.439999,447700,50.330463
"184",53.23,54.369999,53.209999,54.07,557200,50.923806
