"","JNJ.Open","JNJ.High","JNJ.Low","JNJ.Close","JNJ.Volume","JNJ.Adjusted"
"1",58.720001,59.130001,58.349998,58.5,16995200,49.773598
"2",58.169998,58.48,57.939999,58.459999,14713000,49.739564
"3",58.700001,59.099998,58.380001,58.419998,10524000,49.70553
"4",58.93,59.16,58.549999,59.139999,11103200,50.318129
"5",59.25,59.580002,58.779999,59.240002,8636300,50.403214
"6",59.279999,59.439999,58.650002,59.18,11723100,50.352163
"7",59.18,59.290001,58.849998,59.18,16838200,50.352163
"8",59.5,59.799999,58.919998,59.130001,12143600,50.309622
"9",59.25,60.09,59.119999,59.16,13823800,50.335146
"10",59.16,59.419998,58.709999,59.240002,12659500,50.403214
"11",59.029999,59.939999,59.029999,59.599998,18216100,50.70951
"12",59.860001,59.869999,58.630001,58.700001,45006900,49.943765
"13",59.009998,59.790001,58.810001,59.450001,15834300,50.581888
"14",58.98,59.419998,58.68,59.240002,20236500,50.403214
"15",59.040001,59.610001,58.939999,59.060001,15802100,50.250064
"16",59.07,59.25,58.650002,59.07,17973500,50.258571
"17",59.419998,59.59,58.849998,59.080002,10534400,50.267081
"18",59.5,59.599998,58.669998,59.080002,15461100,50.267081
"19",59.330002,60.700001,59.040001,60.610001,17280000,51.568851
"20",60.93,61.73,60.639999,61.380001,15895900,52.223991
"21",60.970001,61.07,60.380001,60.540001,12174000,51.509293
"22",60.48,60.540001,60.060001,60.209999,10797200,51.228518
"23",60.59,60.959999,60.439999,60.5,10924500,51.475259
"24",60.16,60.68,60.049999,60.619999,9668500,51.577358
"25",60.619999,60.75,59.900002,60.259998,12839300,51.271059
"26",60,60.189999,59.25,59.439999,17569900,50.573378
"27",59.720001,59.790001,59.369999,59.57,10277500,50.683987
"28",58.450001,58.77,58,58.580002,22304800,49.841666
"29",58.799999,58.799999,56.869999,57.119999,25707600,48.599451
"30",57.43,57.619999,56.860001,57.02,17972900,48.514369
"31",57.279999,57.639999,57,57.630001,15076600,49.033376
"32",57.650002,58.009998,57.48,57.740002,11775200,49.126968
"33",57.950001,58.439999,57.619999,58.099998,16964000,49.433264
