"","WIN.Open","WIN.High","WIN.Low","WIN.Close","WIN.Volume","WIN.Adjusted"
"1",10.749936,10.96995,10.749936,10.96995,2508500,10.196726
"2",10.919943,11.069925,10.849944,11.069925,2023800,10.289654
"3",11.109949,11.249946,11.099933,11.149939,2401800,10.364028
"4",11.159955,11.299953,11.149939,11.269945,2222200,10.475576
"5",11.25993,11.429937,11.209924,11.429937,2667200,10.62429
"6",11.439952,11.499936,11.249946,11.499936,2504400,10.689355
"7",11.499936,11.499936,11.299953,11.32993,4590000,10.531332
"8",11.449936,11.499936,11.339945,11.409944,2399700,10.605706
"9",11.439952,11.469929,11.299953,11.319946,2311100,10.522052
"10",11.369953,11.379936,11.199946,11.249946,2541500,10.456986
"11",11.279929,11.309937,11.149939,11.169932,2301100,10.382612
"12",11.189931,11.199946,11.08995,11.119931,3089300,10.336135
"13",10.889935,10.989942,10.749936,10.919943,2732900,10.383681
"14",10.819936,10.829951,10.649955,10.69993,3053100,10.174473
"15",10.689946,10.759945,10.559931,10.559931,2584600,10.041349
"16",10.549948,10.649955,10.33995,10.549948,5144500,10.031856
"17",10.549948,10.719961,10.499947,10.599955,2792600,10.079407
"18",10.669954,10.829951,10.559931,10.649955,2412500,10.126951
"19",10.679937,10.919943,10.649955,10.89995,2255500,10.36467
"20",10.939942,11.179947,10.89995,11.179947,3025200,10.630917
"21",11.169932,11.169932,10.999958,11.12994,1778000,10.583366
"22",11.079941,11.289938,11.069925,11.199946,2681800,10.649934
"23",11.249946,11.299953,11.179947,11.279929,2269100,10.725989
"24",11.269945,11.409944,11.189931,11.409944,2920700,10.849619
"25",11.419928,11.449936,11.299953,11.379936,2132200,10.821084
"26",11.359938,11.379936,11.149939,11.169932,2314000,10.621394
"27",11.239938,11.289938,11.12994,11.229955,1858400,10.678468
"28",11.149939,11.419928,11.099933,11.399929,2227700,10.840095
"29",11.369953,11.419928,11.239938,11.279929,1949300,10.725989
"30",11.359938,11.499936,11.339945,11.429937,2055600,10.86863
"31",11.479944,11.549943,11.399929,11.479944,2109200,10.916181
"32",11.509951,11.669948,11.499936,11.64995,1967300,11.077838
"33",11.679932,11.799932,11.629925,11.63994,2592000,11.06832
"34",11.70994,11.779939,11.64995,11.669948,3474000,11.096855
"35",11.749932,11.819931,11.519934,11.549943,4049700,10.982742
"36",11.489928,11.489928,11.269945,11.399929,5220700,10.840095
"37",11.539927,11.629925,11.489928,11.549943,3934700,10.982742
