"","PXD.Open","PXD.High","PXD.Low","PXD.Close","PXD.Volume","PXD.Adjusted"
"1",66.339996,68.870003,66.139999,68.870003,3203100,68.625548
"2",67.900002,70.239998,67.099998,70.099998,2580700,69.851177
"3",71.300003,72.589996,69.540001,69.639999,2605300,69.392811
"4",71.029999,71.290001,69.830002,71.029999,2129800,70.777877
"5",70.769997,72.389999,70.550003,71.660004,1957900,71.405645
"6",71.720001,72.120003,70.239998,71.519997,1715800,71.266135
"7",71.419998,71.980003,70.790001,71.650002,2391100,71.395679
"8",73.440002,74,70.360001,71.029999,1642900,70.777877
"9",70.489998,70.57,66.379997,66.970001,3813700,66.73229
"10",66.889999,68.120003,65.5,67.190002,1937400,66.95151
"11",66,66.800003,63.540001,64.970001,4467800,64.739389
"12",65.209999,66.279999,63.759998,65.239998,3368200,65.008427
"13",65.57,65.790001,63.720001,63.93,2258400,63.70308
"14",62.790001,63.110001,60.049999,60.52,2773700,60.305184
"15",60.59,61.439999,59.060001,59.450001,2250000,59.238982
"16",58.98,59.669998,56.470001,58.919998,2859300,58.710861
"17",59.91,59.91,57.18,57.259998,2780700,57.056753
"18",59.459999,60.419998,56.419998,56.959999,2925800,56.757819
"19",56.959999,59.27,56.880001,59.209999,2421100,58.999832
"20",61.110001,61.52,58.650002,60.360001,2416400,60.145752
"21",60.16,61.040001,59.849998,60.869999,1655000,60.65394
"22",60.720001,61.119999,59.709999,60.689999,1814200,60.474578
"23",61.779999,62.880001,61.16,62.27,1456100,62.048972
"24",61.639999,63.16,60.990002,62.049999,1682300,61.829752
"25",61.93,62.16,60.09,61.450001,1636800,61.231883
"26",60.59,60.59,58.650002,58.849998,2342000,58.641109
"27",59.23,59.759998,58.259998,59.27,1056800,59.059621
"28",57.919998,60.799999,57.880001,60.529999,1866200,60.315147
"29",60.82,61.259998,59.07,59.639999,952500,59.428306
"30",60.41,61.07,59.18,59.59,2488700,59.378484
"31",59.119999,59.34,58,58.84,2837700,58.631147
"32",59.130001,60.25,58.509998,60.189999,1500600,59.976353
"33",60.5,60.59,58.34,59.060001,1315300,58.850367
"34",59.040001,60.66,58.549999,59.310001,2042800,59.09948
"35",59.439999,59.970001,54.889999,58.400002,2946900,58.19271
"36",57.360001,58.360001,57.299999,57.919998,1808000,57.71441
"37",59.200001,61.240002,58.970001,60.900002,1612900,60.683836
"38",60.41,61.869999,59.66,61.470001,1530600,61.251812
"39",61.349998,61.959999,60.389999,61.509998,1354900,61.291668
"40",60.849998,61.619999,60.299999,61.389999,806700,61.172095
"41",60.080002,61.43,59.220001,60.349998,1144700,60.135785
"42",60.66,60.900002,59.720001,60.5,702500,60.285254
"43",59.610001,60.080002,59.09,59.689999,1006800,59.478128
"44",58.110001,58.490002,57.110001,57.639999,1703400,57.435405
"45",56.669998,57.75,56.279999,56.470001,1801200,56.26956
"46",56.279999,57.369999,56.220001,56.369999,1253700,56.169913
"47",55.959999,56.34,55.490002,55.84,1219400,55.641795
"48",56.57,58.450001,56.419998,58.009998,1586800,57.804091
"49",57.93,58.810001,56.849998,58.580002,1445800,58.372071
"50",58.029999,58.630001,57.599998,58,1319500,57.794128
"51",57.369999,58.119999,56.860001,57.950001,1343400,57.744306
"52",57.990002,59.209999,57.970001,58.48,1091200,58.272424
"53",57.299999,58.450001,56.310001,57.240002,1574600,57.036827
"54",56.82,57.66,55.799999,57.41,1910400,57.206222
"55",57.82,58.709999,56.849998,57.119999,1220000,56.917251
"56",57.549999,59.080002,56.150002,58.950001,1439400,58.740757
"57",58.759998,59.66,58.060001,58.130001,1292900,57.923668
"58",57.610001,58.669998,57.07,57.82,1390500,57.614767
"59",58.849998,60.5,58.66,60.380001,1222800,60.165681
"60",60.509998,61.34,59.720001,61.25,1013700,61.032592
"61",61.98,62.68,61.52,62.5,981500,62.278155
"62",62.959999,63,61.110001,61.830002,1329200,61.610535
"63",61.849998,63.259998,61.849998,63.099998,1575700,62.876024
"64",64.339996,64.599998,62.950001,63.619999,1223300,63.394179
"65",63.740002,65.050003,63.490002,64.769997,1289500,64.540094
"66",65.699997,65.730003,64.699997,65.110001,997400,64.878892
"67",65.050003,65.889999,64.360001,65.019997,937000,64.789207
"68",64.370003,65.419998,63.900002,65.349998,1254200,65.118038
"69",64.779999,65.449997,64.440002,64.849998,869800,64.619812
"70",65.25,65.879997,64.150002,65.379997,1284600,65.14793
"71",65.699997,67.389999,65.209999,66.889999,1149500,66.652572
"72",66.730003,67.129997,65.760002,66.459999,1052000,66.224098
"73",66.57,67.769997,65.629997,65.790001,978800,65.556478
"74",64.910004,67.139999,64.900002,66.029999,1091200,65.795624
"75",62.5,65.529999,62.5,64.760002,4040400,64.530135
"76",64.720001,65.489998,64.160004,64.360001,1545500,64.131554
"77",64.610001,64.68,63.610001,64.260002,1588200,64.071729
"78",64,65.75,64,65.370003,1561900,65.178477
"79",65.860001,66.360001,64.610001,65.029999,1631300,64.83947
"80",65.800003,66.32,64.970001,66.059998,1712600,65.866451
"81",65.870003,66.43,65.010002,65.559998,1276100,65.367916
"82",66.360001,70.050003,65.809998,69.330002,3121000,69.126874
"83",69.379997,70.18,68.879997,69.540001,1679100,69.336258
"84",70,70,68.050003,68.709999,1175500,68.508688
"85",68.919998,71.900002,68.919998,71.669998,2117000,71.460015
"86",71.5,72.830002,71.309998,71.57,746400,71.360309
"87",71.169998,71.980003,70.32,71.860001,1386000,71.64946
"88",72.43,74.489998,72.129997,73.870003,2143500,73.653574
"89",73.75,73.919998,71.919998,72.910004,1366500,72.696387
"90",73.620003,73.760002,72.050003,73.57,1062100,73.354449
"91",73.480003,74,72.879997,73.550003,839700,73.334511
"92",71.879997,73.18,70.989998,71.529999,1316300,71.320425
"93",71.300003,72.919998,71.300003,72.370003,1058500,72.157968
"94",72.900002,73.839996,71.129997,71.839996,1036600,71.629515
"95",71.959999,72.660004,71.720001,72.610001,991100,72.397263
"96",73.279999,74.480003,73,73.190002,685100,72.975566
"97",72.470001,73.639999,71.660004,72,1325800,71.78905
"98",69.470001,71.860001,68.18,69.900002,2112800,69.695204
"99",70.650002,71.199997,68.660004,69.18,1395900,68.977312
"100",68.940002,70.510002,68.940002,69.800003,873300,69.595498
"101",70.550003,72.099998,70.489998,71,1142200,70.791979
"102",71.760002,72.919998,70.82,72.580002,814900,72.367352
"103",72.900002,73.610001,71.419998,73.370003,1500900,73.155038
"104",74.419998,75.75,73.620003,75.239998,1808100,75.019555
"105",75.220001,76.68,74.519997,76.32,1153200,76.096392
"106",75.650002,77.199997,74.900002,76.82,1085200,76.594927
"107",77.290001,78.309998,76.239998,76.949997,1349200,76.724544
"108",77.099998,77.75,75.970001,77.660004,966200,77.43247
"109",76.940002,78.300003,76.75,78.029999,732200,77.801381
"110",77.120003,77.629997,76.010002,77,925400,76.7744
"111",77.379997,78,76.870003,77.110001,792900,76.884079
"112",76.339996,76.559998,75.290001,76.339996,1350000,76.11633
"113",76.349998,78.459999,75.660004,76.779999,921100,76.555044
"114",77.900002,79.129997,77.660004,78.779999,842400,78.549184
"115",78.519997,80.07,77.75,80.059998,902500,79.825432
"116",79.489998,79.75,77.440002,79.529999,978600,79.296987
"117",78.550003,78.610001,77.050003,77.449997,1100500,77.223079
"118",78.279999,79.589996,78.010002,79.25,734000,79.017808
"119",78.220001,79.5,77.870003,78.290001,253300,78.060622
"120",77.779999,80.330002,77.099998,80.150002,974800,79.915173
"121",79.099998,80.779999,78.269997,80.110001,1616300,79.875289
"122",81.839996,84.610001,81.050003,84.269997,1892700,84.023097
"123",84.269997,84.809998,83.769997,83.919998,1800100,83.674124
"124",83.339996,84.839996,83.339996,84.050003,1803800,83.803748
"125",84.07,85.809998,84.010002,84.790001,1425000,84.541578
