"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"1",47.259998,47.400002,46.52,47.27,1687300,45.101413
"2",46.900002,47.950001,46.32,47.950001,1717600,45.750217
"3",48.220001,48.669998,48.040001,48.099998,1231400,45.893333
"4",48.25,48.98,48.060001,48.98,1588200,46.732963
"5",48.59,49.110001,48.490002,48.830002,2534200,46.589846
"6",49.009998,49.490002,48.830002,49.490002,1873900,47.219568
"7",49.290001,49.57,48.830002,49.25,1559000,46.990576
"8",49.790001,50.16,49.029999,49.259998,1373100,47.000116
"9",49.220001,49.59,48.34,48.41,1580600,46.189113
"10",48.150002,49.029999,47.669998,48.639999,1912900,46.408561
"11",48.57,49.029999,47.779999,47.919998,1269400,45.721591
"12",48.060001,48.470001,47.509998,48.099998,2543400,45.893333
"13",48.150002,48.389999,47.619999,48.060001,1182400,45.855171
"14",47.119999,47.490002,45.73,45.970001,1897300,43.861053
"15",45.860001,46.34,45.540001,45.669998,1829000,43.574813
"16",45.509998,45.540001,43.59,44.59,2317900,42.544362
"17",44.560001,44.810001,44.009998,44.34,1283700,42.305831
"18",44.860001,45.240002,43.970001,44.459999,1516700,42.420325
"19",44.619999,45.5,44.380001,45.389999,1927100,43.30766
"20",45.790001,46.349998,45.59,45.939999,1398100,43.832427
"21",46.220001,46.279999,45.650002,46.200001,1266600,44.080501
"22",46.049999,46.139999,45.57,45.919998,1707400,43.813344
"23",46.27,46.610001,45.860001,46.360001,1460300,44.23316
"24",46.139999,46.93,45.810001,46.880001,1239600,44.729305
"25",46.810001,47.470001,46.52,46.849998,2093900,44.700679
"26",46.5,47.09,45.549999,45.66,1689900,43.565273
"27",45.860001,46.869999,45.759998,46.52,1527100,44.38582
"28",46.470001,46.939999,45.560001,46.5,1928400,44.366737
"29",46.509998,46.709999,45.419998,45.709999,1330100,43.612979
"30",46.299999,47.07,46.040001,46.330002,1283600,44.204538
"31",46.23,46.490002,45.48,46.02,1460900,43.908758
"32",46.049999,46.919998,46.049999,46.91,884500,44.757928
"33",47.189999,47.290001,46.57,46.630001,985000,44.490774
"34",46.5,46.689999,45.560001,45.740002,1570000,43.641605
"35",46.080002,46.610001,45.360001,46.169998,1962400,44.051875
"36",45.869999,47.869999,45.66,47.02,3353100,44.862882
"37",48.41,48.830002,47.310001,48.73,3083800,46.494432
"38",48.599998,49.490002,48.27,48.889999,1779300,46.647091
"39",48.98,49.759998,48.91,49.720001,1510000,47.439016
"40",49.560001,50.380001,49.349998,49.970001,2394600,47.677546
"41",49.610001,50.779999,49.529999,50.610001,1661000,48.288185
"42",50.939999,51.240002,50.529999,50.709999,1257800,48.383596
"43",50.18,50.950001,49.77,50.68,1680100,48.354973
"44",49.959999,49.959999,48.209999,48.93,2789100,46.685257
"45",48.080002,49.52,48,49.310001,2339300,47.047825
"46",49.119999,49.529999,48.57,49.330002,1160100,47.066908
"47",49.040001,49.139999,48.52,49,1015400,46.752046
"48",49.459999,50.07,49.119999,49.669998,1693900,47.391306
"49",49.59,50.330002,49.25,50.119999,1635700,47.820663
"50",50.130001,50.130001,48.740002,48.810001,1432700,46.570763
