"","DO.Open","DO.High","DO.Low","DO.Close","DO.Volume","DO.Adjusted"
"1",59.939999,61.740002,59.330002,61.349998,4871000,47.076209
"2",61.040001,62.360001,59.889999,60.990002,3738900,46.79997
"3",62.450001,62.740002,60.130001,60.25,3542500,46.232138
"4",61.009998,63.360001,60.709999,63.150002,3786100,48.457421
"5",62.799999,64.860001,62.150002,62.830002,3498100,48.211873
"6",63.830002,63.889999,62.060001,62.790001,2757400,48.181179
"7",62.779999,64,62.48,63.869999,2977200,49.009902
"8",65.150002,65.309998,63.860001,64.739998,3958500,49.677486
"9",64.589996,68.650002,62.360001,62.849998,7447100,48.227217
"10",63,63.330002,61.200001,62.619999,3626900,48.050729
"11",62.700001,62.700001,59.709999,59.849998,3028500,45.925202
"12",59.700001,62.529999,59.57,61.720001,4394500,47.360127
"13",62,62.169998,60.279999,60.439999,1838600,46.377932
"14",59.52,60.75,58.849998,60.16,3523800,46.163078
"15",60.419998,63.66,59.919998,62.189999,3703600,47.720774
"16",62.93,64.889999,61.860001,63.84,4101600,48.986883
"17",63.849998,65.75,63.18,63.490002,2079200,48.718316
"18",65.57,65.809998,61.810001,62.900002,2851800,48.265586
"19",63.450001,64.370003,62.279999,64.260002,3238400,49.309167
"20",64.980003,65.410004,63.02,65.260002,2250500,50.076505
"21",65.610001,66,63.5,64.400002,2069200,49.416594
"22",64.410004,65.5,63.5,64.089996,2186500,49.178715
"23",65.080002,65.639999,63.709999,65.330002,2532200,50.130219
"24",65.349998,67.029999,64.709999,65.910004,1825100,50.575276
"25",65.970001,66.510002,64.120003,65.910004,1977500,50.575276
"26",65.089996,65.089996,62.48,62.549999,2509200,47.997016
"27",63.209999,63.919998,62.32,63.189999,1440100,48.488112
"28",62.029999,65.379997,61.82,65.019997,1712600,49.89234
"29",65.5,65.68,63.490002,64.139999,2511600,49.217084
"30",63,63.419998,61.060001,62.310001,5797000,47.812856
"31",61.810001,61.810001,60.450001,61.66,2295100,47.314085
"32",62.110001,62.889999,61.639999,62.830002,1575500,48.211873
