"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"1",53.139999,53.700001,52.740002,52.939999,642300,52.939999
"2",52.73,53.93,52.560001,53.799999,560400,53.799999
"3",54.23,54.68,53.689999,53.849998,485100,53.849998
"4",53.889999,54.580002,53.889999,54.509998,401900,54.509998
"5",54.150002,55.57,54.150002,55.119999,551500,55.119999
"6",54.970001,55.34,54.549999,54.889999,537400,54.889999
"7",54.950001,55.610001,54.740002,55.049999,475800,55.049999
"8",55.630001,56,54.779999,55.040001,394700,55.040001
"9",55.18,55.779999,54.75,54.810001,606000,54.810001
"10",53.41,53.75,51.349998,52.150002,1968500,52.150002
"11",52.09,53.5,51.889999,53,1144200,53
"12",53.43,53.43,52.48,53.32,1432000,53.32
"13",53.919998,54.310001,52.990002,54.080002,903200,54.080002
"14",53.450001,54.290001,53.09,53.830002,1043600,53.830002
"15",53.84,56.439999,53.650002,56.02,2158900,56.02
"16",56.18,56.18,54.599998,55.580002,1530000,55.580002
"17",55.790001,56.049999,55.369999,55.41,1219900,55.41
"18",56.189999,57.220001,56,56.599998,1160300,56.599998
"19",55.619999,55.639999,54.68,55.240002,2491700,55.240002
"20",55.689999,56.16,54.990002,55.599998,1341300,55.599998
"21",55.689999,56.43,55.459999,56.139999,391400,56.139999
"22",55.990002,56.400002,55.709999,55.990002,442100,55.990002
"23",56.509998,56.790001,55.650002,55.66,859300,55.66
"24",55.610001,56.029999,55.049999,55.990002,825600,55.990002
"25",56.150002,56.389999,55.400002,55.959999,534200,55.959999
"26",55.700001,55.919998,54.630001,54.75,684900,54.75
"27",54.990002,55.509998,54.849998,55.189999,577000,55.189999
"28",54.689999,55.630001,54.209999,55.580002,764100,55.580002
"29",55.639999,55.639999,53.369999,53.549999,1517700,53.549999
"30",56.099998,58.349998,56.099998,57.369999,1726000,57.369999
"31",57.369999,58.380001,57.09,58.23,1335200,58.23
"32",58.25,58.689999,57.830002,58.689999,848200,58.689999
"33",59,59.279999,58.209999,58.73,736800,58.73
"34",58.73,58.939999,57.650002,57.849998,511600,57.849998
"35",58.23,58.610001,57.18,57.27,782800,57.27
"36",56.939999,58.189999,56.799999,57.799999,761900,57.799999
"37",58.43,58.630001,57.459999,57.619999,943700,57.619999
"38",57.639999,58.82,56.669998,57.459999,1381800,57.459999
"39",57.5,58.080002,57.25,57.540001,737400,57.540001
"40",57.509998,57.970001,57.139999,57.610001,603700,57.610001
"41",57.099998,58.360001,56.919998,58.299999,876800,58.299999
"42",58.34,58.470001,57.860001,58.349998,584800,58.349998
"43",57.849998,58.459999,57.5,58.029999,616200,58.029999
"44",57.630001,57.990002,57.07,57.740002,986800,57.740002
"45",57.580002,57.73,57.110001,57.439999,499400,57.439999
"46",57.52,57.639999,56.869999,57.310001,475600,57.310001
"47",57.25,57.59,56.540001,57.240002,466600,57.240002
"48",57.689999,58.040001,57.23,57.650002,639400,57.650002
"49",57.450001,58.16,57.099998,57.75,767500,57.75
"50",57.700001,58.02,57.080002,57.639999,598000,57.639999
"51",57.509998,58.330002,57.34,58.18,999300,58.18
"52",58.32,58.639999,57.849998,58.259998,624200,58.259998
"53",57.84,57.849998,56.990002,57.119999,758400,57.119999
"54",56.709999,57.220001,56.43,56.900002,853900,56.900002
"55",56.959999,57.669998,56.889999,57.48,754300,57.48
"56",57.650002,58.360001,57,58.099998,561600,58.099998
"57",57.82,58.349998,57.68,57.82,473300,57.82
"58",57.599998,57.759998,57.150002,57.57,731800,57.57
"59",58.049999,58.970001,57.779999,58.939999,829700,58.939999
"60",58.950001,60.439999,58.700001,60.419998,967300,60.419998
"61",60.720001,61.130001,60.310001,60.970001,520000,60.970001
"62",60.990002,61.560001,60.32,60.950001,375900,60.950001
"63",60.860001,61.099998,59.779999,59.990002,1021700,59.990002
"64",60.450001,60.52,59.560001,59.759998,586600,59.759998
"65",59.720001,59.91,59.009998,59.029999,940600,59.029999
"66",59.560001,59.84,57.369999,57.41,1445400,57.41
"67",57.080002,57.389999,55.029999,57,1784200,57
"68",56.959999,57.919998,56.77,57.650002,1606100,57.650002
"69",57.5,58.939999,57.5,58.310001,1073700,58.310001
"70",58.169998,58.279999,55.779999,55.810001,1811800,55.810001
