"","BXP.Open","BXP.High","BXP.Low","BXP.Close","BXP.Volume","BXP.Adjusted"
"1",75.800003,78.470001,75.349998,78.190002,2181700,65.704464
"2",77.160004,79.099998,77.139999,79.019997,1541000,66.401923
"3",79.809998,80.519997,78.449997,79.260002,1852500,66.603604
"4",79.75,81.230003,79.040001,81.080002,1655900,68.132982
"5",80.489998,81.120003,79.870003,80.449997,1384700,67.603578
"6",80.599998,80.790001,79.540001,79.970001,1635000,67.200229
"7",80.25,80.419998,79.660004,80.089996,1613900,67.301063
"8",81.080002,81.800003,79.220001,79.389999,1286700,66.712843
"9",79.720001,79.769997,76.269997,76.360001,1758200,64.16668
"10",76.5,77.510002,75.419998,76.529999,1348900,64.309533
"11",76.050003,76.360001,74.120003,74.239998,1656200,62.385204
"12",74.779999,76.989998,74.370003,76.739998,1671100,64.485999
"13",76.209999,76.440002,74.489998,74.650002,1242200,63.141137
"14",73.599998,73.93,71.82,72.339996,2258700,61.187267
"15",72.059998,73.489998,71.07,71.339996,1630200,60.341438
"16",71.559998,71.93,69.839996,71.25,1592600,60.265317
"17",71.599998,71.849998,69.5,69.699997,1242000,58.954279
"18",71.269997,72.080002,68.470001,69.080002,2404800,58.42987
"19",69.419998,72.839996,69.080002,72.769997,2130000,61.550974
"20",73.699997,74.370003,72.330002,73.849998,1553400,62.464471
"21",73.889999,75.290001,73.68,75.230003,1261600,63.631719
"22",75.169998,75.75,74.150002,75.510002,866800,63.86855
"23",76.529999,77.660004,76.07,77.379997,1355700,65.450246
"24",76.580002,77.620003,75.93,77.010002,964000,65.137294
"25",77.150002,77.5,75.349998,77.309998,953700,65.391039
"26",76.410004,76.949997,74.029999,74.709999,1791200,63.191885
"27",74.75,76.68,73.93,76.25,1497700,64.494462
"28",75,78.040001,74.68,77.970001,1828300,65.949289
"29",78.370003,78.5,75.739998,76.080002,1351800,64.350673
"30",77.129997,79.779999,76.529999,79.139999,1709800,66.938907
"31",78.839996,80.099998,77.620003,79.970001,1399400,67.640947
"32",80.139999,81.860001,79.459999,81.75,1161900,69.146522
"33",82,82.5,80.370003,81.629997,1371200,69.04502
"34",81.260002,82.559998,80.860001,81.540001,1227700,68.968898
"35",82.18,82.18,80.269997,81.099998,1557100,68.596731
"36",80.139999,82.360001,79.940002,81.900002,1631400,69.273397
"37",83.760002,85.660004,82.989998,85.080002,2529600,71.963134
"38",84.720001,84.720001,83.18,84.110001,1732800,71.142679
"39",84.25,85.919998,84,85.650002,1650600,72.445256
"40",84.989998,85.699997,84.480003,84.889999,1201900,71.802424
"41",84.459999,84.889999,83.260002,84.730003,890100,71.667095
"42",85.040001,86.080002,84.449997,85.870003,959800,72.631339
"43",85.349998,85.610001,83.790001,84.589996,1115200,71.548673
"44",83.199997,84.160004,82.339996,82.860001,1387600,70.085392
"45",81.449997,82.860001,81.279999,81.32,1300400,68.782815
"46",81.099998,82,80.989998,81.019997,1280800,68.529064
"47",80.57,81.610001,80,81.040001,976800,68.545984
"48",81.779999,84.379997,81.370003,83.650002,1426900,70.753598
"49",83.779999,84,82.720001,83.169998,1149000,70.347597
"50",82.739998,82.830002,80.529999,81.239998,1522800,68.715147
"51",80.529999,81.449997,80.279999,81.230003,815300,68.706693
"52",81.57,82.360001,81.419998,81.529999,1024400,68.960438
"53",80.980003,80.980003,79.639999,79.940002,1524200,67.615573
"54",79.440002,81.730003,79.209999,81.389999,950700,68.842023
"55",81.879997,82.059998,80.480003,80.650002,1288000,68.216111
"56",81.339996,82.209999,79.379997,81.720001,1343700,69.121148
"57",81.279999,82.169998,81.029999,81.059998,879900,68.562897
"58",81,81.93,80.419998,81.400002,1189500,68.850483
"59",82.800003,84.790001,82.190002,84.470001,1622800,71.447178
"60",84.650002,86.540001,84.610001,86.419998,1922200,73.096541
"61",87.540001,88.370003,86.669998,87.849998,1508900,74.306077
"62",87.089996,87.57,86.449997,86.519997,992300,73.181123
"63",85.889999,87.040001,85.860001,86.800003,1094200,73.417961
"64",88.150002,88.160004,84.970001,85.099998,1458400,71.980047
"65",85.410004,86.099998,84.709999,85.199997,1251500,72.064629
"66",85.889999,86.32,85.489998,86.260002,1188400,72.961212
"67",85.870003,86.889999,85.309998,86.400002,858600,73.079628
"68",86.050003,87.550003,85.510002,87.5,871500,74.010038
"69",87.190002,87.419998,86.330002,86.769997,615900,73.39258
"70",87.059998,87.370003,86.410004,87.099998,873800,73.671705
"71",87.669998,89.25,87.25,88.879997,1141200,75.17728
"72",88.010002,89.260002,87.900002,88.010002,1561400,74.441413
"73",87.779999,88.239998,86.07,86.540001,1368900,73.198043
"74",85.5,85.919998,83.699997,83.980003,1690400,71.032723
"75",85,86.029999,84.830002,85.779999,1389700,72.555211
"76",85.730003,85.839996,84.459999,85.029999,892500,71.92084
"77",84.949997,85.209999,83.230003,84.959999,1228100,72.286695
"78",84.690002,84.809998,83.120003,83.480003,1078500,71.027467
"79",83.949997,84.949997,82.629997,83.120003,1829400,70.721167
"80",83.900002,83.989998,82.709999,83.639999,1213500,71.163597
