"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume","JWN.Adjusted"
"1",37.009998,37.98,36.720001,37.790001,3339000,34.147756
"2",37.189999,38.25,37.07,37.849998,2565500,34.201971
"3",38.27,39.540001,38.27,38.810001,2934800,35.069447
"4",39.349998,40.299999,39.119999,40.299999,3508100,36.415837
"5",40.029999,40.560001,39.389999,40,3272300,36.144753
"6",39.880001,40.009998,38.75,39.130001,2250300,35.358605
"7",39.299999,39.720001,38.529999,38.66,2496800,34.933903
"8",39.209999,39.509998,37.41,37.73,3376500,34.093537
"9",37.860001,38.68,36.830002,36.889999,3963700,33.334497
"10",36.869999,37.23,36,36.84,3253600,33.289317
"11",36.57,36.639999,35.18,35.380001,3449600,31.970035
"12",35.439999,35.77,34.849998,35.540001,4191300,32.114613
"13",35.75,36.009998,34.91,34.950001,2759500,31.581478
"14",34.240002,34.57,32.299999,32.509998,6443800,29.376646
"15",32.5,33.27,32.040001,32.189999,4920300,29.087488
"16",32.240002,33.02,31.469999,32.810001,4561600,29.647734
"17",33.18,33.459999,32.060001,32.169998,3197600,29.069416
"18",32.82,33.5,31.530001,31.969999,4083400,28.888693
"19",31.85,33.82,31.73,33.759998,5291500,30.50617
"20",35.599998,35.599998,32.540001,33.689999,8687600,30.442917
"21",33.720001,34.650002,33.490002,34.540001,3267100,31.210995
"22",34.34,34.509998,33.650002,34.150002,1942500,30.858584
"23",34.610001,34.880001,34.150002,34.619999,2707900,31.283282
"24",34.439999,34.5,33.669998,34.360001,2322300,31.048343
"25",34.400002,34.59,33.470001,34.23,2711800,30.930872
"26",34.040001,34.139999,32.189999,32.25,3192100,29.141707
"27",32.490002,32.580002,30.75,31.58,6392400,28.536282
"28",31.049999,32.990002,30.9,32.950001,4797200,29.774241
"29",33.200001,33.259998,31.92,32.040001,3583700,28.951948
"30",32.560001,33.709999,32.560001,33.529999,3654800,30.298338
"31",33.290001,34.110001,32.599998,34.080002,3842700,30.795331
"32",34.080002,34.91,33.549999,34.900002,2198800,31.536298
"33",35.07,35.389999,34.34,34.48,3587000,31.156776
"34",34.380001,34.709999,33.439999,33.610001,1828300,30.370629
"35",33.880001,34.43,32.639999,33.529999,3052600,30.298338
"36",32.990002,34.09,32.689999,34,2893600,30.72304
"37",34.619999,35.779999,34.16,35.509998,3776400,32.087503
"38",35.41,35.419998,33.880001,34.009998,3681100,30.732074
"39",34.25,34.959999,33.91,34.740002,2900000,31.391719
"40",33.939999,34.34,33,34.119999,4142300,30.831473
"41",33.599998,34.02,33.029999,33.959999,2823400,30.686894
"42",34.290001,35.290001,34.25,35.130001,3647400,31.74413
"43",34.549999,34.709999,34.139999,34.439999,2760300,31.120631
"44",33.66,34.279999,33.330002,33.57,3247400,30.334483
"45",32.900002,33.630001,31.92,33.439999,4906900,30.217012
"46",31.5,32.299999,30.85,31.049999,8842900,28.057363
"47",30.83,30.889999,29.969999,30.120001,5084000,27.216999
"48",30.27,31.459999,30.17,30.99,3549400,28.003147
"49",30.99,31.959999,30.66,31.639999,3357900,28.590499
"50",31.23,31.5,30.82,31.190001,3563500,28.183871
"51",30.969999,31.860001,30.969999,31.77,2912900,28.70797
"52",31.83,32.240002,31.15,31.23,2333400,28.220015
"53",30.780001,30.780001,30.09,30.379999,3401700,27.451939
"54",30.030001,31.280001,29.9,31.120001,3400700,28.120618
"55",31.209999,31.459999,30.17,30.190001,2785700,27.280252
"56",30.299999,30.41,29.6,30.280001,4593000,27.54405
"57",30.190001,30.280001,28.719999,28.719999,5020900,26.125003
"58",28.57,29.57,28.440001,28.92,3926300,26.306932
"59",29.48,30.360001,29.129999,30.32,3814400,27.580435
"60",31.790001,32.919998,31.379999,32.759998,6933100,29.799967
"61",33.240002,33.98,32.919998,33.470001,4601700,30.445818
"62",33.150002,33.330002,32.5,32.619999,4433300,29.672618
"63",32.540001,33.200001,32.540001,33,2901700,30.018284
"64",33.66,33.830002,32.880001,32.970001,2444000,29.990995
"65",33.040001,33.470001,32.950001,33.27,2378000,30.263888
"66",33.77,34.66,33.540001,34.299999,4201600,31.200821
"67",34.240002,35.529999,34.189999,35.279999,3429100,32.092273
"68",35.029999,36.119999,34.959999,36.080002,4817100,32.819992
"69",35.700001,36.32,35.619999,36.139999,2977200,32.874568
"70",36.360001,36.549999,35.889999,36.09,3905500,32.829087
"71",36.220001,36.619999,35.830002,36.369999,3216800,33.083786
"72",36.48,36.48,35.709999,35.919998,2717700,32.674445
"73",35.720001,36,35.07,35.599998,3347300,32.383359
"74",35.209999,35.82,34.950001,35.290001,2427200,32.101372
"75",35.869999,36.619999,35.869999,36.509998,2326400,33.211136
"76",36.330002,37.529999,36.099998,36.91,4688300,33.574995
"77",37.240002,38.41,36.779999,38.310001,4900000,34.8485
"78",38.09,38.310001,37.470001,37.599998,3679800,34.202649
"79",38,38.25,36.630001,37.200001,3380900,33.838793
"80",37.610001,37.830002,36.799999,37.110001,2838500,33.756925
"81",37.139999,37.27,36.599998,37.16,2627000,33.802407
"82",37.580002,37.880001,36.900002,37.77,3290200,34.357291
"83",37.52,37.889999,37.060001,37.540001,3637700,34.148073
"84",37.91,38.48,36.98,38.48,5611100,35.003138
"85",38.470001,39.740002,38.299999,39.060001,3641100,35.530733
"86",39.040001,39.990002,38.689999,39.110001,3811000,35.576215
"87",38.830002,39.27,38.380001,39.009998,2724400,35.485248
"88",39.389999,39.459999,38.310001,38.43,3175700,34.957656
"89",38.389999,38.720001,37.84,38.169998,2226800,34.721147
"90",38.630001,38.810001,37.919998,38.799999,2697300,35.294224
"91",38.849998,39.220001,37.650002,38.860001,4135900,35.348804
"92",38.240002,38.41,36.970001,37.34,3796200,33.966143
"93",37.470001,37.669998,36.919998,36.950001,4651100,33.611382
"94",37.099998,37.490002,35.919998,36.099998,5242700,32.838182
"95",36.200001,37.139999,36.099998,36.889999,4041300,33.556802
"96",37.330002,38.419998,37.060001,37.529999,3547500,34.138974
"97",37.110001,38.290001,36.959999,38.150002,2487700,34.702957
"98",37.73,38.32,37.150002,38.259998,3817900,34.803015
"99",38.650002,38.759998,37.720001,38.73,3800300,35.230549
"100",38.619999,38.619999,38.080002,38.509998,2629400,35.030426
"101",38.900002,39.889999,38.34,38.639999,2982800,35.148681
"102",38.970001,39.580002,38.619999,39.23,1787200,35.685371
"103",39.360001,39.509998,38.360001,39.310001,2403700,35.758145
"104",39.799999,41.970001,39.799999,41.93,4722200,38.141414
"105",41.790001,42.759998,41.790001,42.5,2590000,38.659911
"106",42.419998,42.860001,41.799999,42.77,2045700,38.905515
"107",42.830002,42.830002,41.639999,41.900002,2133400,38.114125
"108",41.84,42.619999,41.470001,42.389999,2165600,38.559849
"109",41.900002,42.59,41.610001,42.400002,1795800,38.568948
"110",42.169998,42.369999,40.990002,41.400002,3332600,37.659303
"111",42,42.299999,40.509998,41.830002,5303400,38.05045
"112",40.599998,41.48,39.919998,40.549999,5808800,36.886102
"113",40.610001,41.68,40.509998,41.419998,2640100,37.677493
"114",41.919998,42.470001,41.68,41.880001,2429800,38.095932
"115",41.880001,42.200001,41.5,42.169998,2131700,38.359726
"116",41.849998,42.970001,41.799999,42.689999,1958400,38.832742
"117",42.84,43.189999,42.189999,42.889999,2880600,39.014672
"118",43.040001,43.950001,43.040001,43.91,2766200,39.94251
"119",43.439999,43.900002,43.220001,43.610001,1405800,39.851131
"120",43.209999,43.470001,41.98,42.580002,2684400,38.90991
"121",42.119999,43.310001,42,42.799999,2500100,39.110945
"122",43.630001,43.630001,42.830002,43.43,2869700,39.686645
"123",42.75,43.25,42.009998,42.139999,4413300,38.507833
"124",41.84,42.040001,41.34,41.82,3391500,38.215415
"125",41.779999,42.830002,41.639999,42.619999,2604300,38.94646
"126",42.950001,43.18,42.259998,42.34,1924000,38.690595
"127",42.419998,42.59,41.450001,41.849998,2483400,38.242828
"128",42.150002,42.349998,41.93,42.080002,1680200,38.453007
"129",41.849998,42.380001,41.689999,42.18,1216400,38.544386
"130",42.529999,42.529999,41.360001,41.66,2654000,38.069206
"131",41.66,41.970001,41.52,41.77,1663600,38.169725
"132",41.650002,42.060001,41.389999,41.639999,1666600,38.050929
