"","TIF.Open","TIF.High","TIF.Low","TIF.Close","TIF.Volume","TIF.Adjusted"
"1",43.139999,43.860001,42.77,43.639999,2984600,39.738175
"2",43.299999,44.040001,42.939999,43.610001,2315900,39.710859
"3",44.080002,44.75,43.810001,43.959999,2039500,40.029564
"4",44.330002,44.82,43.66,44.799999,1630300,40.79446
"5",44.669998,44.939999,43.830002,44.349998,1900600,40.384694
"6",44.5,44.5,43.110001,43.790001,2794300,40.100815
"7",43.779999,44.860001,43.779999,44.439999,2621200,40.696052
"8",45.139999,45.360001,43.669998,43.990002,2844600,40.283966
"9",44.060001,44.439999,42.110001,42.169998,2443200,38.617293
"10",42.400002,42.459999,41.450001,42.040001,3369100,38.498247
"11",41.540001,41.91,40.380001,40.740002,3174600,37.307769
"12",40.830002,41.18,40.25,41.02,3177700,37.564179
"13",41.139999,41.27,40.459999,40.889999,2139200,37.44513
"14",40.110001,40.150002,38.209999,38.580002,3344400,35.329743
"15",38.57,39.279999,37.73,37.91,3490500,34.716187
"16",37.709999,38.349998,36.450001,38.110001,4381600,34.899339
"17",38.41,39.110001,36.939999,37.200001,2370700,34.066004
"18",37.98,37.98,35.810001,36.290001,4546100,33.232669
"19",36.369999,38.799999,36.27,38.700001,4360500,35.439633
"20",39.200001,39.59,38.32,38.880001,3231700,35.604469
"21",38.880001,39.060001,38.369999,39.02,1571000,35.732673
"22",38.790001,39.07,38.310001,38.77,1281400,35.503735
"23",39.240002,40.5,39.209999,40.169998,2617800,36.785787
"24",40.080002,41.099998,39.599998,41.040001,3652600,37.582494
"25",40.91,41.040001,39.93,40.790001,2701000,37.353556
"26",40.490002,40.57,39.139999,39.18,4360600,35.879194
"27",39.360001,39.52,38.470001,38.799999,3520500,35.531207
"28",38.25,39.700001,37.98,39.560001,2743600,36.227181
"29",40.080002,40.330002,39.110001,39.209999,2635900,35.906665
"30",39.790001,40.970001,39.779999,40.709999,2163300,37.280294
"31",40.810001,41.580002,40.459999,41.5,1835100,38.00374
"32",41.700001,42.139999,41.23,42.09,1444600,38.544034
"33",42.189999,42.709999,41.669998,42.009998,3038600,38.470772
"34",41.830002,42.220001,41.41,41.73,2346200,38.214363
"35",42.139999,42.400002,40.68,41.509998,2512200,38.012896
"36",40.810001,42.279999,40.130001,42.07,2753600,38.525719
"37",42.75,43.950001,42.529999,43.549999,3009500,39.881032
"38",43.490002,43.549999,41.689999,42.25,3447400,38.690554
"39",42.380001,42.860001,42.189999,42.450001,1997600,38.873706
"40",42.02,43.400002,41.630001,43.259998,3122200,39.615463
"41",42.619999,43.34,42.189999,43.34,5317300,39.688725
"42",43.360001,44.57,43.360001,44.400002,3682500,40.659424
"43",43.939999,44.200001,43.240002,44.009998,2939800,40.302278
"44",43.130001,43.330002,42.189999,42.48,3114000,38.901177
"45",41.700001,42.619999,41.25,42.439999,3126300,38.864546
"46",42.299999,42.599998,41.779999,41.790001,3404000,38.269309
"47",41.509998,42.09,41.349998,41.68,2024300,38.168576
"48",42.23,43.169998,42.139999,42.759998,2146000,39.157587
"49",42.75,43.82,42.23,43.509998,2363100,39.844401
"50",43.48,43.939999,42.509998,43.209999,3127200,39.569676
"51",42.73,43.34,42.189999,43.299999,2159300,39.652094
"52",43.650002,44.119999,42.93,43.049999,2193600,39.423156
"53",42.369999,42.77,41.5,41.98,3021200,38.443301
"54",41.639999,42.48,41.189999,42.209999,3581000,38.653924
"55",42.380001,43.060001,42.029999,42.040001,3494800,38.498247
"56",42.150002,42.490002,39.509998,40.709999,7814200,37.280294
"57",40.689999,40.869999,39.779999,39.84,3436100,36.48359
"58",39.669998,40.66,39.43,39.630001,3262000,36.291283
"59",40.07,41.349998,40.060001,41.130001,2660100,37.664912
"60",41.360001,42.110001,41.299999,42.049999,1879600,38.507403
"61",42.540001,43.150002,42.099998,42.799999,2396400,39.194218
"62",42.669998,42.779999,41.990002,42.080002,1738600,38.534878
"63",42.110001,42.709999,42.029999,42.5,1919600,38.919493
"64",43.099998,43.099998,41.91,42.150002,1698600,38.598981
"65",42.189999,42.66,42.139999,42.5,1544500,38.919493
"66",43,43.639999,42.970001,43.549999,2362200,39.881032
"67",43.509998,44.540001,43.299999,43.799999,1783300,40.109971
"68",43.540001,43.91,43.310001,43.869999,1324800,40.174073
"69",43.34,44.43,43.330002,44.419998,2073000,40.910871
"70",44.580002,45.060001,44.240002,44.98,2171800,41.426633
"71",45.119999,46.330002,44.970001,46.18,2440300,42.531836
"72",46.240002,46.27,45,45.57,2944100,41.970024
"73",45.349998,45.900002,45.139999,45.560001,2054100,41.960816
"74",43.470001,45.07,43.200001,44.689999,4078800,41.159542
"75",45.389999,45.650002,45.209999,45.509998,2492900,41.914763
"76",45.619999,46.119999,45.330002,45.860001,1635200,42.237115
"77",46.040001,47.169998,45.32,47.110001,2813800,43.388367
"78",47.009998,47.009998,46.5,46.709999,1639300,43.019965
"79",46.880001,47.200001,46.27,46.990002,1637400,43.277848
"80",47.720001,47.720001,46.48,46.970001,1495100,43.259427
"81",46.77,46.889999,45.919998,46.450001,2072300,42.780506
"82",46.98,48,46.73,47.740002,2004500,43.968599
"83",47.669998,47.849998,47.110001,47.459999,1254400,43.710716
"84",47.799999,48.23,47.150002,47.790001,1799600,44.014648
"85",47.939999,49.049999,47.880001,48.509998,1875700,44.677766
"86",48.630001,49.610001,48.630001,49.259998,1362400,45.368517
"87",49.009998,50.189999,48.669998,49.830002,2280000,45.893491
"88",50.27,50.560001,49.509998,49.900002,1867000,45.957961
"89",49.830002,49.869999,48.970001,49.439999,1983000,45.534298
"90",50.009998,50.59,49.529999,50.540001,2090600,46.547401
"91",50.330002,50.830002,50.18,50.610001,1537100,46.611871
"92",49.990002,50.240002,49.189999,49.400002,2613400,45.49746
"93",49.419998,50.139999,49.380001,49.849998,1341400,45.911908
"94",50.16,51.450001,49.939999,50.540001,1811000,46.547401
"95",50.580002,50.880001,50.200001,50.48,1001100,46.49214
"96",51,51.790001,50.990002,51.5,1400200,47.431562
"97",51.099998,52.880001,51.099998,52.41,2337100,48.269673
"98",51.939999,52.279999,50.990002,51.59,1968900,47.514452
"99",51.849998,52.169998,50.849998,51.5,1478600,47.431562
"100",51.540001,53,51.459999,53,1982300,48.813063
"101",53.119999,53.970001,52.959999,53.48,2297600,49.255144
"102",53.740002,54.48,53.709999,54.099998,2536000,49.826163
"103",54.169998,54.290001,53.18,53.900002,1725600,49.641966
"104",54.439999,55.939999,54.259998,55.869999,2475700,51.456336
"105",55.970001,57.380001,55.799999,56.950001,1624200,52.451019
"106",56.639999,57.040001,56.200001,56.970001,1247900,52.469439
"107",57.25,57.790001,56.52,56.84,1921800,52.349708
"108",56.799999,57.689999,56.360001,57.669998,1578200,53.114137
"109",56.900002,57.779999,56.799999,57.040001,1965100,52.533909
"110",57.02,57.73,55.400002,55.66,2511000,51.262926
"111",56.130001,57.240002,56.09,56.209999,1503900,51.769476
"112",55.830002,56.900002,54.200001,54.540001,3846200,50.231406
"113",54.650002,56.200001,54.650002,55.66,2089000,51.262926
"114",56.59,57.349998,55.540001,56.869999,1643000,52.377337
"115",56.889999,58.07,56.299999,58.029999,1718900,53.445698
"116",57.880001,59.59,57.650002,59.220001,3492500,54.541692
"117",58.5,59.029999,57.25,58.27,4595800,53.66674
"118",60.41,61.580002,59.75,61.330002,6792200,56.485005
"119",61.16,61.189999,60.310001,60.599998,1581200,55.812671
"120",60.48,60.98,59.889999,60.639999,2117500,55.849512
"121",60.110001,62.669998,59.900002,62.099998,3075700,57.194173
"122",62.950001,63.650002,62.389999,62.75,2418700,57.792825
"123",62.900002,63.419998,62.5,63.200001,2865500,58.207276
"124",62.799999,63.389999,62.139999,63.299999,2521200,58.299375
"125",63.119999,63.290001,62.549999,63.07,1243400,58.087545
"126",64.07,64.400002,63.040001,63.099998,2284400,58.115174
"127",63.32,63.459999,62.119999,62.689999,1311200,57.737564
"128",63.220001,63.23,62.299999,62.57,1496400,57.627045
"129",62.630001,63.830002,62.599998,63.68,965500,58.649356
"130",64.199997,64.279999,63.48,63.52,1067000,58.501996
"131",63.540001,63.950001,62.889999,63.169998,986800,58.179644
"132",63.330002,64.169998,62.950001,63.360001,1119400,58.354636
"133",63.150002,64.809998,63.049999,64.610001,1293200,59.741611
"134",64.139999,65.199997,64.110001,65.160004,1456600,60.250171
"135",65.300003,65.5,64.5,65.269997,1198700,60.351876
