"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"1",41.779999,42.310001,41.66,42.049999,3678600,38.03454
"2",41.700001,42.259998,41.700001,42,4021100,37.989316
"3",42.209999,42.740002,42.07,42.18,3863000,38.152127
"4",42.419998,43.380001,42.419998,43.380001,5845500,39.237537
"5",43.009998,43.029999,42.580002,42.73,4706600,38.649606
"6",42.779999,43.009998,42.259998,42.580002,4891300,38.513932
"7",42.689999,42.790001,42.330002,42.490002,4032300,38.432526
"8",43.470001,43.5,42.59,42.790001,7752700,38.703878
"9",43.150002,43.150002,41.919998,41.990002,5846300,37.980272
"10",42.110001,42.169998,41.310001,41.41,5298400,37.455656
"11",41.209999,41.369999,40.810001,40.970001,6027800,37.057674
"12",41.07,41.310001,40.740002,40.959999,5058300,37.048627
"13",41.130001,41.209999,40.470001,40.52,2745800,36.650645
"14",40.080002,40.169998,39.169998,39.369999,5326300,35.61046
"15",39.400002,39.669998,38.939999,39.040001,4807900,35.311974
"16",38.950001,39.25,38.25,39.09,5311500,35.357199
"17",39.139999,39.25,38.41,38.529999,3544300,34.850674
"18",38.98,39.580002,38.43,38.700001,5080400,35.004442
"19",38.82,39.77,38.66,39.709999,4227900,35.917993
"20",39.860001,40.200001,39.700001,39.98,4057100,36.16221
"21",39.889999,40.330002,39.889999,40.27,2614200,36.424518
"22",40.310001,41.060001,40.02,40.869999,5249600,36.967221
"23",41.740002,41.82,41.209999,41.709999,6371100,37.727008
"24",40.07,41.150002,39.75,41,10737600,37.272464
"25",41,41.27,40.310001,41.200001,5101700,37.454282
"26",40.950001,41.200001,39.959999,40.07,4388700,36.427016
"27",40.07,40.330002,39.57,40,3549800,36.36338
"28",39.490002,41.200001,39.419998,41.150002,4036700,37.408829
"29",41.290001,41.290001,39.669998,39.860001,5591800,36.236109
"30",40.259998,41.259998,40.119999,41.169998,4664400,37.427007
"31",41,41.700001,40.849998,41.619999,4116000,37.836096
"32",41.619999,42.27,41.540001,42.139999,3435600,38.30882
"33",42.360001,42.560001,41.869999,41.939999,3535600,38.127003
"34",41.84,42.240002,41.369999,41.52,3252800,37.745189
"35",41.84,42.139999,41.09,41.330002,3167600,37.572464
"36",41.07,41.57,40.720001,41.299999,3076100,37.545189
"37",41.790001,42.16,41.720001,42.040001,2447700,38.217913
"38",42,42.049999,41.330002,41.389999,3191400,37.627007
"39",41.59,41.889999,41.41,41.75,2978300,37.954278
"40",41.759998,42.450001,41.560001,42.41,4055800,38.554273
"41",42,42.400002,41.73,42.360001,3096000,38.50882
"42",42.560001,43.099998,42.560001,42.689999,3011900,38.808816
"43",42.43,42.720001,42,42.389999,3383500,38.536091
"44",41.799999,41.799999,41.049999,41.150002,3474200,37.408829
"45",40.700001,41.169998,40.540001,41,2353300,37.272464
"46",40.799999,41.040001,40.619999,40.849998,2005600,37.1361
"47",40.73,41.040001,40.509998,40.93,1723300,37.208829
"48",41.209999,42.25,41.02,42.02,2886100,38.199731
"49",41.810001,42.470001,41.599998,42.169998,2413300,38.336092
"50",42.029999,42.27,41.450001,41.91,2693300,38.099731
"51",41.549999,42.400002,41.549999,42.32,2534800,38.472456
"52",42.419998,42.639999,41.880001,41.91,3419500,38.099731
"53",41.41,41.959999,41,41.59,3427600,37.808824
