"","CRM.Open","CRM.High","CRM.Low","CRM.Close","CRM.Volume","CRM.Adjusted"
"1",91.360001,92.650002,90.339996,92.419998,9740000,23.105
"2",90.489998,96.870003,90.489998,96.639999,14185600,24.16
"3",96.949997,97.089996,93.290001,93.5,15007600,23.375
"4",94.309998,95.620003,93.43,95.010002,13090400,23.752501
"5",94.220001,95.07,93.129997,94.339996,10197200,23.584999
"6",94.970001,97.580002,94.330002,97.099998,14103200,24.275
"7",96.879997,97,95.349998,95.720001,10055600,23.93
"8",97.400002,97.940002,94.57,95.410004,11048400,23.852501
"9",94.900002,95.809998,91.330002,91.900002,13329600,22.975
"10",92.75,93.800003,90.760002,92.940002,11338400,23.235001
"11",93.510002,93.639999,90.389999,91.040001,11480400,22.76
"12",91.809998,91.980003,89.68,91.620003,8297200,22.905001
"13",91.889999,92.330002,90.870003,91.279999,6393200,22.82
"14",89.709999,89.709999,84.5,85.410004,15199200,21.352501
"15",85.059998,87.57,84.889999,85.82,15501600,21.455
"16",85.660004,87.620003,83.610001,87.07,13087200,21.7675
"17",87.32,88.949997,86.360001,87.110001,9820800,21.7775
"18",88.82,90.169998,86.949997,88.110001,10732400,22.0275
"19",88.010002,91.480003,87.790001,91.379997,11062000,22.844999
"20",92.889999,93.080002,90.099998,91.57,7910800,22.8925
"21",91.419998,92.370003,90.919998,91.779999,4437200,22.945
"22",91.43,92.75,90.519997,91.849998,4533600,22.9625
"23",92.870003,94.279999,92,93.650002,6200400,23.4125
"24",94.959999,96.43,94.379997,95.730003,8605200,23.932501
"25",95.900002,96.209999,94.43,95.989998,6092400,23.997499
"26",95.290001,95.389999,91.790001,92.050003,7004400,23.012501
"27",92.029999,93.550003,91.550003,92.629997,7998400,23.157499
"28",90.57,93.290001,89.449997,93.120003,6506800,23.280001
"29",93.699997,94.480003,91.82,92.160004,5971600,23.040001
"30",93.730003,96.43,93.5,95.93,6374400,23.9825
"31",95.720001,100.300003,94.690002,99.769997,12543200,24.942499
"32",100,101.489998,98.870003,100.07,10813600,25.0175
"33",100.610001,100.980003,97.75,98.800003,6792000,24.700001
"34",98.540001,99.75,97.470001,98.110001,4661600,24.5275
"35",99.480003,99.980003,96.269997,97.790001,6449600,24.4475
"36",96.849998,99.440002,96.099998,98.949997,5489200,24.737499
"37",101.099998,102.489998,100.059998,101.910004,6564400,25.477501
"38",101.790001,101.970001,100.25,101.010002,5140000,25.252501
"39",101.199997,103.769997,100.980003,103.559998,5920000,25.889999
"40",103.459999,103.459999,101.900002,102.690002,4642400,25.672501
"41",101.419998,102.419998,99.879997,102.330002,5499600,25.5825
"42",102.360001,104.440002,102.150002,104.059998,6108400,26.014999
"43",101.959999,102.459999,100.870003,101.650002,7448000,25.4125
"44",99.120003,99.25,97.239998,97.910004,9782400,24.477501
"45",95.699997,97.800003,95.099998,96.949997,10554000,24.237499
"46",96.980003,98.199997,96.470001,97.239998,7770400,24.309999
"47",96.889999,97.480003,95.75,96.629997,7285200,24.157499
"48",98.389999,100.639999,97.510002,99.330002,9106400,24.8325
"49",99.5,99.889999,97.970001,99.330002,7196000,24.8325
"50",99.440002,99.900002,96.360001,96.410004,13326800,24.102501
"51",104.25,112.989998,104.139999,112.75,42439200,28.1875
"52",110.720001,113.400002,108.75,112.279999,27180400,28.07
"53",108.440002,114.150002,108.300003,113.290001,27593200,28.3225
"54",111.82,113.440002,109.360001,112.190002,18384000,28.047501
"55",112.269997,113.300003,109.800003,109.839996,13586400,27.459999
"56",110.529999,112.199997,107.25,111.480003,12054800,27.870001
"57",110.169998,112.279999,109.07,109.169998,8872800,27.2925
"58",108.529999,110.650002,108.309998,109.879997,12160400,27.469999
"59",111.889999,116.809998,111.300003,116.400002,20854800,29.1
"60",115.970001,119.589996,115.629997,119.120003,14759600,29.780001
