"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"1",38.849998,38.990002,38.57,38.779999,988200,19.389999
"2",38.599998,39.279999,37.59,38.93,1628800,19.465
"3",38.959999,39.380001,38.439999,38.860001,1652400,19.43
"4",38.779999,39.5,38.599998,39.279999,1315200,19.639999
"5",39.009998,39.490002,38.860001,38.950001,1156600,19.475
"6",39.060001,39.5,38.830002,39.18,1130200,19.59
"7",39.27,39.799999,39.049999,39.529999,1958200,19.764999
"8",39.75,40.529999,39.639999,39.970001,1851400,19.985001
"9",40.049999,40.060001,39.369999,39.459999,1534200,19.73
"10",39.419998,39.419998,38.919998,39.200001,1134000,19.6
"11",38.959999,40.049999,38.790001,39.650002,3044800,19.825001
"12",39.639999,40,39.27,39.73,3032800,19.865
"13",39.860001,40.619999,39.529999,40.419998,1908800,20.209999
"14",40.009998,40.130001,39.400002,39.529999,1725200,19.764999
"15",39.419998,40.009998,39.09,39.110001,1473000,19.555
"16",38.91,39.459999,38.02,39.27,2505600,19.635
"17",39.5,40.400002,39.330002,40.119999,2013400,20.059999
"18",40.450001,41.029999,40.169998,40.759998,1621000,20.379999
"19",40.959999,42.189999,40.959999,41.689999,2595000,20.844999
"20",41.93,42.139999,41.23,42.040001,2740400,21.02
"21",41.880001,42.810001,41.790001,42.73,1864400,21.365
"22",42.5,42.509998,41.02,41.43,1766600,20.715
"23",41.66,41.779999,41.330002,41.529999,1110000,20.764999
"24",41.549999,41.810001,41.32,41.77,1494400,20.885
"25",41.860001,42.099998,41.52,42.060001,749200,21.030001
"26",42.02,42.040001,41.009998,41.09,745400,20.545
"27",41,41.23,40.41,41.110001,843600,20.555
"28",40.709999,42.349998,40.549999,42.27,1335200,21.135
"29",42.389999,42.790001,42.099998,42.5,1427800,21.25
"30",42.790001,43.419998,42.650002,42.939999,1903600,21.469999
"31",42.939999,43.240002,42.720001,43.009998,2120600,21.504999
"32",43,43.240002,42.740002,43.240002,948800,21.620001
"33",43.330002,43.490002,42.939999,43.060001,682200,21.530001
"34",43,43.060001,41.799999,41.860001,1849200,20.93
"35",42.189999,42.650002,41.169998,41.759998,1666800,20.879999
"36",41.52,42.150002,41.099998,41.889999,2107200,20.945
"37",42.459999,42.459999,41.689999,41.91,1676800,20.955
"38",41.900002,42.299999,41.580002,41.880001,2364200,20.940001
"39",42.110001,42.23,41.630001,41.709999,1729200,20.855
"40",41.490002,41.790001,40.810001,41.509998,3073800,20.754999
"41",43.860001,44.990002,43.25,44.689999,6944400,22.344999
"42",44.75,45.799999,44.599998,45.439999,2881000,22.719999
"43",44.790001,45.48,44.509998,45.299999,2292200,22.65
"44",44.599998,45,44.509998,44.610001,1279600,22.305
"45",44.009998,44.93,43.66,44.689999,1309400,22.344999
"46",44.509998,45.169998,44.240002,44.310001,1264600,22.155001
"47",44.110001,44.490002,43.759998,44.369999,816400,22.184999
"48",44.540001,45.450001,44.48,45.080002,1242600,22.540001
"49",44.950001,45.759998,44.810001,45.41,820600,22.705
"50",45.349998,45.860001,44.939999,45.599998,1417400,22.799999
"51",45.389999,45.880001,45.060001,45.75,1178000,22.875
"52",45.810001,46.650002,45.630001,46.110001,1547600,23.055
"53",45.57,45.950001,45.09,45.369999,1202600,22.684999
"54",45.25,45.369999,44.43,44.860001,1279200,22.43
"55",45.080002,45.16,44.619999,44.91,788200,22.455
"56",45.279999,46,44.700001,45.779999,1530400,22.889999
"57",45.560001,45.990002,44.919998,44.950001,1005600,22.475
"58",44.799999,45.220001,44.639999,45.040001,2101600,22.52
"59",45.509998,45.93,45.240002,45.689999,1171000,22.844999
"60",45.900002,46.279999,45.57,46.200001,1063600,23.1
"61",46.41,47.41,45.950001,47.27,2296800,23.635
"62",47.18,47.849998,46.73,47.549999,2465000,23.775
"63",47.900002,47.959999,46.549999,46.700001,1978200,23.35
"64",46.810001,47.169998,45.82,46.23,1256800,23.115
"65",46.240002,46.25,45.73,45.880001,1279800,22.940001
"66",46.029999,46.380001,45.889999,46.240002,1052600,23.120001
"67",46.240002,46.959999,46.150002,46.41,2937400,23.205
"68",46.200001,46.580002,46.09,46.16,1715000,23.08
"69",46.200001,46.5,45.799999,45.860001,1420600,22.93
"70",45.860001,45.860001,45.43,45.48,2407600,22.74
"71",45.630001,45.950001,45.380001,45.869999,1608800,22.934999
"72",45.939999,45.939999,45.34,45.669998,1181800,22.834999
"73",45.560001,46.049999,45.189999,45.349998,789400,22.674999
"74",45.080002,45.84,44.5,45.48,1061200,22.74
"75",45.950001,46.48,45.73,46.259998,1506200,23.129999
"76",46.380001,47.389999,46.34,47.189999,2003400,23.594999
"77",47.389999,47.830002,46.380001,47.259998,1062800,23.629999
"78",47.049999,47.18,46.68,46.82,651200,23.41
"79",46.860001,47.450001,46.459999,46.619999,1408000,23.309999
"80",46.919998,46.98,45.939999,46.959999,959400,23.48
"81",46.970001,47.060001,45.509998,45.669998,1170600,22.834999
"82",46.009998,47.130001,46.009998,46.98,1160200,23.49
"83",47.150002,47.720001,46.84,47.580002,1389200,23.790001
"84",47.560001,47.669998,46.290001,46.919998,1014000,23.459999
"85",47.209999,47.41,46.639999,47.189999,1394400,23.594999
"86",47.279999,47.610001,47,47.360001,708800,23.68
"87",47.299999,48.360001,47.299999,47.860001,1628400,23.93
"88",47.93,48.830002,47.82,48.52,1868000,24.26
"89",48.630001,50.84,48.259998,50.73,3142800,25.365
"90",50.939999,51.25,49.43,50.16,2880000,25.08
"91",50.060001,50.610001,49.830002,50,1256200,25
"92",49.619999,50.110001,49.209999,49.73,1018400,24.865
"93",49.919998,51.110001,49.790001,50.34,1449600,25.17
