"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"390",73.060003,73.229999,72.67,72.92,1686300,62.204924
"391",73.199991,73.759997,72.969997,73.730006,1495000,62.895905
"392",73.690003,74.000002,73.379989,73.820004,1091500,62.972679
"393",73.889998,73.99,73.339995,73.379989,1500900,62.597321
"394",73.669998,74.059993,73.569997,74.000002,1283800,63.126228
"395",73.55,73.769992,73.300008,73.559994,1451600,62.750876
"396",73.959992,73.979997,73.179994,73.219996,2479800,62.460838
"397",73.290006,73.500003,72.789999,72.989994,2391100,62.264633
"398",72.999996,73.169991,72.500005,72.789999,2579500,62.094026
"399",72.720005,72.89,72.429996,72.62999,2252800,61.957529
"400",72.830001,72.910005,72.449993,72.710003,2052600,62.025784
"401",73.179994,73.260006,72.769994,72.879998,2833200,62.1708
"402",72.869995,73.099998,72.429996,72.529997,2722400,61.872229
"403",72.529997,72.940005,72.360002,72.840004,2175400,62.136683
"404",72.680003,72.900003,72.330002,72.7,2063500,62.017252
"405",73.260006,73.789997,73.219996,73.650001,2870800,62.827657
"406",73.699998,74.059993,73.519992,73.969995,2482500,63.100629
"407",74.000002,74.199997,73.639999,74.160003,2625600,63.262717
"408",74.15,74.250002,73.250004,73.830007,3178900,62.981212
"409",73.820004,73.910003,73.260006,73.519992,2970300,62.716752
"410",71.960004,72.739994,70.800006,72.269987,6502800,61.650426
"411",71.549996,72.199993,71.269997,71.869997,4270400,61.309212
"412",71.849992,72.429996,71.66,71.980001,2754600,61.403051
"413",71.980001,72.089997,71.089991,71.129994,2562900,60.677946
"414",70.969993,71.610003,70.500002,71.339999,3171300,60.857093
"415",71.47,71.830003,71.299997,71.559999,2253200,61.044765
"416",71.629992,72.309997,71.570001,72.050003,2494000,61.462767
"417",72.26,72.439998,71.950002,72.309997,1876700,61.684557
"418",72.589996,72.730008,72.05999,72.230001,1970500,61.616315
"419",72.160007,72.649995,72.05999,72.199993,1911900,61.590717
"420",72.019995,72.269987,71.739996,71.739996,2729000,61.198314
"421",71.920002,71.989996,71.499999,71.699994,2013400,61.164189
"422",71.699994,71.899997,71.400006,71.879992,1771400,61.317738
"423",71.669995,71.719999,71.370006,71.559999,2159200,61.044765
"424",71.879992,71.999998,71.649998,71.739996,1543000,61.198314
"425",71.549996,71.889994,71.239997,71.629992,2438200,61.104474
"426",71.289994,71.529999,71.040003,71.199995,2633800,60.737662
"427",71.499999,71.719999,71.25,71.429998,2207800,60.933867
"428",71.800004,71.91,71.299997,71.570001,2334400,61.053298
"429",71.570001,71.739996,71.180006,71.400006,1920300,60.908282
"430",71.719999,71.719999,70.940001,71.230003,2621600,60.76326
"431",71.069994,72.010001,71.059992,71.899997,2001600,61.334803
"432",71.849992,71.849992,71.309991,71.809998,2228600,61.258029
"433",71.499999,71.969999,71.480002,71.849992,1825100,61.292146
"434",71.980001,72.330002,71.760001,72.230001,2135400,61.616315
"435",72.190007,73.11,72.160007,72.879998,3791400,62.1708
"436",72.759999,72.999996,71.859995,72.170002,2765300,61.565133
"437",72.419993,72.569999,72.150004,72.349999,1877000,61.718681
"438",72.360002,72.779996,72.349999,72.659998,2080600,61.983127
"439",72.459995,72.84999,72.400004,72.599999,2722600,61.931945
"440",71.91,71.91,71.260003,71.44,3671400,61.569969
"441",71.760001,71.999998,71.580004,71.790001,2126500,61.871615
