"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"1",55.880001,56.619999,55.830002,56.34,1020300,49.936914
"2",56.240002,56.240002,55.549999,56.07,1291800,49.697599
"3",56.380001,57.169998,56.32,56.860001,844900,50.397816
"4",57.16,57.630001,57.110001,57.540001,998000,51.000534
"5",57.099998,57.950001,56.779999,57.75,871900,51.186666
"6",59.389999,61.810001,59.259998,61.549999,2760300,54.554793
"7",62.599998,63.330002,61.900002,62.099998,1737800,55.042284
"8",62.700001,62.700001,61.599998,61.869999,826600,54.838424
"9",61.880001,62.470001,61.720001,61.82,1015300,54.794107
"10",61.990002,62.040001,61.119999,61.459999,799300,54.475021
"11",61.18,62.830002,61.18,62.619999,1568700,55.503186
"12",62.860001,62.919998,61.689999,62.02,1450500,54.971378
"13",61.959999,62.25,61.669998,62.040001,630900,54.989105
"14",61.68,61.939999,60.25,60.68,1654200,53.78367
"15",60.389999,60.619999,59.52,60.220001,1668100,53.37595
"16",60,60.049999,59.34,59.900002,1274100,53.092319
"17",59.93,60.200001,59.349998,59.68,710900,52.897321
"18",59.98,60.900002,59.810001,60.900002,1370600,53.978668
"19",61.07,62.209999,60.82,62.209999,960600,55.139783
"20",62.52,62.560001,62.009998,62.540001,952700,55.43228
"21",62.639999,62.77,62.23,62.360001,698000,55.272737
"22",62.360001,62.529999,62,62.380001,423300,55.290464
"23",62.599998,62.740002,62.189999,62.41,586400,55.317054
"24",62.369999,62.490002,62.099998,62.459999,495900,55.36137
"25",62.419998,62.900002,62.049999,62.759998,675700,55.627274
"26",62.639999,62.849998,61.450001,61.509998,605000,54.519338
"27",61.68,62.009998,61.43,61.630001,549300,54.625702
"28",61.040001,61.779999,60.540001,61.779999,812300,54.758653
"29",61.779999,62.130001,61.189999,61.439999,805100,54.457294
"30",61.880001,62.630001,61.529999,62.52,840300,55.414552
"31",62.310001,62.970001,62.200001,62.779999,696100,55.645002
"32",62.990002,63.220001,62.59,63.209999,490500,56.026132
"33",63.32,63.75,62.93,63.68,728300,56.442717
"34",63.52,63.639999,62.009998,62.09,718200,55.033422
"35",62.220001,62.380001,60.959999,61.09,602500,54.147073
"36",60.779999,61.75,60.349998,61.43,550300,54.448432
"37",61.02,61.02,59.580002,59.709999,1557900,52.92391
"38",59.290001,59.790001,59.110001,59.5,787700,52.737777
"39",59.509998,59.970001,59.400002,59.57,611600,52.799822
"40",59.619999,59.619999,58.400002,58.810001,775500,52.126198
"41",58.48,59.130001,58.400002,58.799999,849400,52.117332
"42",58.849998,58.860001,58.130001,58.549999,830000,51.895745
"43",58.459999,59,58.240002,58.650002,873100,51.984382
"44",57.799999,57.880001,57.23,57.82,896200,51.60063
"45",57.23,57.990002,57.200001,57.93,1074000,51.698799
"46",57.869999,58.400002,57.869999,58.150002,1000500,51.895136
"47",57.82,58.509998,57.439999,58.360001,638500,52.082546
"48",58.68,59.57,58.32,59.16,1063000,52.796494
"49",59.200001,59.32,58.709999,58.970001,888400,52.626933
"50",58.490002,58.490002,57.369999,58.029999,1348500,51.788041
"51",58.209999,59.82,58.009998,59.650002,1458800,53.233789
"52",59.860001,60.790001,59.68,59.790001,926800,53.35873
"53",59.57,59.860001,58.619999,58.830002,996700,52.501992
"54",58.73,59.009998,58.360001,58.810001,533100,52.484143
"55",58.900002,59.16,58.23,58.34,548900,52.064697
"56",58.419998,58.560001,57.709999,58.330002,1315500,52.055774
"57",58.459999,59.07,58.099998,58.150002,700400,51.895136
