"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"1",56.84,58,56.549999,57.869999,4373400,51.357074
"2",57.23,58.970001,56.950001,58.860001,3544000,52.235657
"3",59.450001,59.689999,57.27,57.639999,6107200,51.15296
"4",58.459999,59.509998,57.400002,59.5,6232800,52.803628
"5",59.009998,59.68,58.619999,59.34,3372400,52.661636
"6",59.830002,59.959999,58.259998,59.419998,4043800,52.73263
"7",59.5,59.849998,58.75,59.259998,5729700,52.590638
"8",60,61.43,59.849998,60.450001,5562200,53.646712
"9",60.380001,60.75,58.919998,59.099998,3965500,52.448645
"10",59.07,59.849998,58.209999,59.209999,3200700,52.546265
"11",58.73,59.419998,58.060001,58.189999,3722600,51.64106
"12",58.73,59.860001,58.119999,59.740002,8440100,53.016619
"13",59.509998,59.509998,58.360001,58.509998,2993200,52.187115
"14",57.540001,57.549999,54.900002,55.43,5541200,49.439957
"15",56.119999,57.529999,55.459999,55.68,6621200,49.662941
"16",55.98,56.18,53.689999,55.209999,6218200,49.24373
"17",55.299999,55.900002,53.919998,54.5,3892000,48.610457
"18",55.709999,56.060001,54.130001,54.630001,3787300,48.72641
"19",54.689999,56.599998,54.389999,56.599998,3406900,50.483519
"20",57.02,57.279999,56.139999,57.259998,3333400,51.072196
"21",57.200001,58.540001,56.869999,58.009998,3693200,51.741147
"22",57.689999,57.98,56.790001,57.48,3252000,51.268423
"23",58.330002,59.549999,58.09,59.369999,4090400,52.954179
"24",58.98,59.799999,58.490002,59.720001,3625300,53.266359
"25",59.630001,61.32,59.02,61.080002,6389600,54.479391
"26",60.450001,61.09,59.52,59.73,5054000,53.275277
"27",60.220001,60.669998,59.259998,60.110001,3005000,53.614213
"28",59.02,60.959999,58.939999,60.689999,4363700,54.131533
"29",61.330002,63,61.200001,61.759998,5801600,55.085904
"30",62.490002,63.470001,62.27,62.810001,4502000,56.022438
"31",62.73,64.830002,62.59,64.5,5306100,57.529807
"32",64.5,64.989998,63.900002,64.980003,4612700,57.957939
"33",65.019997,65.190002,63.82,64.279999,4014200,57.33358
"34",63.970001,64.629997,63.950001,64.18,1926800,57.244388
"35",64.650002,65.18,63.290001,64.510002,3724800,57.538728
"36",64,67.089996,63.900002,66.68,6414600,59.474225
"37",67.879997,67.940002,66.93,67.169998,4823000,59.911272
"38",66.860001,67.239998,65.959999,66.82,3461500,59.599096
"39",67,67.849998,66.540001,67.559998,3191100,60.259126
"40",67.449997,69.099998,67.290001,67.980003,4430900,60.633744
"41",67.559998,68.300003,66.75,68.040001,4922400,60.687258
"42",68.93,69.470001,68.239998,69.290001,3990100,61.802176
"43",68.559998,68.779999,67.389999,67.919998,4241800,60.580223
"44",66.480003,66.730003,64.959999,65.339996,5413900,58.279029
"45",64.459999,65.910004,64.110001,65.529999,3880900,58.448499
"46",65.279999,65.339996,64.300003,64.849998,2642100,57.841983
"47",64.779999,66.330002,64.160004,65.589996,3427800,58.502013
"48",66.790001,67.75,66.269997,67.230003,5731400,59.964792
"49",67.139999,67.5,65.459999,65.980003,9533500,58.849874
"50",66.699997,66.900002,64.779999,65.709999,5010800,58.609047
"51",65,65.529999,64.779999,65.129997,4123700,58.091724
"52",65.550003,65.650002,62.450001,63.02,5788500,56.209744
"53",61.68,63.27,61.5,62.34,5831900,55.603227
"54",61.57,63.130001,60.450001,62.860001,5771900,56.067034
"55",62.880001,64.190002,62.650002,62.75,4808300,55.968921
"56",63.389999,64.849998,61.900002,64.629997,4832100,57.645756
"57",64.480003,64.599998,62.98,62.98,4068500,56.174065
"58",62.27,64.25,62.110001,63.27,3569200,56.432727
"59",64.690002,66.68,64.470001,66.529999,5450700,59.340434
