"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"1",67.57,70.839996,67.57,70.480003,3982600,64.719857
"2",69.040001,72.43,68.919998,72.220001,2585100,66.317649
"3",73.690002,74.339996,72.080002,72.410004,2619200,66.492123
"4",73,75.459999,72.980003,75.370003,2652100,69.210209
"5",74.620003,75.040001,74.040001,74.510002,3103900,68.420494
"6",75.150002,75.199997,72.959999,73.809998,2259000,67.777699
"7",74.059998,74.949997,73.349998,74.300003,2796500,68.227658
"8",76,77.099998,74.330002,74.970001,3687300,68.842899
"9",75.010002,75.57,72.010002,72.209999,3050500,66.308465
"10",72.300003,73.849998,70.610001,73.150002,2393800,67.171643
"11",72.089996,72.849998,70.75,71.360001,2625000,65.527934
"12",71.849998,72.690002,70.540001,72.589996,5343100,66.657406
"13",72.57,72.760002,70.400002,70.459999,3046100,64.701488
"14",68.980003,69.019997,65.5,66.239998,4498100,60.826376
"15",66.190002,67.360001,65.019997,65.129997,3268500,59.807093
"16",64.870003,66.639999,63.240002,64.82,5136200,59.522431
"17",65.010002,65.669998,63.709999,64.239998,3766900,58.989831
"18",65.860001,66.300003,63.040001,63.57,3913900,58.37459
"19",63.689999,67.589996,63.580002,67.410004,4362500,61.90076
"20",68.279999,69.199997,67.190002,68.940002,3937700,63.305716
"21",69,71.639999,68.370003,71.529999,3400900,65.684039
"22",71.260002,71.699997,69.870003,70.660004,3155700,64.885146
"23",72.349998,74.239998,71.959999,73.730003,4266500,67.704243
"24",73.480003,75.379997,72.900002,74.639999,4053000,68.539867
"25",74.940002,74.940002,72.050003,72.699997,4563000,66.758416
"26",71.779999,72.540001,69.360001,69.5,3625200,63.819947
"27",70.43,71.010002,68.519997,70.660004,1924400,64.885146
"28",68.989998,72.739998,68.82,72.540001,2450500,66.611496
"29",73.5,75.239998,72.769997,73.150002,3241200,67.171643
"30",75.209999,76.360001,74.599998,75.900002,2723800,69.696893
"31",75.5,77.980003,74.599998,76.970001,3089100,70.679444
"32",76.900002,78.43,76.699997,77.849998,2917300,71.487522
"33",82.18,82.339996,78.620003,79.43,6302100,72.938394
"34",79.25,80.389999,79.010002,79.760002,3043500,73.241426
"35",80.93,81.089996,78.269997,79.139999,2400000,72.672094
"36",77.699997,80.139999,77.010002,79.610001,2580900,73.103683
"37",81.480003,82.129997,80.779999,81.410004,2388000,74.756577
"38",81.199997,81.870003,79.470001,80.040001,3143900,73.498541
"39",80.519997,81.639999,79.470001,81.489998,2886500,74.830033
"40",81.050003,81.980003,80.150002,81.639999,1940900,74.967776
"41",80.940002,82.209999,79.650002,81.129997,2542100,74.499455
"42",82.040001,82.459999,80.760002,81.120003,1879800,74.490277
"43",80,81.879997,79.559998,81.480003,3047300,74.820856
"44",79.260002,80.129997,77.169998,77.809998,4582600,71.45079
"45",75.510002,78.519997,75,77.970001,4736600,71.597717
"46",77.699997,78.419998,77.019997,77.75,2055400,71.395696
"47",77.059998,78.419998,76,77.769997,1508900,71.414058
"48",78.860001,81.239998,78.690002,80.57,2447000,73.985224
"49",80.599998,82.169998,79.370003,81.830002,2484100,75.14225
"50",81.239998,82.690002,80.389999,81.239998,3441900,74.841001
"51",82.07,82.150002,78.650002,79.510002,2834100,73.247271
"52",80.190002,80.190002,76.040001,76.5,3334200,70.474356
"53",75,76.239998,73.760002,74.769997,3401100,68.880619
"54",73.800003,74.300003,71.510002,73.480003,4159100,67.692234
"55",74.230003,75.620003,72.480003,72.57,3194400,66.853909
"56",73.709999,76.5,71.970001,76.190002,3183400,70.188776
"57",75.32,76,73.660004,73.82,1961500,68.00545
"58",73.239998,75.230003,72.510002,74.410004,2664900,68.548982
"59",77.07,81.209999,77,79.879997,5080100,73.588123
"60",79.739998,81.839996,79.089996,81.800003,3320500,75.356896
"61",82.910004,84.690002,82.160004,83.160004,3054500,76.609774
"62",82.43,82.75,80.75,80.879997,2242200,74.509356
"63",81,82.419998,80.339996,81.959999,1915200,75.50429
"64",83.330002,83.489998,80.849998,81.440002,1508400,75.025252
"65",81.879997,82.82,81.239998,81.919998,1734600,75.46744
"66",84.279999,84.93,83.339996,84.809998,2502600,78.129804
"67",84.18,85.580002,83.650002,85.019997,1744000,78.323262
"68",84.150002,84.489998,82.300003,83.32,3102000,76.757168
"69",83.029999,84.5,82.769997,84.080002,2203300,77.457307
"70",84.739998,85.57,83.019997,85.139999,2746500,78.433812
"71",85.860001,88.43,85.32,87.949997,2676500,81.022476
"72",88.599998,90.470001,87.849998,89.129997,3432300,82.109532
"73",89.110001,90,87.669998,88.389999,2249000,81.427821
"74",87.160004,89.620003,86.75,88.309998,3239800,81.354121
"75",90,92.5,90,90.860001,3285600,83.703269
"76",90.860001,90.860001,89.339996,89.599998,1831200,82.542513
"77",90.059998,91.169998,88.239998,90.959999,1971400,83.795391
"78",90.769997,91.900002,90.349998,91.300003,1917100,84.108614
"79",92.400002,92.860001,89.68,90.580002,2607700,83.445324
"80",91.370003,91.699997,89.660004,91.309998,2543500,84.117821
"81",91.25,91.68,88.849998,89.690002,3094400,82.625427
"82",91.349998,92.970001,90.629997,92.239998,2479800,84.974568
"83",92.190002,93.599998,91.93,93.220001,1873300,85.87738
"84",93.699997,93.800003,90.830002,92.279999,2555200,85.011418
"85",92.589996,93.660004,91.519997,92.910004,1812800,85.5918
"86",93.190002,94.190002,92.5,93.059998,1070000,85.729979
"87",92.879997,92.879997,90.68,92.260002,1774500,84.992997
"88",93,93.75,92.550003,92.82,1697500,85.508885
"89",93.010002,94.769997,93,93.760002,1900600,86.374847
"90",94.370003,94.870003,92.410004,93.639999,1855300,86.264296
"91",93.639999,93.639999,90.800003,91.349998,2866500,84.154671
"92",89.739998,91.580002,88.800003,90.169998,2494900,83.067615
"93",90.580002,93.139999,90.360001,92.050003,1583100,84.799539
"94",92.580002,93.809998,91.830002,93.75,2588700,86.365633
"95",94.089996,94.089996,92.5,93.629997,1328200,86.255082
"96",94.769997,96.129997,94.260002,94.489998,2034800,87.047343
"97",87.410004,91.559998,87,89,10456900,81.989774
"98",89.269997,90.25,88.220001,89.260002,4038400,82.229297
"99",90.230003,90.230003,88.239998,89.010002,3118400,81.998988
"100",89.260002,89.860001,87.940002,88.099998,2839600,81.160663
"101",87.900002,89.5,87.510002,88.199997,2821900,81.252784
"102",88.800003,91.760002,88.489998,91.370003,3400100,84.1731
"103",91.400002,91.68,89.870003,91.470001,1885200,84.265222
"104",93.220001,95.720001,92.779999,95.639999,2937700,88.106763
"105",95.639999,96.629997,95.260002,96.389999,1713800,88.797688
"106",95.849998,96.099998,94.910004,95.400002,1828000,87.885669
"107",95.199997,95.510002,92.849998,93.300003,2052700,85.95108
"108",93.779999,94.970001,92.480003,94.529999,1619100,87.084194
"109",93.949997,95.019997,93.32,95.010002,1556800,87.526389
"110",93.809998,94.830002,92.690002,94.059998,2082300,86.651213
"111",94.629997,94.709999,93.290001,93.980003,2281400,86.577519
"112",92.949997,92.989998,90.370003,91.32,2696000,84.127035
"113",91.389999,92.709999,90.419998,92.019997,1823500,84.771896
"114",93.620003,95.339996,93.400002,93.809998,1671500,86.668608
"115",93.339996,94.440002,92.559998,94.309998,1883100,87.130545
"116",94.239998,95.75,93.389999,95.589996,1516700,88.313103
"117",93.629997,95.190002,93.559998,94.910004,1884400,87.684875
"118",95.889999,98.730003,95.720001,98.650002,2012300,91.140162
"119",97.57,98.639999,97.400002,98.199997,618900,90.724414
"120",97.260002,97.610001,95.5,97.269997,1450200,89.865211
"121",96.059998,97.779999,95.589996,97.120003,2463300,89.726636
"122",99.739998,101.199997,99.25,100.519997,2508100,92.867801
