"","BEAM.Open","BEAM.High","BEAM.Low","BEAM.Close","BEAM.Volume","BEAM.Adjusted"
"1",35.9087,36.6276,35.9087,36.5735,1080000,34.55165
"2",35.6845,36.4266,35.3211,36.4189,1432000,34.4056
"3",36.6662,37.1224,36.0169,36.0942,1396000,34.09885
"4",36.3493,36.4498,35.3057,36.1406,2124200,34.14268
"5",35.9087,35.9319,35.3134,35.5994,1347300,33.6314
"6",35.8236,35.8236,34.5172,34.896,1696100,32.96689
"7",35.066,35.1588,34.7568,34.9037,1620200,32.97416
"8",35.468,35.468,34.2388,34.4939,946400,32.58701
"9",34.4785,34.7954,33.4503,33.69,2341900,31.82755
"10",33.5817,33.7364,32.3912,33.2339,2235700,31.39667
"11",33.0561,33.1411,32.2753,32.569,1497200,30.76853
"12",32.5458,32.8628,32.1825,32.6927,1857100,30.88539
"13",32.6773,32.7609,32.0356,32.1825,1659100,30.40339
"14",31.6877,31.6877,30.6364,30.876,2089100,29.16912
"15",30.8374,30.9224,30.2189,30.2885,1761900,28.6141
"16",30.1726,30.4315,28.6419,29.7706,2586900,28.12483
"17",30.8528,30.8528,29.8092,29.9252,2963700,28.27088
"18",30.5359,30.8451,30.0798,30.2344,2142600,28.56299
"19",30.2035,30.7523,30.0489,30.7446,1459300,29.04498
"20",30.9147,31.0848,30.59,31.0461,1397000,29.32982
"21",30.9611,31.5177,30.8915,31.4636,1115500,29.72424
"22",31.3167,31.6182,31.193,31.5563,1678100,29.81181
"23",31.8655,32.6541,31.7187,32.4221,2145000,30.62975
"24",32.3294,32.4144,31.9892,32.2985,1686000,30.51298
"25",32.2366,32.4763,31.7728,32.3912,2345300,30.60056
"26",32.082,32.0975,31.278,31.2935,2855300,29.56354
"27",31.394,31.6568,31.1853,31.5486,1888900,29.80454
"28",31.0229,32.2134,31.0075,32.1825,1698400,30.40339
"29",32.2753,32.4299,31.796,31.9815,2117400,30.21351
"30",32.4067,33.1102,32.4067,33.0406,1747900,31.21406
"31",32.9169,33.8755,32.8705,33.8291,2557800,31.95897
"32",33.8291,34.262,33.775,34.2466,1607800,32.35339
"33",34.4398,34.463,33.8214,33.8678,1667200,31.99553
"34",33.7518,33.8214,33.4658,33.5508,2961900,31.69605
"35",33.6668,33.8678,33.3189,33.5354,2810500,31.6815
"36",34.092,34.092,33.172,33.9219,2870300,32.04664
"37",34.6795,35.1665,34.4398,34.6099,2235400,32.6966
"38",34.4321,34.6563,33.9374,34.3857,1617000,32.4848
"39",34.5945,34.9423,34.4785,34.7877,1406300,32.86457
"40",34.5713,34.9578,34.3703,34.8805,1035400,32.95224
"41",34.5403,35.267,34.5326,35.2206,2039200,33.27354
"42",35.3443,35.9164,35.1124,35.7618,1596300,33.96806
"43",35.3752,35.7927,35.0815,35.5221,1116800,33.74039
"44",34.8032,35.0235,34.3857,34.5326,2122700,32.80052
"45",33.8755,34.3703,33.7286,34.3007,1468400,32.58025
"46",34.1615,34.4785,34.1615,34.2698,1041600,32.5509
"47",33.7441,34.1538,33.6668,33.891,1407800,32.1911
"48",34.1693,34.5635,34.0224,34.3935,1139700,32.6684
"49",34.3084,34.6486,33.9837,34.4321,741300,32.70506
"50",34.1615,34.2466,33.1179,33.2107,1263800,31.54492
"51",32.9324,33.0483,32.6154,32.9169,1085700,31.26586
"52",33.1566,33.5902,33.1566,33.2416,1740700,31.57427
"53",32.6695,33.4349,32.6154,33.2184,2737000,31.55224
"54",32.9092,33.9683,32.8937,33.8755,1966200,32.17638
"55",33.9374,34.0675,33.4039,33.69,2278200,32.00018
"56",33.9219,34.6176,33.3962,34.5713,2228500,32.83728
"57",34.4708,34.8727,34.2698,34.4089,1437100,32.68302
"58",34.092,34.8805,33.9683,34.6254,1826000,32.88867
"59",35.1279,35.9164,34.9964,35.9087,1521300,34.1076
"60",35.9396,36.4343,35.9009,36.4266,2238200,34.59952
"61",36.8054,37.076,36.5271,37.0682,1164800,35.20894
"62",36.8518,36.8518,36.0092,36.388,3917100,34.56286
"63",36.388,36.8054,36.3454,36.759,1716800,34.91525
"64",37.1765,37.362,36.8904,37.0219,1986000,35.16496
"65",37.1455,37.1997,36.8672,37.0605,1681400,35.20163
"66",37.4857,37.7331,37.2461,37.6171,939800,35.73031
"67",37.4857,37.9263,37.3311,37.6558,594300,35.76707
"68",37.5785,38.0191,37.2229,37.8877,1217800,35.98733
"69",37.6558,37.9727,37.5089,37.88,839700,35.98002
"70",38.0114,38.4056,37.9109,38.0655,1171000,36.15621
"71",38.1273,38.653,37.9882,38.6144,1768300,36.67758
"72",38.6144,38.6839,38.3206,38.3979,1479200,36.47194
"73",38.3902,38.5371,37.7331,38.2124,1266500,36.29575
"74",37.9573,38.166,37.6249,37.7331,1280400,35.84049
"75",38.2201,38.9545,38.2124,38.9545,936400,37.00062
"76",38.6144,38.6144,37.8336,38.1505,1600500,36.23695
"77",38.1969,38.5834,37.5398,38.4829,1165800,36.55268
"78",38.2278,38.2278,37.5862,37.9805,1175200,36.07548
"79",38.166,38.5912,37.7717,38.0578,1217700,36.1489
"80",38.3902,38.4984,37.9263,38.3283,1225400,36.40584
"81",38.2742,38.6144,37.8954,38.3438,1721400,36.42056
"82",38.6376,39.457,38.5216,39.4029,2718700,37.42654
"83",39.3333,39.4106,38.653,38.7535,1475700,36.80971
"84",38.7303,40.2378,38.2278,40.1991,3247800,38.1828
"85",41.15,45.9198,41.1423,43.1754,14568200,41.00981
"86",42.7348,42.928,42.4024,42.9049,2961800,40.75288
"87",42.7734,44.335,42.642,44.1031,3261200,41.89098
"88",43.4846,43.8402,43.1059,43.2218,2657000,41.05389
"89",43.5465,44.0412,43.1909,43.4769,1943300,41.29619
"90",43.9794,43.9871,43.0517,43.3919,1615000,41.21545
"91",43.4073,43.6934,43.129,43.3146,1077200,41.14203
"92",42.8275,43.4228,42.4487,42.6497,1184000,40.51048
"93",42.8121,43.6779,42.7348,43.1368,1510100,40.97315
"94",43.2914,43.9098,43.0131,43.3532,1391800,41.1787
"95",43.4151,43.8402,42.9049,43.33,1188600,41.15666
"96",43.7011,44.0567,43.245,43.2836,838300,41.11259
"97",43.0131,43.16,42.5802,42.6729,1479900,40.53252
"98",42.2864,42.6729,42.0545,42.155,1856200,40.04059
"99",42.6188,44.049,41.8767,42.1009,2757700,39.98921
"100",41.9076,42.1241,41.7453,41.7839,1161700,39.68811
"101",42.0236,42.1163,41.2582,41.637,1278600,39.54858
