"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"1",83.320002,86.089997,83.100001,85.819997,3195900,69.699077
"2",84.68,87.399996,84.579995,87.079998,2600600,70.722393
"3",87.760001,88.960004,87.260001,88.409997,3422700,71.802557
"4",88.540001,90.459998,87.959995,90.459998,2797000,73.467474
"5",89.889999,90.399991,88.890006,89.450005,2671500,72.647204
"6",89.659998,89.919998,88.409997,88.989995,2908200,72.273605
"7",89.300002,89.989996,88.540001,89.409998,2890700,72.614712
"8",90.559995,91.119993,88.550001,88.859991,2247300,72.168021
"9",89.199997,89.319993,85.50999,85.589996,3482900,69.512281
"10",85.559997,87.160004,84.609994,86.140003,2410500,69.958972
"11",85.430001,85.859996,83.789996,83.96999,2691400,68.196586
"12",84.889994,86.919995,84.150001,86.519999,4994600,70.267587
"13",86.779999,86.989993,84.739998,84.969999,1806300,69.008748
"14",83.729998,84.649993,81.229995,81.820001,4492500,66.450463
"15",81.829992,83.469998,80.489994,80.749994,3390100,65.581452
"16",80.920004,81.520002,78.869996,81.049992,2941600,65.825098
"17",81.629998,82.11,78.700001,79.079997,2576600,64.225158
"18",80.709995,81.199996,76.469998,77.280005,3831500,62.763286
"19",77.799997,81.33,77.280005,81.239994,3918900,65.979409
"20",82.240004,82.439997,80.210002,81.710004,2360800,66.361129
"21",81.859999,82.739996,81.199996,82.659991,1919900,67.132665
"22",82.579993,83.259996,81.300001,82.959989,1625100,67.37631
"23",84.110002,85.489999,83.749997,85.069996,3438600,69.089961
"24",84.399993,85.479991,83.759997,84.570004,2391300,68.68389
"25",84.42,85.079996,82.729988,84.889994,2546000,68.943771
"26",84.539997,84.539997,81.710004,82.229996,3975500,66.783443
"27",82.589993,83.719998,81.269994,83.360001,2464900,67.701181
"28",82.040002,84.549996,81.689997,84.380002,3011000,68.529579
"29",85.449992,85.449992,81.839992,82.359992,3037800,66.889019
"30",83.739997,86.899996,83.519996,86.329997,3707200,70.113276
"31",85.620003,87.479994,84.849995,87.309999,2913800,70.909189
"32",87.019992,89.249995,86.319998,89.070001,2572200,72.338582
"33",89.249995,89.999996,87.779992,89.279994,2612600,72.509129
"34",89.019994,90.350001,88.329991,89.129999,2863700,72.387309
