"","RRC.Open","RRC.High","RRC.Low","RRC.Close","RRC.Volume","RRC.Adjusted"
"1",47.98,49.400002,47.799999,49.360001,3434800,48.667131
"2",48.73,50.080002,48.459999,49.650002,2340100,48.992764
"3",50.369999,50.810001,49.299999,49.490002,2267000,48.834882
"4",49.790001,50.91,49.790001,50.830002,2340900,50.157144
"5",50.25,51.240002,49.939999,50.720001,2028200,50.048599
"6",51.099998,51.099998,48.860001,49.529999,2414800,48.87435
"7",49.5,49.779999,48.599998,48.889999,4049300,48.242822
"8",49.75,50.119999,47.790001,48.110001,2759500,47.473148
"9",48.119999,48.380001,45.060001,45.52,6079700,44.917433
"10",45.439999,45.439999,43.68,44.119999,6564900,43.535964
"11",43.900002,44.959999,43.02,43.450001,5601900,42.874835
"12",43.540001,44.240002,42.939999,43.790001,6846100,43.210334
"13",43.790001,43.869999,41.799999,41.84,5065400,41.286147
"14",41.349998,41.349998,40.169998,40.52,4931200,39.98362
"15",40.77,41.650002,40,40.150002,4599700,39.618519
"16",40.290001,40.689999,38.540001,40.200001,5260000,39.667857
"17",40.400002,40.549999,39.080002,39.650002,3220700,39.125138
"18",40.419998,40.759998,39.060001,39.400002,3419900,38.878447
"19",39.799999,41.400002,39.720001,41.380001,3249200,40.832237
"20",41.919998,42.130001,40.84,41.900002,3591700,41.345354
"21",41.950001,42.189999,41.240002,41.790001,2556900,41.236809
"22",41.52,42.130001,41.279999,41.630001,2283300,41.078927
"23",42.150002,42.560001,41.689999,41.75,2459300,41.197338
"24",41.25,43.119999,41.009998,42.669998,2745100,42.105158
"25",42.860001,42.860001,40.990002,41.91,4509500,41.35522
"26",41.630001,41.650002,39.779999,40.119999,3258100,39.588914
"27",40.18,40.220001,38.91,39.75,2638000,39.223813
"28",39.23,40.709999,38.830002,40.509998,2598800,39.973751
"29",40.779999,40.790001,39.139999,39.310001,2505700,38.789639
"30",39.889999,40.900002,39.599998,40.380001,2507100,39.845474
"31",40.349998,40.380001,38.380001,40.02,5371400,39.490239
"32",40.080002,40.779999,39.880001,40.040001,3971200,39.509975
"33",39.099998,39.150002,36.130001,37.240002,16768500,36.74704
"34",37.490002,38.52,36.610001,38.200001,8168500,37.694331
"35",38.939999,39.200001,37.66,38.310001,5210800,37.802876
"36",37.75,37.91,37.02,37.119999,5279400,36.628626
"37",38.299999,38.59,37.57,38.23,3746700,37.723933
"38",38.209999,39.299999,38,38.73,5176500,38.217314
"39",39.080002,39.639999,38.759998,39.459999,3636200,38.937651
"40",39.200001,39.57,38.860001,39.310001,2936000,38.789639
"41",38.599998,39.189999,38.16,38.59,3618600,38.079168
"42",38.900002,38.990002,38.400002,38.810001,1906200,38.296257
"43",38.240002,38.709999,37.93,38.41,2251700,37.901551
"44",37.650002,37.779999,36.150002,36.459999,3492200,35.977363
"45",36.110001,36.77,35.759998,36.330002,2564900,35.849086
"46",36.18,36.869999,35.630001,35.66,2396200,35.187954
"47",35.369999,35.57,34.900002,35.049999,4117700,34.586028
