"","ROST.Open","ROST.High","ROST.Low","ROST.Close","ROST.Volume","ROST.Adjusted"
"104",61.41,64.230003,61.41,63.630001,22718400,15.150976
"105",63.490002,64.410004,63.32,64.25,11353600,15.298604
"106",63.900002,64.07,62.830002,63.84,13392800,15.200979
"107",64.110001,64.110001,62.619999,62.889999,10025600,14.974774
"108",62.990002,64.139999,62.98,64.099998,11946400,15.262887
"109",63.669998,64.82,63.259998,64.580002,9383200,15.377181
"110",64.230003,64.699997,63.669998,63.889999,8566400,15.212884
"111",64.339996,64.5,63.57,63.630001,7651200,15.150976
"112",63.360001,64.540001,62.849998,63.57,12057600,15.136689
"113",63.73,65.699997,63.48,65.400002,18330400,15.572432
"114",64.400002,65.019997,62.060001,63.450001,32670400,15.108116
"115",63.32,64.07,62.869999,64.050003,11695200,15.250983
"116",63.75,65,63.049999,64.82,12040000,15.434327
"117",64.18,65.089996,63.82,64.120003,12213600,15.267651
"118",64.349998,65.690002,64.349998,65.580002,7715200,15.615292
"119",65.150002,65.690002,65.050003,65.669998,2789600,15.636721
"120",65.099998,65.370003,63.529999,64.230003,10130400,15.293843
"121",63.720001,65.300003,63.459999,64.879997,10843200,15.448613
"122",65.5,66.580002,65.169998,65.589996,14410400,15.617672
"123",65.550003,65.959999,64.699997,65.599998,14620000,15.620053
"124",65.440002,65.559998,64.790001,65.129997,10265600,15.546058
"125",65.190002,65.379997,64.550003,64.739998,7602400,15.452968
"126",65.25,65.610001,64.650002,64.870003,8465600,15.483999
"127",65.629997,65.629997,63.959999,64.339996,12624800,15.35749
"128",64.5,65.650002,64.290001,65.57,11130400,15.651083
"129",65.610001,65.699997,64.349998,65.120003,10386400,15.543672
"130",65.209999,65.260002,63.25,63.299999,10815200,15.109251
"131",63.34,63.689999,62.98,63.139999,10764000,15.07106
"132",63,63.279999,61.880001,62.330002,18112000,14.877719
"133",62.43,64.169998,62.330002,64.010002,10682400,15.278723
"134",63.639999,63.939999,62.950001,62.959999,11857600,15.028095
"135",63.450001,63.639999,62.48,62.759998,7151200,14.980356
"136",62.84,63.400002,62.400002,63.110001,5131200,15.063899
"137",63.099998,63.48,62.77,63.360001,5255200,15.123573
"138",63.209999,63.57,62.830002,63.360001,5818400,15.123573
"139",63.25,63.389999,62.549999,63.18,2963200,15.080608
"140",63.259998,63.68,63.099998,63.279999,3481600,15.104477
"141",63.310001,63.98,63.310001,63.509998,4663200,15.159376
"142",63.439999,63.98,63.150002,63.849998,5403200,15.240531
"143",63.700001,63.91,63.209999,63.25,4503200,15.097316
"144",64.019997,64.75,63.75,63.880001,8656000,15.247693
"145",64,64,62.119999,62.200001,12989600,14.846689
"146",61.93,62.66,60.150002,62.650002,14911200,14.954101
"147",63.720001,64.75,63.369999,63.77,25585600,15.221436
"148",64.120003,64.699997,63.25,63.950001,13781600,15.264401
"149",63.529999,64.5,63.07,64.269997,14241600,15.340782
"150",64.410004,64.550003,63.790001,64.489998,8100000,15.393295
"151",64.809998,65.260002,63.959999,64.07,8528000,15.293044
"152",63.93,64.150002,63.580002,63.799999,5352800,15.228597
"153",63.619999,63.93,63.360001,63.849998,6920800,15.240531
"154",63.860001,64.400002,63.360001,63.779999,7244800,15.223823
"155",63.650002,65,63.57,64.739998,9008800,15.452968
"156",64.559998,65.730003,64.5,65.059998,9512000,15.529349
"157",65.169998,65.410004,64.639999,64.919998,6825600,15.495933
"158",64.980003,65.599998,64.879997,65.529999,5553600,15.641535
"159",65.330002,66.099998,64.639999,66.059998,7731200,15.768042
"160",66.349998,66.669998,65.559998,66.519997,8440800,15.877841
"161",66.580002,67.449997,66.18,66.989998,10992000,15.990027
"162",67.080002,67.209999,65.279999,65.459999,7439200,15.624827
"163",65.419998,65.699997,64.800003,65.199997,9577600,15.562766
"164",65.440002,66,65.160004,65.599998,10665600,15.658244
"165",65.510002,65.690002,64.440002,64.849998,16773600,15.479224
"166",67.410004,69,66.900002,68.610001,19762400,16.376709
"167",68.169998,70.019997,68.169998,69.889999,11129600,16.682236
"168",69.669998,69.730003,68.559998,69.440002,12427200,16.574825
"169",69.519997,70.139999,69.330002,69.919998,7800800,16.689396
"170",69.629997,70.25,69.32,69.529999,7039200,16.596306
"171",69.029999,70.959999,69.029999,70.910004,8766400,16.925703
"172",70.690002,71.809998,70.610001,71.769997,8248000,17.130978
"173",71.580002,71.93,70.550003,70.720001,7000800,16.880351
"174",70.620003,71.190002,70.459999,70.660004,6605600,16.86603
"175",70.739998,71.669998,70.690002,71.160004,7728000,17.038426
"176",71.059998,71.790001,70.620003,71.139999,5713600,17.033636
"177",71.040001,71.900002,70.5,71.82,7444000,17.196454
"178",71.540001,72.699997,70.510002,70.709999,6950400,16.930677
"179",70.349998,70.669998,69.099998,70.260002,11632800,16.822931
"180",70.239998,71.440002,69.720001,70.860001,7024000,16.966594
"181",71.139999,72.190002,70.980003,71.669998,7509600,17.160538
"182",71.68,72.169998,71.050003,72.040001,6853600,17.249131
"183",72.550003,72.779999,71.07,71.510002,10672800,17.122229
"184",71.269997,72.300003,70.809998,72.029999,9433600,17.246736
"185",72.610001,72.860001,71.18,72.410004,11128800,17.337724
"186",72.169998,72.43,71.199997,71.910004,5244800,17.218004
"187",72.209999,72.379997,70.300003,70.669998,7836800,16.9211
"188",70.540001,71.75,69.879997,71.330002,7437600,17.07913
"189",71.059998,71.93,70.510002,71.290001,4803200,17.069552
"190",70.650002,70.860001,70.110001,70.559998,8144000,16.894761
"191",70.300003,71.959999,69.730003,71.699997,6716800,17.167721
"192",71.269997,71.839996,69.790001,70.459999,8153600,16.870818
"193",69.199997,70.330002,69.110001,69.839996,7145600,16.722366
"194",69.32,69.989998,68.690002,69.150002,11665600,16.557154
"195",69.610001,70.540001,68.5,69.800003,12528000,16.71279
"196",70.260002,70.330002,68.879997,69.599998,16856800,16.664901
"197",70.040001,70.040001,68.269997,68.610001,15080000,16.427858
"198",68.599998,68.900002,67.940002,67.989998,9856800,16.279405
"199",67.699997,69.209999,67.449997,68.919998,7684000,16.502083
"200",69.239998,70.110001,68.720001,69.730003,11338400,16.696029
"201",69.989998,70.989998,69.489998,70.230003,6551200,16.815748
"202",70.230003,71.139999,70.040001,70.089996,9740000,16.782225
