"","RL.Open","RL.High","RL.Low","RL.Close","RL.Volume","RL.Adjusted"
"1",81.699997,83.57,81.639999,83.199997,1081600,79.417181
"2",82.120003,84.199997,82.050003,83.449997,1048300,79.655814
"3",84,85,83.709999,84.169998,1038000,80.343079
"4",82.940002,83.099998,81.110001,82.440002,2485100,78.691741
"5",80.139999,80.809998,80,80.120003,7336900,76.477223
"6",80.400002,81,80.110001,80.849998,2294900,77.174029
"7",80.93,81.300003,80.32,80.449997,1713900,76.792214
"8",81.209999,82.010002,79.419998,79.879997,2430200,76.24813
"9",79.949997,81,77.93,78.18,2187400,74.625426
"10",78.440002,79.580002,76.68,78.830002,2945700,75.245874
"11",78.43,78.529999,76.080002,76.519997,2142600,73.040897
"12",76.720001,78.18,76.410004,77.269997,1731500,73.756797
"13",77.290001,78.309998,76.699997,77.040001,900600,73.537258
"14",75.709999,75.709999,72.910004,73.400002,2137400,70.062757
"15",73.400002,74.610001,72.510002,72.959999,1503900,69.737767
"16",73.32,74.32,71.139999,73.949997,2331500,70.684043
"17",74.339996,74.900002,72.610001,73.120003,1119900,69.890705
"18",74,74.610001,71.120003,71.93,1281800,68.753258
"19",72.540001,75.150002,71.769997,74.959999,1369000,71.649439
"20",75.940002,77.489998,75.68,77.220001,2080400,73.809629
"21",77.879997,77.900002,76.120003,77.160004,866200,73.752282
"22",77,77.209999,75.470001,76.120003,892500,72.758212
"23",77.220001,77.959999,76.540001,77.68,1156900,74.249313
"24",77.169998,77.830002,76.360001,77.190002,580900,73.780955
"25",77.040001,77.370003,75.349998,77.18,778100,73.771395
"26",76.68,76.709999,73.669998,73.900002,1080200,70.636255
"27",73.690002,74.019997,72.279999,72.900002,1483600,69.68042
"28",71.610001,74.589996,71.389999,74.389999,1090600,71.104613
"29",74.580002,75.040001,73.190002,73.309998,961400,70.072308
"30",74.43,77.5,74.339996,76.470001,1148200,73.092753
"31",76.349998,79.540001,75.830002,79.220001,1306300,75.721301
"32",79.669998,82.010002,79.110001,81.970001,1225000,78.349849
"33",82.169998,82.57,79.559998,80.120003,1089300,76.581554
"34",80.099998,80.339996,78,78.529999,1354700,75.061772
"35",78.970001,79.550003,77.239998,78.300003,840100,74.841934
"36",77.150002,79.400002,76.82,79.010002,851600,75.520576
"37",80.580002,82.199997,80.449997,81.639999,1195400,78.034421
"38",81.440002,81.510002,79.099998,79.309998,1613400,75.807322
"39",82.040001,85.879997,80,85.470001,3270400,81.695273
"40",84.870003,86,83.760002,84.290001,1653600,80.567387
"41",82.720001,85.839996,82.720001,85.790001,1444900,82.00114
"42",86.199997,87.300003,85.93,86.550003,1479100,82.727578
"43",85.690002,86.68,84.110001,84.82,916200,81.073979
"44",83.190002,83.190002,81.110001,81.769997,1238700,78.158677
"45",79.860001,81.449997,79.860001,81.370003,1230700,77.776349
"46",81.160004,81.300003,80,80.360001,586300,76.810953
"47",79.580002,80.599998,79.230003,79.779999,726300,76.256566
"48",80.699997,83.239998,80.629997,82.459999,1061300,78.818206
"49",82.129997,83.779999,81.93,83.139999,739700,79.468175
"50",82.779999,83.199997,81.449997,82.720001,987100,79.066725
"51",81.900002,83.239998,81.150002,83.040001,919900,79.372592
"52",83.010002,84,82.269997,82.910004,1040500,79.248336
"53",81.580002,81.629997,79.860001,80.550003,942400,76.992564
"54",79.790001,81.589996,79.199997,81.349998,512700,77.757228
"55",81.610001,81.919998,77.059998,77.139999,1856300,73.733161
"56",77.589996,78.5,76.080002,78.220001,1412600,74.765465
"57",78.099998,78.18,75.370003,75.459999,1188800,72.127357
"58",75.010002,77.040001,74.5,75.739998,1544900,72.394989
"59",76.879997,79.220001,76.879997,78.839996,811500,75.358078
"60",79.029999,80.519997,78.900002,79.910004,834800,76.38083
"61",81.029999,82.199997,80.720001,81.089996,809400,77.508709
"62",80.629997,81.199997,79.800003,80.190002,596600,76.648462
"63",80.339996,82,80.279999,81.379997,596500,77.785902
"64",82.699997,82.830002,81.080002,81.459999,534300,77.86237
"65",81.510002,82.25,80.949997,81.540001,644900,77.938839
"66",82.589996,83.580002,82.080002,83.330002,515800,79.649786
"67",83.080002,85.870003,82.989998,85.099998,1076200,81.341612
