"","S.Open","S.High","S.Low","S.Close","S.Volume","S.Adjusted"
"1",4.74,4.76,4.58,4.73,46130800,4.73
"2",4.63,4.89,4.61,4.87,53023600,4.87
"3",4.98,4.98,4.79,4.79,40380600,4.79
"4",4.81,4.91,4.7,4.9,54907000,4.9
"5",4.81,4.89,4.74,4.79,35427600,4.79
"6",4.79,4.8,4.58,4.64,50196500,4.64
"7",4.66,4.74,4.59,4.59,36857600,4.59
"8",4.69,4.69,4.45,4.5,52213200,4.5
"9",4.52,4.52,4.28,4.32,63350300,4.32
"10",4.33,4.55,4.32,4.52,69525700,4.52
"11",4.49,4.5,4.34,4.38,41448900,4.38
"12",4.4,4.45,4.2,4.2,54247300,4.2
"13",4.23,4.53,4.23,4.46,69778100,4.46
"14",4.33,4.42,4.22,4.28,68180300,4.28
"15",4.27,4.42,4.18,4.24,42296800,4.24
"16",4.24,4.34,4.05,4.18,54368100,4.18
"17",4.18,4.28,4.12,4.16,24216200,4.16
"18",4.21,4.29,4.1,4.14,42990900,4.14
"19",4.17,4.31,4.09,4.26,62816700,4.26
"20",4.32,4.53,4.29,4.41,61037800,4.41
"21",4.39,4.44,4.22,4.28,42342600,4.28
"22",4.27,4.51,4.25,4.5,58403100,4.5
"23",4.62,4.71,4.45,4.58,79700700,4.58
"24",4.53,4.63,4.5,4.61,29996400,4.61
"25",4.59,4.7,4.57,4.7,52515600,4.7
"26",4.67,4.74,4.55,4.56,53518700,4.56
"27",4.59,4.74,4.52,4.62,73407700,4.62
"28",4.53,4.75,4.52,4.71,59815700,4.71
"29",4.66,4.7,4.53,4.59,46298500,4.59
"30",4.66,4.73,4.64,4.67,42620500,4.67
"31",4.66,4.72,4.6,4.69,39244300,4.69
"32",4.7,5.06,4.68,5.05,84463300,5.05
"33",5.08,5.08,4.8,4.83,94173100,4.83
"34",5.06,5.08,4.78,4.84,211965300,4.84
"35",4.88,4.9,4.7,4.76,73605500,4.76
"36",4.68,4.7,4.51,4.57,78016000,4.57
"37",4.68,4.73,4.62,4.68,62085600,4.68
"38",4.63,4.67,4.5,4.54,67352400,4.54
"39",4.57,4.62,4.51,4.59,50311100,4.59
"40",4.56,4.62,4.49,4.52,51919000,4.52
"41",4.46,4.52,4.45,4.45,48744600,4.45
"42",4.48,4.6,4.45,4.58,31528100,4.58
"43",4.52,4.6,4.48,4.57,29307600,4.57
"44",4.48,4.56,4.48,4.49,39394400,4.49
"45",4.45,4.51,4.41,4.48,34356700,4.48
"46",4.48,4.54,4.45,4.48,22204700,4.48
"47",4.48,4.5,4.28,4.3,41171600,4.3
"48",4.34,4.56,4.32,4.49,51671900,4.49
"49",4.46,4.56,4.43,4.47,32348000,4.47
"50",4.43,4.46,4.2,4.25,61775200,4.25
"51",4.24,4.3,4.12,4.19,53492200,4.19
"52",4.23,4.28,4.07,4.09,50675500,4.09
"53",4,4.08,3.94,3.95,45968300,3.95
"54",3.9,4.02,3.82,3.96,55611500,3.96
"55",4.03,4.17,4.02,4.07,47457100,4.07
"56",4.08,4.1,3.96,4,36449800,4
"57",4,4.05,3.9,3.9,36397200,3.9
"58",3.89,4.08,3.88,4.06,41078300,4.06
"59",4.15,4.2,4.08,4.14,40607900,4.14
"60",4.13,4.38,4.12,4.34,51142700,4.34
"61",4.43,4.44,4.29,4.34,38486100,4.34
"62",4.27,4.4,4.27,4.4,28303300,4.4
"63",4.41,4.45,4.37,4.39,23322400,4.39
"64",4.43,4.45,4.35,4.4,15849300,4.4
"65",4.36,4.45,4.35,4.45,19598500,4.45
"66",4.47,4.53,4.42,4.53,24998900,4.53
"67",4.54,4.63,4.5,4.56,36673700,4.56
"68",4.54,4.62,4.48,4.58,32880500,4.58
"69",4.52,4.58,4.41,4.47,38291000,4.47
"70",4.51,4.52,4.36,4.44,36361900,4.44
"71",4.41,4.63,4.35,4.63,52749100,4.63
"72",4.62,4.66,4.5,4.58,45890600,4.58
"73",4.54,4.55,4.36,4.37,40430400,4.37
"74",4.34,4.48,4.32,4.36,37676400,4.36
"75",4.46,4.47,4.41,4.44,31068500,4.44
"76",4.57,4.65,4.54,4.59,44231600,4.59
"77",4.62,4.62,4.51,4.6,28795200,4.6
"78",4.58,4.69,4.56,4.6,40403500,4.6
"79",4.59,4.65,4.49,4.63,39976300,4.63
"80",4.63,4.74,4.57,4.72,49862800,4.72
"81",4.69,4.75,4.6,4.6,33205400,4.6
"82",4.6,4.71,4.58,4.66,36633600,4.66
"83",4.65,4.74,4.63,4.65,32364100,4.65
"84",4.65,4.66,4.5,4.54,34649600,4.54
"85",4.58,4.59,4.45,4.48,36058600,4.48
"86",4.49,4.51,4.4,4.46,35560400,4.46
"87",4.4,4.62,4.4,4.59,40165600,4.59
"88",4.76,4.78,4.58,4.63,39209300,4.63
"89",4.59,4.62,4.52,4.56,27806800,4.56
"90",4.58,4.6,4.49,4.59,20442900,4.59
"91",4.59,4.59,4.49,4.57,24719900,4.57
"92",4.51,4.58,4.47,4.57,37131300,4.57
"93",4.6,4.71,4.58,4.61,47815800,4.61
"94",4.63,4.78,4.63,4.76,61769900,4.76
"95",4.76,4.86,4.69,4.85,59967300,4.85
"96",4.88,4.88,4.74,4.75,39564500,4.75
"97",4.73,4.85,4.73,4.77,58124300,4.77
"98",4.59,4.61,4.22,4.3,182374800,4.3
"99",4.29,4.31,4.18,4.19,82856300,4.19
"100",4.21,4.24,4.12,4.13,51183500,4.13
"101",4.18,4.25,4.12,4.14,39988100,4.14
"102",4.17,4.18,4.03,4.1,76941500,4.1
"103",4.1,4.1,3.86,4.07,122221400,4.07
"104",4.09,4.12,3.99,4.09,52984500,4.09
"105",4.04,4.09,3.95,3.99,53287100,3.99
"106",3.98,4.06,3.92,4,43574900,4
"107",4.02,4.05,3.99,4.03,43345400,4.03
"108",4.02,4.02,3.93,3.94,49649600,3.94
"109",3.91,4.06,3.85,4,65329000,4
"110",4.02,4.04,3.96,4.03,37162200,4.03
"111",4.02,4.03,3.82,3.83,69430200,3.83
"112",3.85,3.9,3.71,3.74,50947500,3.74
"113",3.73,3.81,3.7,3.72,33330800,3.72
"114",3.74,3.91,3.72,3.86,43991300,3.86
