"","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"1",63.299999,64.239998,63.240002,64.07,2472800,55.922541
"2",63.41,64.699997,62.950001,64.580002,1782400,56.367688
"3",65.129997,65.410004,64.150002,64.309998,1728900,56.132019
"4",64.889999,66.669998,64.650002,66.620003,1950900,58.148273
"5",66.099998,66.610001,65.870003,66.290001,1551800,57.860236
"6",66.220001,66.550003,65.440002,66.309998,1770700,57.877689
"7",66.419998,67.089996,66.419998,66.900002,3334200,58.392666
"8",67.980003,68.080002,66.449997,66.779999,2187700,58.287923
"9",67.110001,67.349998,65.309998,65.449997,1825900,57.127051
"10",65.550003,65.629997,64.010002,64.889999,2771700,56.638265
"11",64.669998,65.099998,63.139999,63.25,2864700,55.206816
"12",63.349998,63.68,62.310001,63.220001,3015700,55.180632
"13",63.419998,63.419998,62.16,62.259998,2861600,54.342708
"14",61.330002,61.57,59.200001,59.43,4487800,51.872587
"15",58.919998,59.689999,58.470001,58.560001,3261300,51.477017
"16",58.610001,58.84,57.68,58.5,2983600,51.424273
"17",58.790001,59.25,58.299999,58.700001,2281100,51.600083
"18",59.080002,59.709999,58.119999,58.639999,2539700,51.547339
"19",58.869999,60.27,58.580002,60.220001,3237600,52.936235
"20",60.580002,61.080002,60.310001,60.970001,1790500,53.595521
"21",60.779999,60.860001,60,60.84,1299300,53.481244
"22",60.34,60.43,59.52,59.869999,1869200,52.628567
"23",60.419998,60.830002,60.07,60.560001,1946100,53.235111
"24",60.259998,61.610001,60.16,61.610001,2813900,54.15811
"25",61.599998,61.830002,60.450001,61.470001,2131100,54.035044
"26",60.970001,61.290001,58.75,58.900002,2316800,51.775893
"27",58.84,59.040001,58.200001,58.599998,2013400,51.512176
"28",57.91,59.220001,56.93,59.209999,3230100,52.048395
"29",59.529999,60.439999,59,59.279999,2485900,52.109928
"30",59.900002,61.400002,59.900002,61.029999,1922800,53.648261
"31",60.98,61.869999,60.48,61.290001,2056600,53.876816
"32",61.310001,63.080002,61.290001,62.490002,1486700,54.931673
"33",62.57,62.740002,61.700001,61.77,1821900,54.298758
"34",61.52,62.57,61.220001,61.799999,2405600,54.325128
"35",62.299999,62.689999,61.029999,61.73,1852100,54.263595
"36",60.990002,61.52,60.580002,61.25,2805900,53.841653
"37",62.060001,63.150002,61.740002,62.91,2149800,55.300871
