"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"1",16.969999,17.07,16.85,16.969999,1401000,12.414515
"2",16.940001,17.190001,16.940001,17.139999,452500,12.53888
"3",17.190001,17.58,17.190001,17.49,1008500,12.794925
"4",17.48,18,17.35,17.969999,1974300,13.146071
"5",17.93,17.969999,17.629999,17.639999,1041500,12.904658
"6",17.68,17.75,17.139999,17.299999,1090600,12.655929
"7",17.33,17.35,17.15,17.209999,1373700,12.590088
"8",17.450001,17.530001,17.09,17.1,514100,12.509618
"9",17.09,17.1,16.799999,16.84,1502900,12.319413
"10",16.9,16.950001,16.6,16.65,1125700,12.180417
"11",16.690001,16.92,16.35,16.799999,2151600,12.29015
"12",16.9,16.92,16.700001,16.82,612000,12.304782
"13",16.870001,16.870001,16.700001,16.870001,355800,12.34136
"14",16.74,16.74,16.25,16.25,2561000,11.887795
"15",16.27,16.5,16.15,16.15,1534100,11.814639
"16",16.24,16.299999,15.4,15.55,4006100,11.375705
"17",15.58,15.69,15.4,15.48,231700,11.324496
"18",15.5,15.59,14.9,15.06,833700,11.017243
"19",15.05,15.15,14.86,15,2137200,10.973349
"20",14.95,15.15,14.95,15.05,2422200,11.009927
"21",15.1,16.02,15,15.8,1478700,11.558594
"22",15.82,16.02,15.8,15.82,786100,11.573225
"23",15.83,16.5,15.83,16.4,1647300,11.997528
"24",16.4,16.450001,16.25,16.4,1537200,11.997528
"25",16.43,16.43,16,16.370001,905900,11.975582
"26",16.299999,16.299999,16,16.200001,624700,11.851217
"27",16.18,16.700001,16.110001,16.450001,497300,12.034107
"28",16.440001,16.440001,16.15,16.190001,1244700,11.843902
"29",16.190001,16.299999,16.190001,16.24,1801200,11.880479
"30",16.26,16.59,16.26,16.549999,1126300,12.107261
"31",16.549999,16.790001,16.52,16.780001,1415100,12.27552
"32",17,17.700001,17,17.65,3400400,12.911974
"33",17.92,18.34,17.25,18.23,5778800,13.336276
"34",18.219999,18.219999,17.82,17.93,2440000,13.11681
"35",18.1,18.15,17.84,17.940001,1598500,13.124126
"36",17.92,18.07,17.68,18,2023100,13.168019
"37",18.15,18.26,18.049999,18.059999,1543000,13.211912
"38",18.09,18.120001,17.700001,17.9,1558700,13.094863
"39",17.9,18.459999,17.9,18.299999,4194300,13.387485
"40",18.299999,18.299999,18.200001,18.24,252300,13.343592
"41",18.219999,18.25,17.92,18,500600,13.168019
"42",18,18.15,17.99,18.049999,1252900,13.204596
"43",18.049999,18.049999,17.9,17.99,1056300,13.160703
"44",17.799999,17.799999,17.6,17.610001,2021000,12.882712
"45",17.629999,17.629999,17.4,17.5,3260500,12.80224
"46",17.51,18.030001,17.51,18.02,2973700,13.18265
"47",18.85,19.299999,18.65,18.700001,10729700,13.680109
"48",18.950001,19.200001,18.950001,19.07,4572800,13.950784
"49",19.1,20.049999,19.1,19.799999,3564800,14.48482
"50",19.889999,20.09,19,19.799999,5313000,14.48482
"51",19.799999,20.02,19.76,19.889999,3292700,14.55066
"52",19.9,20.25,19.9,20.059999,2222900,14.675025
"53",19.799999,20.049999,19.700001,19.99,5178500,14.623816
"54",19.940001,20.049999,19.870001,19.93,3994300,14.579923
"55",19.950001,20.5,19.950001,20,2807100,14.631132
"56",20.139999,20.440001,19.98,20.440001,1984200,14.953017
"57",20.4,20.799999,20.219999,20.219999,1728000,14.792074
"58",20.219999,20.51,20.219999,20.5,2316300,14.99691
"59",20.5,21.299999,20.49,21.02,5464700,15.37732
"60",21.049999,21.049999,20.76,20.950001,1548700,15.326111
"61",20.99,21.299999,20.99,21.129999,1072600,15.45779
"62",21.120001,21.120001,20.799999,20.959999,1540000,15.333426
"63",20.950001,21.129999,20.950001,20.99,2135400,15.355373
"64",21,21.15,20.67,20.700001,2958400,15.143222
"65",20.709999,20.82,20.690001,20.790001,806500,15.209062
"66",20.780001,21.41,20.780001,21.379999,3431400,15.640679
"67",21.389999,21.57,21.309999,21.51,2403900,15.735783
"68",21.51,21.639999,21.450001,21.559999,1302100,15.77236
"69",21.75,22.280001,21.75,21.85,4179800,15.984512
"70",22.190001,22.25,22.01,22.25,2845700,16.277134
"71",22.25,22.27,22.190001,22.200001,1651400,16.240557
"72",22.209999,22.27,22.17,22.209999,3081900,16.247871
"73",22.24,22.280001,21.85,21.940001,1636900,16.050352
"74",21.85,21.950001,21.6,21.85,1356500,15.984512
"75",22,22.469999,22,22.459999,2632000,16.43076
