"","SIAL.Open","SIAL.High","SIAL.Low","SIAL.Close","SIAL.Volume","SIAL.Adjusted"
"1",51.34,52.349998,50.970001,52.34,669000,49.76929
"2",51.790001,52.709999,51.709999,52.66,688900,50.073572
"3",52.91,53.380001,52.52,52.580002,603800,49.997504
"4",53.099998,53.720001,52.830002,53.700001,651800,51.062493
"5",52.98,53.66,52.98,53.41,391900,50.786736
"6",53.400002,53.439999,52.57,53.380001,672500,50.75821
"7",53.389999,53.650002,52.98,53.209999,841800,50.596558
"8",53.73,54.43,52.93,53.25,729900,50.634594
"9",53.470001,54.290001,52.98,53.049999,776800,50.444417
"10",53.009998,53.560001,52.43,53.150002,523800,50.539507
"11",52.73,53.130001,51.459999,51.66,738800,49.122688
"12",51.790001,52.299999,51.299999,51.779999,1239600,49.236793
"13",52.07,52.099998,51.130001,51.66,571900,49.122688
"14",51.59,51.630001,50.119999,50.470001,581700,47.991137
"15",50.27,50.990002,49.73,49.830002,782500,47.382571
"16",49.619999,50.09,48.919998,49.5,1121200,47.068778
"17",49.66,49.830002,48.799999,49.299999,803000,46.8786
"18",49.790001,50.540001,49.439999,49.919998,795100,47.468148
"19",49.919998,51.939999,49.830002,51.900002,1082300,49.350902
"20",52.18,52.700001,51.849998,52.540001,1121400,49.959467
"21",52.73,53.369999,52.400002,53.259998,624400,50.644102
"22",52.93,53.41,52.599998,52.849998,825100,50.254239
"23",53.290001,54.529999,53.290001,54.400002,758500,51.728113
"24",54.279999,54.389999,53.860001,54.130001,833400,51.471374
"25",54.09,54.599998,53.639999,54.490002,771100,51.813693
"26",54.450001,54.450001,53.060001,53.16,1081300,50.549015
"27",53.259998,53.689999,52.950001,53.450001,444000,50.824772
"28",52.830002,54.130001,52.709999,54.119999,690500,51.461863
"29",54.189999,54.5,52.860001,53.43,707700,50.805754
"30",53.599998,55.939999,53.060001,54.380001,1320100,51.709095
"31",54.279999,56.290001,54.279999,56.23,1200500,53.468229
"32",56.25,57.110001,56.25,57.060001,703200,54.257465
"33",57.450001,57.77,56.939999,57.110001,846000,54.305009
"34",57.049999,57.57,56.830002,57.029999,772800,54.228936
"35",57.459999,58,55.799999,56.259998,890700,53.496755
"36",55.740002,56.509998,55.369999,56.099998,973100,53.344613
"37",56.610001,57.73,56.389999,57.68,786700,54.847013
"38",57.52,57.810001,56.82,57.330002,489400,54.514204
"39",57.389999,57.75,57.150002,57.32,663200,54.504694
"40",57.040001,57.330002,56.689999,57.099998,341500,54.295498
"41",56.790001,57.209999,55.810001,56.59,573300,53.810548
"42",56.740002,56.849998,56.369999,56.73,475600,53.943672
"43",56.259998,56.310001,55.279999,55.84,892400,53.097385
"44",54.950001,55.029999,53.490002,53.91,803400,51.262178
"45",53.060001,54.5,53.060001,53.959999,733200,51.309721
"46",53.68,54.049999,53.349998,53.84,542500,51.195616
"47",53.290001,54.439999,53.25,54.02,384400,51.366776
"48",54.599998,55.950001,54.439999,55.470001,562500,52.745559
"49",55.259998,55.349998,54.5,54.990002,492800,52.289135
"50",54.77,54.990002,53.34,53.720001,666800,51.081511
"51",53.560001,53.77,53.049999,53.720001,647200,51.081511
"52",53.91,54.48,53.32,53.34,488600,50.720174
"53",52.970001,52.990002,52.330002,52.400002,610500,49.826344
"54",52.220001,52.619999,51.439999,52.470001,520600,49.892906
"55",52.740002,53.119999,52.02,52.099998,453400,49.541076
"56",52.459999,53.5,51.900002,53.490002,538900,50.862808
"57",52.98,53.27,52.740002,52.740002,558300,50.300105
"58",52.75,53.439999,52.389999,53.169998,925400,50.710208
"59",53.950001,55.029999,53.599998,54.93,611400,52.388788
"60",54.990002,55.240002,54.639999,55.169998,299800,52.617683
"61",55.689999,55.950001,55.209999,55.580002,536200,53.008719
"62",55.709999,56.380001,55.529999,55.880001,690600,53.294839
"63",56.049999,56.990002,56.009998,56.759998,1052200,54.134125
"64",57.599998,57.599998,56.459999,56.73,639200,54.105514
"65",56.91,57.029999,56.200001,56.970001,457100,54.334413
"66",57.189999,58.080002,57.060001,57.950001,466400,55.269075
"67",57.610001,58.080002,57.259998,57.849998,471700,55.173699
"68",57.540001,58.470001,57.259998,58.400002,441600,55.698257
"69",57.77,58.82,57.43,58.82,629000,56.098825
"70",59.110001,59.279999,58.599998,58.880001,971100,56.156051
"71",59.029999,59.689999,58.720001,59.619999,553900,56.861814
"72",59.439999,59.84,59.200001,59.490002,645900,56.737831
"73",59.689999,60.200001,59.439999,59.759998,577500,56.995337
"74",59.16,59.849998,58.919998,59.130001,419800,56.394485
"75",60,60.869999,59.740002,60.669998,774300,57.863238
"76",60.959999,60.959999,60.139999,60.32,395900,57.529431
"77",60.599998,61.09,59.529999,61,520000,58.177973
"78",60.740002,60.84,60.02,60.709999,677300,57.901388
"79",61.110001,61.5,59.779999,60.380001,545400,57.586657
"80",61,61.150002,60.419998,60.720001,412900,57.910928
"81",60.119999,60.25,58.93,59.619999,1027500,56.861814
"82",60.290001,62.34,60.290001,61.880001,1316900,59.017263
"83",61.810001,62,61.09,61.220001,548100,58.387796
"84",61.540001,61.540001,60.470001,60.630001,838000,57.825091
"85",60.630001,60.919998,60.450001,60.650002,946400,57.844166
"86",60.57,60.939999,60.23,60.41,494900,57.615268
"87",60.34,60.549999,59.43,60.459999,702600,57.662954
"88",60.630001,61.68,60.490002,61.23,642800,58.397332
"89",61.290001,61.5,60.150002,60.619999,557300,57.815552
"90",60.98,61.220001,59.880001,60.599998,867500,57.796476
"91",60.419998,60.639999,60.049999,60.450001,458900,57.653418
"92",60.009998,60.57,59.389999,59.68,770800,56.91904
"93",59.990002,61.75,59.709999,61.41,962100,58.569005
"94",62.5,62.950001,61.07,62.34,1410800,59.455981
"95",62.610001,62.610001,61.32,62.290001,457000,59.408295
"96",62.900002,63.700001,62.720001,63.130001,792000,60.209434
"97",62.700001,63.43,62.32,63.130001,523200,60.209434
"98",61.130001,62.740002,60.970001,62.459999,963200,59.570428
"99",62.919998,62.990002,61.98,62.560001,463700,59.665804
