"","LIFE.Open","LIFE.High","LIFE.Low","LIFE.Close","LIFE.Volume","LIFE.Adjusted"
"1",13.25,15.01,12.9,14.95,3302500,14.95
"2",15.02,19.48,15.02,19.27,655300,19.27
"3",20.209999,21.700001,19.6,20.75,547900,20.75
"4",21.68,21.889999,19.24,21.57,271600,21.57
"5",21.57,22,18.200001,19.59,373100,19.59
"6",19.190001,21.34,18.35,20.58,100400,20.58
"7",21.07,21.49,18.884001,20.129999,144300,20.129999
"8",19.709999,20.23,18.9,19.9,93000,19.9
"9",20.389999,20.389999,19.535,20.1,39100,20.1
"10",20.040001,23.16,19.08,22.879999,153000,22.879999
"11",23.200001,27.82,22.9,24,184800,24
"12",23.76,25.969999,23,24.709999,75500,24.709999
"13",25.200001,26.5,24.030001,25.34,231100,25.34
"14",25.83,26.85,23.540001,24.690001,160900,24.690001
"15",24.219999,25.139999,23.91,23.98,113600,23.98
"16",23.59,24,22.129999,22.889999,165200,22.889999
"17",24.17,24.27,22.690001,23.48,110800,23.48
"18",23.610001,26.34,22.874001,25.24,167300,25.24
"19",24.99,28.23,24.360001,27.879999,380600,27.879999
"20",28.290001,28.290001,26.6,27.33,63000,27.33
"21",26.84,27.618,25.059999,25.870001,71500,25.870001
"22",25.719999,26.99,24.75,24.93,92600,24.93
"23",24.959999,24.959999,21.799999,22.139999,155900,22.139999
"24",22.58,23.542,20.290001,22.540001,85800,22.540001
