"","CHRW.Open","CHRW.High","CHRW.Low","CHRW.Close","CHRW.Volume","CHRW.Adjusted"
"1",56.75,57.700001,56.490002,57.439999,2147800,51.506907
"2",56.75,58.25,56.470001,58.209999,1275200,52.197373
"3",58.52,59.27,58.360001,58.700001,1517600,52.636761
"4",58.73,59.419998,58.540001,59.32,1496100,53.192719
"5",59.09,59.599998,58.810001,59.279999,1350600,53.15685
"6",59.599998,59.639999,58.470001,59.34,901300,53.210654
"7",59.439999,59.529999,58.869999,59.060001,1470200,52.959576
"8",59.560001,59.75,58.68,59.110001,1172200,53.004411
"9",59.25,59.380001,57.380001,57.59,1150400,51.641415
"10",57.580002,57.959999,57,57.459999,791600,51.524842
"11",57.139999,57.880001,56.82,56.990002,1035800,51.103391
"12",57.080002,57.349998,56.610001,57.23,1735700,51.318599
"13",57.450001,57.619999,56.630001,56.900002,707200,51.022687
"14",56.48,56.630001,55.52,55.939999,1822000,50.161845
"15",55.849998,56.939999,55.470001,55.66,1530900,49.910768
"16",55.57,56.27,54.52,55.720001,1849500,49.964572
"17",55.740002,55.98,54.5,55.049999,1178800,49.363775
"18",55.68,56.02,55.09,55.639999,1811400,49.892833
"19",55.639999,56.619999,55.299999,56.400002,1666900,50.574333
"20",56.549999,57.049999,56.310001,56.790001,1015600,50.924049
"21",56.779999,57.349998,56.68,57.060001,870300,51.16616
"22",56.790001,57.610001,56.59,56.959999,758100,51.076488
"23",57.700001,58.200001,57.41,58.009998,1174100,52.01803
"24",58.25,59.139999,58.189999,58.75,1519900,52.681596
"25",58.650002,58.919998,57.709999,58.580002,1062100,52.529157
"26",58.509998,58.639999,57.360001,57.450001,1313400,51.515876
"27",57.549999,58.459999,57.200001,58.25,1420300,52.233242
"28",57.52,58.709999,57.009998,58.650002,1178500,52.591926
"29",58.689999,58.869999,57.23,57.610001,1271000,51.659349
"30",58.189999,59.5,58.189999,59.400002,2351300,53.264457
"31",59.290001,60.990002,58.689999,60.880001,2295600,54.591585
"32",61.049999,62.419998,61,62.099998,2236900,55.685566
"33",62.169998,62.459999,61.049999,61.200001,2145900,54.878531
"34",63.950001,65.449997,63.540001,64.870003,8449600,58.169451
"35",65.150002,65.440002,63.990002,64.629997,2441500,57.954236
"36",64.099998,65.529999,63.799999,65.199997,1668500,58.46536
"37",65.349998,66.279999,65.019997,66.220001,1542400,59.380006
"38",66.07,66.669998,65.419998,66.43,1445600,59.568313
"39",66.559998,67.370003,66.290001,67.220001,1437900,60.276714
"40",67.099998,67.529999,66.650002,67.349998,1204300,60.393283
"41",66.589996,67.589996,66.309998,66.889999,1757300,59.980798
"42",67.370003,68,67.230003,67.769997,1148000,60.769899
"43",67,67.459999,65.720001,66.199997,2405600,59.362068
"44",65.440002,65.540001,64.209999,64.980003,2375900,58.26809
"45",64.32,65.190002,64.07,64.889999,1492500,58.187382
"46",64.540001,64.980003,64.300003,64.599998,1390700,57.927336
"47",64.309998,65.18,63.82,64.860001,1129600,58.160482
"48",65.470001,66.809998,65.089996,66.290001,1771300,59.442775
"49",65.559998,66.5,65.190002,65.980003,1196900,59.164798
"50",65.650002,65.699997,64.239998,65.190002,2001000,58.456397
"51",65.089996,66.360001,64.620003,66.160004,1917400,59.326205
"52",66.639999,67.300003,65.830002,65.860001,1398700,59.05719
"53",65.419998,65.68,64.629997,65.139999,1932200,58.411559
"54",64.839996,65.419998,64.68,65.120003,1914800,58.393628
"55",65.459999,66.050003,64.889999,64.910004,1615700,58.20532
"56",65.269997,66.400002,64.610001,65.919998,1415200,59.11099
"57",65.610001,65.970001,64.870003,64.900002,1082800,58.196351
"58",64.510002,65.459999,64.389999,64.989998,2367200,58.277052
"59",65.699997,66.769997,65.209999,66.370003,2064900,59.744335
"60",66.629997,67.309998,66.599998,67.230003,973900,60.518482
"61",67.940002,68.209999,67.309998,67.559998,1323700,60.815533
"62",67.449997,67.68,66.790001,67.059998,1132700,60.365448
"63",67.290001,68.419998,67.190002,67.669998,1276700,60.914553
"64",68.120003,68.339996,67.470001,67.690002,1121600,60.93256
"65",67.919998,68.050003,67.32,67.5,1065200,60.761525
"66",68.059998,68.389999,67.489998,68,1550100,61.211611
"67",67.709999,68.410004,67.389999,68,2079600,61.211611
"68",67.849998,68.379997,67.440002,68.209999,864200,61.400646
"69",67.860001,68.099998,67.510002,67.839996,940700,61.06758
"70",68.239998,68.589996,67.860001,68.449997,1536800,61.616685
"71",68.790001,69.580002,68.660004,68.790001,1153200,61.922746
"72",68.940002,69.489998,68.690002,68.839996,1298100,61.967751
"73",68.849998,69.389999,67.730003,68.080002,1556300,61.283626
"74",67.599998,68.139999,66.760002,67.110001,1262800,60.410459
"75",67.82,68.910004,67.779999,68.599998,1499200,61.751712
"76",68.599998,69.07,68.279999,68.690002,1022700,61.832731
"77",68.940002,69.93,68.410004,69.410004,1846000,62.480855
"78",69.139999,69.589996,68.559998,69.57,1467900,62.624878
"79",69.779999,70.870003,69.419998,69.919998,2352200,62.939937
"80",70.410004,70.580002,69.139999,69.639999,1964100,62.68789
"81",69.75,69.870003,68.739998,69.540001,1530800,62.597874
"82",69.949997,72.339996,69.949997,70.889999,4105700,63.813103
"83",71.050003,71.82,70.989998,71.099998,1919200,64.002138
"84",71.160004,71.309998,70.529999,71.099998,1475300,64.002138
"85",71.220001,71.889999,70.550003,71.209999,1696800,64.101158
"86",71.040001,71.589996,70.550003,71.120003,1159900,64.020146
"87",71.099998,71.25,70.209999,70.629997,1232900,63.579057
"88",70.730003,72,70.699997,71.5,1427100,64.362208
"89",70.860001,72.389999,70.860001,72.059998,2683900,64.866302
"90",72.620003,72.989998,72.190002,72.239998,2495100,65.028333
"91",72.129997,72.129997,71.440002,71.760002,1089400,64.596254
"92",71.290001,72.239998,70.959999,71.699997,2100300,64.54224
